Date,SPDR S&P Telecom_etf_Open_average,SPDR S&P Telecom_etf_Open_max,SPDR S&P Telecom_etf_Open_min,SPDR S&P Telecom_etf_Open_volatility,SPDR S&P Telecom_etf_Open_change,SPDR S&P Telecom_etf_High_average,SPDR S&P Telecom_etf_High_max,SPDR S&P Telecom_etf_High_min,SPDR S&P Telecom_etf_High_volatility,SPDR S&P Telecom_etf_High_change,SPDR S&P Telecom_etf_Low_average,SPDR S&P Telecom_etf_Low_max,SPDR S&P Telecom_etf_Low_min,SPDR S&P Telecom_etf_Low_volatility,SPDR S&P Telecom_etf_Low_change,SPDR S&P Telecom_etf_Close_average,SPDR S&P Telecom_etf_Close_max,SPDR S&P Telecom_etf_Close_min,SPDR S&P Telecom_etf_Close_volatility,SPDR S&P Telecom_etf_Close_change
2018-01-14,69.5,69.5,69.5,0.0,0.0,70.02,70.02,70.02,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.89,69.89,69.89,0.0,0.0
2018-01-21,69.96,69.96,69.96,0.0,0.0,70.42,70.42,70.42,0.0,0.0,69.86,69.86,69.86,0.0,0.0,70.29,70.29,70.29,0.0,0.0
2018-01-28,69.82,69.82,69.82,0.0,0.0,70.34,70.34,70.34,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.42,69.42,69.42,0.0,0.0
2018-02-04,67.19,67.19,67.19,0.0,0.0,67.19,67.19,67.19,0.0,0.0,65.27,65.27,65.27,0.0,0.0,67.0,67.0,67.0,0.0,0.0
2018-02-11,71.0,71.0,71.0,0.0,0.0,71.17,71.17,71.17,0.0,0.0,70.48,70.48,70.48,0.0,0.0,70.71,70.71,70.71,0.0,0.0
2018-02-18,67.99,67.99,67.99,0.0,0.0,69.25,69.25,69.25,0.0,0.0,67.99,67.99,67.99,0.0,0.0,69.25,69.25,69.25,0.0,0.0
2018-02-25,68.86,68.86,68.86,0.0,0.0,69.8,69.8,69.8,0.0,0.0,68.77,68.77,68.77,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-03-04,72.73,72.73,72.73,0.0,0.0,73.34,73.34,73.34,0.0,0.0,72.73,72.73,72.73,0.0,0.0,73.34,73.34,73.34,0.0,0.0
2018-03-11,72.8,72.8,72.8,0.0,0.0,73.19,73.19,73.19,0.0,0.0,72.8,72.8,72.8,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2018-03-18,70.05,70.05,70.05,0.0,0.0,70.33,70.33,70.33,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-03-25,68.67,68.67,68.67,0.0,0.0,69.2,69.2,69.2,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2018-04-01,69.62,69.62,69.62,0.0,0.0,69.62,69.62,69.62,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.71,68.71,68.71,0.0,0.0
2018-04-08,72.05,72.05,72.05,0.0,0.0,72.08,72.08,72.08,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2018-04-15,71.7,71.7,71.7,0.0,0.0,71.96,71.96,71.96,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.96,71.96,71.96,0.0,0.0
2018-04-22,71.21,71.21,71.21,0.0,0.0,71.21,71.21,71.21,0.0,0.0,70.6,70.6,70.6,0.0,0.0,71.0,71.0,71.0,0.0,0.0
2018-04-29,70.2,70.2,70.2,0.0,0.0,70.74,70.74,70.74,0.0,0.0,69.63,69.63,69.63,0.0,0.0,70.43,70.43,70.43,0.0,0.0
2018-05-06,70.5,70.5,70.5,0.0,0.0,70.93,70.93,70.93,0.0,0.0,70.5,70.5,70.5,0.0,0.0,70.55,70.55,70.55,0.0,0.0
2018-05-13,70.9,70.9,70.9,0.0,0.0,71.12,71.12,71.12,0.0,0.0,70.45,70.45,70.45,0.0,0.0,70.45,70.45,70.45,0.0,0.0
2018-05-20,70.27,70.27,70.27,0.0,0.0,70.89,70.89,70.89,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.89,70.89,70.89,0.0,0.0
2018-05-27,70.87,70.87,70.87,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.87,70.87,70.87,0.0,0.0,71.03,71.03,71.03,0.0,0.0
2018-06-03,72.11,72.11,72.11,0.0,0.0,72.63,72.63,72.63,0.0,0.0,71.98,71.98,71.98,0.0,0.0,72.55,72.55,72.55,0.0,0.0
2018-06-10,73.72,73.72,73.72,0.0,0.0,74.54,74.54,74.54,0.0,0.0,73.72,73.72,73.72,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-06-17,73.37,73.37,73.37,0.0,0.0,73.37,73.37,73.37,0.0,0.0,72.42,72.42,72.42,0.0,0.0,72.42,72.42,72.42,0.0,0.0
2018-06-24,71.81,71.81,71.81,0.0,0.0,72.65,72.65,72.65,0.0,0.0,71.81,71.81,71.81,0.0,0.0,72.29,72.29,72.29,0.0,0.0
2018-07-01,74.34,74.34,74.34,0.0,0.0,74.89,74.89,74.89,0.0,0.0,74.34,74.34,74.34,0.0,0.0,74.82,74.82,74.82,0.0,0.0
2018-07-08,75.8,75.8,75.8,0.0,0.0,75.8,75.8,75.8,0.0,0.0,74.56,74.56,74.56,0.0,0.0,74.83,74.83,74.83,0.0,0.0
2018-07-15,73.05,73.05,73.05,0.0,0.0,73.19,73.19,73.19,0.0,0.0,72.71,72.71,72.71,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2018-07-22,72.57,72.57,72.57,0.0,0.0,72.57,72.57,72.57,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.33,71.33,71.33,0.0,0.0
2018-07-29,72.96,72.96,72.96,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.36,72.36,72.36,0.0,0.0,72.37,72.37,72.37,0.0,0.0
2018-08-05,73.74,73.74,73.74,0.0,0.0,74.2,74.2,74.2,0.0,0.0,73.62,73.62,73.62,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-08-12,74.34,74.34,74.34,0.0,0.0,75.19,75.19,75.19,0.0,0.0,74.24,74.24,74.24,0.0,0.0,74.98,74.98,74.98,0.0,0.0
2018-08-19,76.47,76.47,76.47,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.38,76.38,76.38,0.0,0.0,76.63,76.63,76.63,0.0,0.0
