Date,iShares Asia 50_Open_average,iShares Asia 50_Open_max,iShares Asia 50_Open_min,iShares Asia 50_Open_volatility,iShares Asia 50_Open_change,iShares Asia 50_High_average,iShares Asia 50_High_max,iShares Asia 50_High_min,iShares Asia 50_High_volatility,iShares Asia 50_High_change,iShares Asia 50_Low_average,iShares Asia 50_Low_max,iShares Asia 50_Low_min,iShares Asia 50_Low_volatility,iShares Asia 50_Low_change,iShares Asia 50_Close_average,iShares Asia 50_Close_max,iShares Asia 50_Close_min,iShares Asia 50_Close_volatility,iShares Asia 50_Close_change
2018-01-14,70.96,70.96,70.96,0.0,0.0,71.35,71.35,71.35,0.0,0.0,70.82,70.82,70.82,0.0,0.0,71.35,71.35,71.35,0.0,0.0
2018-01-21,72.26,72.26,72.26,0.0,0.0,72.3,72.3,72.3,0.0,0.0,72.02,72.02,72.02,0.0,0.0,72.09,72.09,72.09,0.0,0.0
2018-01-28,69.16,69.16,69.16,0.0,0.0,69.76,69.76,69.76,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-02-04,65.52,65.52,65.52,0.0,0.0,66.22,66.22,66.22,0.0,0.0,65.16,65.16,65.16,0.0,0.0,65.81,65.81,65.81,0.0,0.0
2018-02-11,69.77,69.77,69.77,0.0,0.0,70.63,70.63,70.63,0.0,0.0,69.64,69.64,69.64,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-02-18,69.61,69.61,69.61,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.3,69.3,69.3,0.0,0.0,69.99,69.99,69.99,0.0,0.0
2018-02-25,66.21,66.21,66.21,0.0,0.0,67.17,67.17,67.17,0.0,0.0,66.19,66.19,66.19,0.0,0.0,67.12,67.12,67.12,0.0,0.0
2018-03-04,70.27,70.27,70.27,0.0,0.0,70.49,70.49,70.49,0.0,0.0,69.92,69.92,69.92,0.0,0.0,70.35,70.35,70.35,0.0,0.0
2018-03-11,70.42,70.42,70.42,0.0,0.0,70.42,70.42,70.42,0.0,0.0,69.38,69.38,69.38,0.0,0.0,69.77,69.77,69.77,0.0,0.0
2018-03-18,67.94,67.94,67.94,0.0,0.0,68.65,68.65,68.65,0.0,0.0,67.37,67.37,67.37,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2018-03-25,67.62,67.62,67.62,0.0,0.0,67.68,67.68,67.68,0.0,0.0,66.04,66.04,66.04,0.0,0.0,66.55,66.55,66.55,0.0,0.0
2018-04-01,67.23,67.23,67.23,0.0,0.0,67.6,67.6,67.6,0.0,0.0,66.86,66.86,66.86,0.0,0.0,66.95,66.95,66.95,0.0,0.0
2018-04-08,67.44,67.44,67.44,0.0,0.0,67.69,67.69,67.69,0.0,0.0,67.21,67.21,67.21,0.0,0.0,67.69,67.69,67.69,0.0,0.0
2018-04-15,66.95,66.95,66.95,0.0,0.0,67.17,67.17,67.17,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.76,66.76,66.76,0.0,0.0
2018-04-22,67.92,67.92,67.92,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.27,67.27,67.27,0.0,0.0
2018-04-29,65.92,65.92,65.92,0.0,0.0,66.21,66.21,66.21,0.0,0.0,65.75,65.75,65.75,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-05-06,68.5,68.5,68.5,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.18,68.18,68.18,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-05-13,67.56,67.56,67.56,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-05-20,67.33,67.33,67.33,0.0,0.0,67.5,67.5,67.5,0.0,0.0,67.24,67.24,67.24,0.0,0.0,67.47,67.47,67.47,0.0,0.0
