Date,Schwab amental US Small Company_Open_average,Schwab amental US Small Company_Open_max,Schwab amental US Small Company_Open_min,Schwab amental US Small Company_Open_volatility,Schwab amental US Small Company_Open_change,Schwab amental US Small Company_High_average,Schwab amental US Small Company_High_max,Schwab amental US Small Company_High_min,Schwab amental US Small Company_High_volatility,Schwab amental US Small Company_High_change,Schwab amental US Small Company_Low_average,Schwab amental US Small Company_Low_max,Schwab amental US Small Company_Low_min,Schwab amental US Small Company_Low_volatility,Schwab amental US Small Company_Low_change,Schwab amental US Small Company_Close_average,Schwab amental US Small Company_Close_max,Schwab amental US Small Company_Close_min,Schwab amental US Small Company_Close_volatility,Schwab amental US Small Company_Close_change
2018-01-14,38.84,38.84,38.84,0.0,0.0,39.31,39.31,39.31,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.31,39.31,39.31,0.0,0.0
2018-01-21,39.5,39.5,39.5,0.0,0.0,39.54,39.54,39.54,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.54,39.54,39.54,0.0,0.0
2018-01-28,38.47,38.47,38.47,0.0,0.0,38.47,38.47,38.47,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2018-02-04,36.12,36.12,36.12,0.0,0.0,36.36,36.36,36.36,0.0,0.0,35.17,35.17,35.17,0.0,0.0,36.13,36.13,36.13,0.0,0.0
2018-02-11,37.54,37.54,37.54,0.0,0.0,37.91,37.91,37.91,0.0,0.0,37.54,37.54,37.54,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-18,37.54,37.54,37.54,0.0,0.0,37.77,37.77,37.77,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-02-25,36.42,36.42,36.42,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.35,36.35,36.35,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-03-04,38.13,38.13,38.13,0.0,0.0,38.52,38.52,38.52,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2018-03-11,37.96,37.96,37.96,0.0,0.0,38.31,38.31,38.31,0.0,0.0,37.96,37.96,37.96,0.0,0.0,38.22,38.22,38.22,0.0,0.0
2018-03-18,37.26,37.26,37.26,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2018-03-25,37.02,37.02,37.02,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2018-04-01,37.45,37.45,37.45,0.0,0.0,37.7,37.7,37.7,0.0,0.0,36.76,36.76,36.76,0.0,0.0,37.04,37.04,37.04,0.0,0.0
2018-04-08,37.92,37.92,37.92,0.0,0.0,37.95,37.95,37.95,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.64,37.64,37.64,0.0,0.0
2018-04-15,38.15,38.15,38.15,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-04-22,37.96,37.96,37.96,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2018-04-29,37.49,37.49,37.49,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.41,37.41,37.41,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-05-06,39.03,39.03,39.03,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.06,39.06,39.06,0.0,0.0
2018-05-13,39.42,39.42,39.42,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.32,39.32,39.32,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-05-20,39.39,39.39,39.39,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-05-27,39.71,39.71,39.71,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.67,39.67,39.67,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2018-06-03,40.53,40.53,40.53,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.66,40.66,40.66,0.0,0.0
2018-06-10,40.53,40.53,40.53,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-06-17,41.02,41.02,41.02,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.86,40.86,40.86,0.0,0.0
2018-06-24,40.07,40.07,40.07,0.0,0.0,40.25,40.25,40.25,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2018-07-01,40.51,40.51,40.51,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-07-08,40.68,40.68,40.68,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.68,40.68,40.68,0.0,0.0,40.71,40.71,40.71,0.0,0.0
