Date,Direxion Daily Junior Gold Miners Bear 3X Shares_Open_average,Direxion Daily Junior Gold Miners Bear 3X Shares_Open_max,Direxion Daily Junior Gold Miners Bear 3X Shares_Open_min,Direxion Daily Junior Gold Miners Bear 3X Shares_Open_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_Open_change,Direxion Daily Junior Gold Miners Bear 3X Shares_High_average,Direxion Daily Junior Gold Miners Bear 3X Shares_High_max,Direxion Daily Junior Gold Miners Bear 3X Shares_High_min,Direxion Daily Junior Gold Miners Bear 3X Shares_High_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_High_change,Direxion Daily Junior Gold Miners Bear 3X Shares_Low_average,Direxion Daily Junior Gold Miners Bear 3X Shares_Low_max,Direxion Daily Junior Gold Miners Bear 3X Shares_Low_min,Direxion Daily Junior Gold Miners Bear 3X Shares_Low_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_Low_change,Direxion Daily Junior Gold Miners Bear 3X Shares_Close_average,Direxion Daily Junior Gold Miners Bear 3X Shares_Close_max,Direxion Daily Junior Gold Miners Bear 3X Shares_Close_min,Direxion Daily Junior Gold Miners Bear 3X Shares_Close_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_Close_change
2018-01-14,1217.5,1217.5,1217.5,0.0,0.0,1244.5,1244.5,1244.5,0.0,0.0,1189.25,1189.25,1189.25,0.0,0.0,1214.25,1214.25,1214.25,0.0,0.0
2018-01-21,1210.0,1210.0,1210.0,0.0,0.0,1312.0,1312.0,1312.0,0.0,0.0,1208.12,1208.12,1208.12,0.0,0.0,1297.75,1297.75,1297.75,0.0,0.0
2018-01-28,1442.75,1442.75,1442.75,0.0,0.0,1485.5,1485.5,1485.5,0.0,0.0,1408.25,1408.25,1408.25,0.0,0.0,1437.5,1437.5,1437.5,0.0,0.0
2018-02-04,1633.0,1633.0,1633.0,0.0,0.0,1667.0,1667.0,1667.0,0.0,0.0,1442.17,1442.17,1442.17,0.0,0.0,1504.5,1504.5,1504.5,0.0,0.0
2018-02-11,1294.25,1294.25,1294.25,0.0,0.0,1411.25,1411.25,1411.25,0.0,0.0,1273.0,1273.0,1273.0,0.0,0.0,1365.75,1365.75,1365.75,0.0,0.0
2018-02-18,1393.0,1393.0,1393.0,0.0,0.0,1413.75,1413.75,1413.75,0.0,0.0,1358.5,1358.5,1358.5,0.0,0.0,1365.0,1365.0,1365.0,0.0,0.0
2018-02-25,1467.5,1467.5,1467.5,0.0,0.0,1487.0,1487.0,1487.0,0.0,0.0,1436.28,1436.28,1436.28,0.0,0.0,1444.25,1444.25,1444.25,0.0,0.0
2018-03-04,1477.75,1477.75,1477.75,0.0,0.0,1501.25,1501.25,1501.25,0.0,0.0,1409.75,1409.75,1409.75,0.0,0.0,1415.0,1415.0,1415.0,0.0,0.0
2018-03-11,1490.25,1490.25,1490.25,0.0,0.0,1515.75,1515.75,1515.75,0.0,0.0,1421.25,1421.25,1421.25,0.0,0.0,1448.25,1448.25,1448.25,0.0,0.0
2018-03-18,1267.75,1267.75,1267.75,0.0,0.0,1278.72,1278.72,1278.72,0.0,0.0,1248.0,1248.0,1248.0,0.0,0.0,1273.75,1273.75,1273.75,0.0,0.0
2018-03-25,1318.75,1318.75,1318.75,0.0,0.0,1345.05,1345.05,1345.05,0.0,0.0,1277.75,1277.75,1277.75,0.0,0.0,1324.5,1324.5,1324.5,0.0,0.0
2018-04-01,1349.5,1349.5,1349.5,0.0,0.0,1375.0,1375.0,1375.0,0.0,0.0,1301.53,1301.53,1301.53,0.0,0.0,1340.0,1340.0,1340.0,0.0,0.0
2018-04-08,1189.75,1189.75,1189.75,0.0,0.0,1224.47,1224.47,1224.47,0.0,0.0,1184.0,1184.0,1184.0,0.0,0.0,1200.25,1200.25,1200.25,0.0,0.0
2018-04-15,1236.75,1236.75,1236.75,0.0,0.0,1273.26,1273.26,1273.26,0.0,0.0,1236.75,1236.75,1236.75,0.0,0.0,1267.25,1267.25,1267.25,0.0,0.0
2018-04-22,1292.25,1292.25,1292.25,0.0,0.0,1307.5,1307.5,1307.5,0.0,0.0,1267.5,1267.5,1267.5,0.0,0.0,1301.25,1301.25,1301.25,0.0,0.0
2018-04-29,1206.5,1206.5,1206.5,0.0,0.0,1209.48,1209.48,1209.48,0.0,0.0,1177.5,1177.5,1177.5,0.0,0.0,1205.5,1205.5,1205.5,0.0,0.0
2018-05-06,1146.0,1146.0,1146.0,0.0,0.0,1190.62,1190.62,1190.62,0.0,0.0,1141.25,1141.25,1141.25,0.0,0.0,1180.0,1180.0,1180.0,0.0,0.0
2018-05-13,1254.5,1254.5,1254.5,0.0,0.0,1270.0,1270.0,1270.0,0.0,0.0,1225.0,1225.0,1225.0,0.0,0.0,1227.5,1227.5,1227.5,0.0,0.0
2018-05-20,1208.75,1208.75,1208.75,0.0,0.0,1256.5,1256.5,1256.5,0.0,0.0,1208.75,1208.75,1208.75,0.0,0.0,1246.5,1246.5,1246.5,0.0,0.0
2018-05-27,1222.5,1222.5,1222.5,0.0,0.0,1261.25,1261.25,1261.25,0.0,0.0,1222.0,1222.0,1222.0,0.0,0.0,1258.75,1258.75,1258.75,0.0,0.0
2018-06-03,1255.75,1255.75,1255.75,0.0,0.0,1264.0,1264.0,1264.0,0.0,0.0,1218.75,1218.75,1218.75,0.0,0.0,1236.25,1236.25,1236.25,0.0,0.0
2018-06-10,1275.0,1275.0,1275.0,0.0,0.0,1275.0,1275.0,1275.0,0.0,0.0,1250.25,1250.25,1250.25,0.0,0.0,1267.5,1267.5,1267.5,0.0,0.0
2018-06-17,1267.5,1267.5,1267.5,0.0,0.0,1297.0,1297.0,1297.0,0.0,0.0,1260.76,1260.76,1260.76,0.0,0.0,1288.25,1288.25,1288.25,0.0,0.0
2018-06-24,1301.0,1301.0,1301.0,0.0,0.0,1327.0,1327.0,1327.0,0.0,0.0,1284.27,1284.27,1284.27,0.0,0.0,1306.0,1306.0,1306.0,0.0,0.0
2018-07-01,1146.5,1146.5,1146.5,0.0,0.0,1182.22,1182.22,1182.22,0.0,0.0,1130.14,1130.14,1130.14,0.0,0.0,1174.5,1174.5,1174.5,0.0,0.0
2018-07-08,1294.25,1294.25,1294.25,0.0,0.0,1314.15,1314.15,1314.15,0.0,0.0,1281.5,1281.5,1281.5,0.0,0.0,1307.25,1307.25,1307.25,0.0,0.0
2018-07-15,1354.25,1354.25,1354.25,0.0,0.0,1389.38,1389.38,1389.38,0.0,0.0,1337.5,1337.5,1337.5,0.0,0.0,1377.25,1377.25,1377.25,0.0,0.0
2018-07-22,1350.5,1350.5,1350.5,0.0,0.0,1383.75,1383.75,1383.75,0.0,0.0,1350.5,1350.5,1350.5,0.0,0.0,1377.25,1377.25,1377.25,0.0,0.0
2018-07-29,1419.0,1419.0,1419.0,0.0,0.0,1461.75,1461.75,1461.75,0.0,0.0,1417.5,1417.5,1417.5,0.0,0.0,1457.5,1457.5,1457.5,0.0,0.0
2018-08-05,1579.75,1579.75,1579.75,0.0,0.0,1714.0,1714.0,1714.0,0.0,0.0,1575.75,1575.75,1575.75,0.0,0.0,1687.0,1687.0,1687.0,0.0,0.0
2018-08-12,1975.0,1975.0,1975.0,0.0,0.0,2056.32,2056.32,2056.32,0.0,0.0,1908.12,1908.12,1908.12,0.0,0.0,1969.5,1969.5,1969.5,0.0,0.0
2018-08-19,1837.5,1837.5,1837.5,0.0,0.0,1842.0,1842.0,1842.0,0.0,0.0,1734.75,1734.75,1734.75,0.0,0.0,1744.5,1744.5,1744.5,0.0,0.0
2018-08-26,1962.5,1962.5,1962.5,0.0,0.0,1983.0,1983.0,1983.0,0.0,0.0,1886.81,1886.81,1886.81,0.0,0.0,1968.75,1968.75,1968.75,0.0,0.0
2018-09-02,2161.0,2161.0,2161.0,0.0,0.0,2257.5,2257.5,2257.5,0.0,0.0,2128.84,2128.84,2128.84,0.0,0.0,2229.75,2229.75,2229.75,0.0,0.0
2018-09-09,2061.5,2061.5,2061.5,0.0,0.0,2118.73,2118.73,2118.73,0.0,0.0,1940.0,1940.0,1940.0,0.0,0.0,1971.25,1971.25,1971.25,0.0,0.0
2018-09-16,1805.0,1805.0,1805.0,0.0,0.0,1889.72,1889.72,1889.72,0.0,0.0,1770.0,1770.0,1770.0,0.0,0.0,1871.25,1871.25,1871.25,0.0,0.0
