Date,iShares Global Industrials_Open_average,iShares Global Industrials_Open_max,iShares Global Industrials_Open_min,iShares Global Industrials_Open_volatility,iShares Global Industrials_Open_change,iShares Global Industrials_High_average,iShares Global Industrials_High_max,iShares Global Industrials_High_min,iShares Global Industrials_High_volatility,iShares Global Industrials_High_change,iShares Global Industrials_Low_average,iShares Global Industrials_Low_max,iShares Global Industrials_Low_min,iShares Global Industrials_Low_volatility,iShares Global Industrials_Low_change,iShares Global Industrials_Close_average,iShares Global Industrials_Close_max,iShares Global Industrials_Close_min,iShares Global Industrials_Close_volatility,iShares Global Industrials_Close_change
2018-01-14,98.21,98.21,98.21,0.0,0.0,98.31,98.31,98.31,0.0,0.0,97.94,97.94,97.94,0.0,0.0,98.08,98.08,98.08,0.0,0.0
2018-01-21,98.48,98.48,98.48,0.0,0.0,99.02,99.02,99.02,0.0,0.0,98.42,98.42,98.42,0.0,0.0,99.02,99.02,99.02,0.0,0.0
2018-01-28,96.83,96.83,96.83,0.0,0.0,96.83,96.83,96.83,0.0,0.0,95.53,95.53,95.53,0.0,0.0,95.65,95.65,95.65,0.0,0.0
2018-02-04,90.29,90.29,90.29,0.0,0.0,90.29,90.29,90.29,0.0,0.0,88.16,88.16,88.16,0.0,0.0,90.24,90.24,90.24,0.0,0.0
2018-02-11,94.16,94.16,94.16,0.0,0.0,95.04,95.04,95.04,0.0,0.0,94.15,94.15,94.15,0.0,0.0,94.48,94.48,94.48,0.0,0.0
2018-02-18,94.44,94.44,94.44,0.0,0.0,94.91,94.91,94.91,0.0,0.0,94.14,94.14,94.14,0.0,0.0,94.89,94.89,94.89,0.0,0.0
2018-02-25,90.7,90.7,90.7,0.0,0.0,91.63,91.63,91.63,0.0,0.0,90.51,90.51,90.51,0.0,0.0,91.4,91.4,91.4,0.0,0.0
2018-03-04,93.37,93.37,93.37,0.0,0.0,94.34,94.34,94.34,0.0,0.0,93.37,93.37,93.37,0.0,0.0,94.34,94.34,94.34,0.0,0.0
2018-03-11,93.42,93.42,93.42,0.0,0.0,93.42,93.42,93.42,0.0,0.0,93.12,93.12,93.12,0.0,0.0,93.28,93.28,93.28,0.0,0.0
2018-03-18,90.41,90.41,90.41,0.0,0.0,90.71,90.71,90.71,0.0,0.0,89.04,89.04,89.04,0.0,0.0,89.1,89.1,89.1,0.0,0.0
2018-03-25,90.74,90.74,90.74,0.0,0.0,91.7,91.7,91.7,0.0,0.0,90.71,90.71,90.71,0.0,0.0,91.39,91.39,91.39,0.0,0.0
2018-04-01,90.91,90.91,90.91,0.0,0.0,91.14,91.14,91.14,0.0,0.0,89.33,89.33,89.33,0.0,0.0,89.88,89.88,89.88,0.0,0.0
2018-04-08,91.75,91.75,91.75,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.16,91.16,91.16,0.0,0.0,91.19,91.19,91.19,0.0,0.0
2018-04-15,93.43,93.43,93.43,0.0,0.0,93.43,93.43,93.43,0.0,0.0,92.81,92.81,92.81,0.0,0.0,92.85,92.85,92.85,0.0,0.0
2018-04-22,91.0,91.0,91.0,0.0,0.0,91.16,91.16,91.16,0.0,0.0,90.73,90.73,90.73,0.0,0.0,90.99,90.99,90.99,0.0,0.0
2018-04-29,89.27,89.27,89.27,0.0,0.0,90.7,90.7,90.7,0.0,0.0,89.27,89.27,89.27,0.0,0.0,90.48,90.48,90.48,0.0,0.0
2018-05-06,92.77,92.77,92.77,0.0,0.0,93.07,93.07,93.07,0.0,0.0,92.65,92.65,92.65,0.0,0.0,92.84,92.84,92.84,0.0,0.0
2018-05-13,92.67,92.67,92.67,0.0,0.0,93.08,93.08,93.08,0.0,0.0,92.67,92.67,92.67,0.0,0.0,92.97,92.97,92.97,0.0,0.0
2018-05-20,92.86,92.86,92.86,0.0,0.0,92.87,92.87,92.87,0.0,0.0,92.67,92.67,92.67,0.0,0.0,92.87,92.87,92.87,0.0,0.0
2018-05-27,92.36,92.36,92.36,0.0,0.0,92.69,92.69,92.69,0.0,0.0,92.36,92.36,92.36,0.0,0.0,92.51,92.51,92.51,0.0,0.0
2018-06-03,93.31,93.31,93.31,0.0,0.0,93.57,93.57,93.57,0.0,0.0,93.19,93.19,93.19,0.0,0.0,93.44,93.44,93.44,0.0,0.0
2018-06-10,92.77,92.77,92.77,0.0,0.0,92.86,92.86,92.86,0.0,0.0,92.43,92.43,92.43,0.0,0.0,92.68,92.68,92.68,0.0,0.0
2018-06-17,89.33,89.33,89.33,0.0,0.0,89.5,89.5,89.5,0.0,0.0,89.18,89.18,89.18,0.0,0.0,89.23,89.23,89.23,0.0,0.0
2018-06-24,87.92,87.92,87.92,0.0,0.0,88.59,88.59,88.59,0.0,0.0,87.82,87.82,87.82,0.0,0.0,87.89,87.89,87.89,0.0,0.0
2018-07-01,87.65,87.65,87.65,0.0,0.0,88.16,88.16,88.16,0.0,0.0,87.52,87.52,87.52,0.0,0.0,88.05,88.05,88.05,0.0,0.0
2018-07-08,89.15,89.15,89.15,0.0,0.0,89.48,89.48,89.48,0.0,0.0,89.12,89.12,89.12,0.0,0.0,89.48,89.48,89.48,0.0,0.0
2018-07-15,89.93,89.93,89.93,0.0,0.0,90.41,90.41,90.41,0.0,0.0,89.92,89.92,89.92,0.0,0.0,90.32,90.32,90.32,0.0,0.0
2018-07-22,92.1,92.1,92.1,0.0,0.0,92.37,92.37,92.37,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.91,91.91,91.91,0.0,0.0
2018-07-29,90.69,90.69,90.69,0.0,0.0,91.13,91.13,91.13,0.0,0.0,90.69,90.69,90.69,0.0,0.0,91.13,91.13,91.13,0.0,0.0
2018-08-05,90.14,90.14,90.14,0.0,0.0,90.14,90.14,90.14,0.0,0.0,89.8,89.8,89.8,0.0,0.0,89.8,89.8,89.8,0.0,0.0
2018-08-12,90.1,90.1,90.1,0.0,0.0,90.67,90.67,90.67,0.0,0.0,90.1,90.1,90.1,0.0,0.0,90.67,90.67,90.67,0.0,0.0
2018-08-19,91.31,91.31,91.31,0.0,0.0,91.51,91.51,91.51,0.0,0.0,91.27,91.27,91.27,0.0,0.0,91.35,91.35,91.35,0.0,0.0
2018-08-26,92.15,92.15,92.15,0.0,0.0,92.18,92.18,92.18,0.0,0.0,91.85,91.85,91.85,0.0,0.0,92.08,92.08,92.08,0.0,0.0
2018-09-02,91.47,91.47,91.47,0.0,0.0,91.56,91.56,91.56,0.0,0.0,91.14,91.14,91.14,0.0,0.0,91.14,91.14,91.14,0.0,0.0
2018-09-09,93.01,93.01,93.01,0.0,0.0,93.23,93.23,93.23,0.0,0.0,93.01,93.01,93.01,0.0,0.0,93.23,93.23,93.23,0.0,0.0
2018-09-16,94.97,94.97,94.97,0.0,0.0,95.12,95.12,95.12,0.0,0.0,94.83,94.83,94.83,0.0,0.0,95.12,95.12,95.12,0.0,0.0
2018-09-23,93.63,93.63,93.63,0.0,0.0,93.95,93.95,93.95,0.0,0.0,93.55,93.55,93.55,0.0,0.0,93.66,93.66,93.66,0.0,0.0
2018-09-30,93.35,93.35,93.35,0.0,0.0,93.6,93.6,93.6,0.0,0.0,92.52,92.52,92.52,0.0,0.0,92.84,92.84,92.84,0.0,0.0
2018-10-07,88.16,88.16,88.16,0.0,0.0,88.16,88.16,88.16,0.0,0.0,86.79,86.79,86.79,0.0,0.0,87.6,87.6,87.6,0.0,0.0
2018-10-14,86.88,86.88,86.88,0.0,0.0,87.21,87.21,87.21,0.0,0.0,86.61,86.61,86.61,0.0,0.0,86.63,86.63,86.63,0.0,0.0
2018-10-21,82.1,82.1,82.1,0.0,0.0,83.09,83.09,83.09,0.0,0.0,81.32,81.32,81.32,0.0,0.0,82.43,82.43,82.43,0.0,0.0
2018-10-28,85.66,85.66,85.66,0.0,0.0,85.66,85.66,85.66,0.0,0.0,84.51,84.51,84.51,0.0,0.0,84.99,84.99,84.99,0.0,0.0
2018-11-04,85.72,85.72,85.72,0.0,0.0,85.72,85.72,85.72,0.0,0.0,84.98,84.98,84.98,0.0,0.0,85.33,85.33,85.33,0.0,0.0
2018-11-11,84.62,84.62,84.62,0.0,0.0,85.08,85.08,85.08,0.0,0.0,84.45,84.45,84.45,0.0,0.0,85.0,85.0,85.0,0.0,0.0
2018-11-18,82.8,82.8,82.8,0.0,0.0,83.37,83.37,83.37,0.0,0.0,82.7,82.7,82.7,0.0,0.0,83.26,83.26,83.26,0.0,0.0
