Date,iShares US Healthcare_Open_average,iShares US Healthcare_Open_max,iShares US Healthcare_Open_min,iShares US Healthcare_Open_volatility,iShares US Healthcare_Open_change,iShares US Healthcare_High_average,iShares US Healthcare_High_max,iShares US Healthcare_High_min,iShares US Healthcare_High_volatility,iShares US Healthcare_High_change,iShares US Healthcare_Low_average,iShares US Healthcare_Low_max,iShares US Healthcare_Low_min,iShares US Healthcare_Low_volatility,iShares US Healthcare_Low_change,iShares US Healthcare_Close_average,iShares US Healthcare_Close_max,iShares US Healthcare_Close_min,iShares US Healthcare_Close_volatility,iShares US Healthcare_Close_change
2018-01-14,186.01,186.01,186.01,0.0,0.0,187.51,187.51,187.51,0.0,0.0,185.71,185.71,185.71,0.0,0.0,187.51,187.51,187.51,0.0,0.0
2018-01-21,192.32,192.32,192.32,0.0,0.0,193.31,193.31,193.31,0.0,0.0,192.32,192.32,192.32,0.0,0.0,192.35,192.35,192.35,0.0,0.0
2018-01-28,182.7,182.7,182.7,0.0,0.0,183.44,183.44,183.44,0.0,0.0,174.85,174.85,174.85,0.0,0.0,175.38,175.38,175.38,0.0,0.0
2018-02-04,174.34,174.34,174.34,0.0,0.0,176.29,176.29,176.29,0.0,0.0,172.93,172.93,172.93,0.0,0.0,175.04,175.04,175.04,0.0,0.0
2018-02-11,178.88,178.88,178.88,0.0,0.0,181.61,181.61,181.61,0.0,0.0,178.88,178.88,178.88,0.0,0.0,180.53,180.53,180.53,0.0,0.0
2018-02-18,180.45,180.45,180.45,0.0,0.0,182.47,182.47,182.47,0.0,0.0,180.45,180.45,180.45,0.0,0.0,182.21,182.21,182.21,0.0,0.0
2018-02-25,175.82,175.82,175.82,0.0,0.0,178.91,178.91,178.91,0.0,0.0,175.82,175.82,175.82,0.0,0.0,178.47,178.47,178.47,0.0,0.0
2018-03-04,183.42,183.42,183.42,0.0,0.0,183.5,183.5,183.5,0.0,0.0,182.31,182.31,182.31,0.0,0.0,182.52,182.52,182.52,0.0,0.0
2018-03-11,181.01,181.01,181.01,0.0,0.0,181.27,181.27,181.27,0.0,0.0,177.16,177.16,177.16,0.0,0.0,178.56,178.56,178.56,0.0,0.0
2018-03-18,171.13,171.13,171.13,0.0,0.0,172.94,172.94,172.94,0.0,0.0,169.2,169.2,169.2,0.0,0.0,172.73,172.73,172.73,0.0,0.0
2018-03-25,172.08,172.08,172.08,0.0,0.0,172.5,172.5,172.5,0.0,0.0,166.89,166.89,166.89,0.0,0.0,168.2,168.2,168.2,0.0,0.0
2018-04-01,170.06,170.06,170.06,0.0,0.0,173.03,173.03,173.03,0.0,0.0,169.64,169.64,169.64,0.0,0.0,170.7,170.7,170.7,0.0,0.0
2018-04-08,174.57,174.57,174.57,0.0,0.0,175.15,175.15,175.15,0.0,0.0,174.4,174.4,174.4,0.0,0.0,174.72,174.72,174.72,0.0,0.0
2018-04-15,174.5,174.5,174.5,0.0,0.0,175.05,175.05,175.05,0.0,0.0,173.88,173.88,173.88,0.0,0.0,174.55,174.55,174.55,0.0,0.0
2018-04-22,177.0,177.0,177.0,0.0,0.0,177.01,177.01,177.01,0.0,0.0,173.95,173.95,173.95,0.0,0.0,173.95,173.95,173.95,0.0,0.0
2018-04-29,172.4,172.4,172.4,0.0,0.0,173.21,173.21,173.21,0.0,0.0,171.58,171.58,171.58,0.0,0.0,171.9,171.9,171.9,0.0,0.0
2018-05-06,176.83,176.83,176.83,0.0,0.0,178.5,178.5,178.5,0.0,0.0,176.83,176.83,176.83,0.0,0.0,177.79,177.79,177.79,0.0,0.0
2018-05-13,177.79,177.79,177.79,0.0,0.0,178.13,178.13,178.13,0.0,0.0,177.0,177.0,177.0,0.0,0.0,177.12,177.12,177.12,0.0,0.0
2018-05-20,176.63,176.63,176.63,0.0,0.0,177.61,177.61,177.61,0.0,0.0,176.4,176.4,176.4,0.0,0.0,176.84,176.84,176.84,0.0,0.0
2018-05-27,178.16,178.16,178.16,0.0,0.0,178.62,178.62,178.62,0.0,0.0,177.3,177.3,177.3,0.0,0.0,178.43,178.43,178.43,0.0,0.0
2018-06-03,181.43,181.43,181.43,0.0,0.0,182.5,182.5,182.5,0.0,0.0,181.11,181.11,181.11,0.0,0.0,181.73,181.73,181.73,0.0,0.0
2018-06-10,182.1,182.1,182.1,0.0,0.0,182.1,182.1,182.1,0.0,0.0,180.81,180.81,180.81,0.0,0.0,181.46,181.46,181.46,0.0,0.0
2018-06-17,181.32,181.32,181.32,0.0,0.0,181.73,181.73,181.73,0.0,0.0,178.86,178.86,178.86,0.0,0.0,180.15,180.15,180.15,0.0,0.0
2018-06-24,177.39,177.39,177.39,0.0,0.0,178.85,178.85,178.85,0.0,0.0,176.74,176.74,176.74,0.0,0.0,178.76,178.76,178.76,0.0,0.0
2018-07-01,184.43,184.43,184.43,0.0,0.0,185.24,185.24,185.24,0.0,0.0,184.43,184.43,184.43,0.0,0.0,184.93,184.93,184.93,0.0,0.0
2018-07-08,186.82,186.82,186.82,0.0,0.0,186.82,186.82,186.82,0.0,0.0,185.4,185.4,185.4,0.0,0.0,185.51,185.51,185.51,0.0,0.0
2018-07-15,185.34,185.34,185.34,0.0,0.0,186.22,186.22,186.22,0.0,0.0,185.34,185.34,185.34,0.0,0.0,186.01,186.01,186.01,0.0,0.0
2018-07-22,187.61,187.61,187.61,0.0,0.0,188.02,188.02,188.02,0.0,0.0,187.16,187.16,187.16,0.0,0.0,187.67,187.67,187.67,0.0,0.0
2018-07-29,191.38,191.38,191.38,0.0,0.0,192.26,192.26,192.26,0.0,0.0,190.79,190.79,190.79,0.0,0.0,191.89,191.89,191.89,0.0,0.0
2018-08-05,191.38,191.38,191.38,0.0,0.0,192.27,192.27,192.27,0.0,0.0,190.99,190.99,190.99,0.0,0.0,191.38,191.38,191.38,0.0,0.0
2018-08-12,194.54,194.54,194.54,0.0,0.0,195.2,195.2,195.2,0.0,0.0,194.54,194.54,194.54,0.0,0.0,194.9,194.9,194.9,0.0,0.0
2018-08-19,197.19,197.19,197.19,0.0,0.0,197.19,197.19,197.19,0.0,0.0,196.28,196.28,196.28,0.0,0.0,197.02,197.02,197.02,0.0,0.0
2018-08-26,197.96,197.96,197.96,0.0,0.0,198.43,198.43,198.43,0.0,0.0,197.65,197.65,197.65,0.0,0.0,198.24,198.24,198.24,0.0,0.0
2018-09-02,197.92,197.92,197.92,0.0,0.0,198.2,198.2,198.2,0.0,0.0,196.85,196.85,196.85,0.0,0.0,196.85,196.85,196.85,0.0,0.0
2018-09-09,199.61,199.61,199.61,0.0,0.0,199.61,199.61,199.61,0.0,0.0,198.33,198.33,198.33,0.0,0.0,198.58,198.58,198.58,0.0,0.0
2018-09-16,201.54,201.54,201.54,0.0,0.0,202.45,202.45,202.45,0.0,0.0,201.31,201.31,201.31,0.0,0.0,202.09,202.09,202.09,0.0,0.0
2018-09-23,203.56,203.56,203.56,0.0,0.0,204.83,204.83,204.83,0.0,0.0,203.32,203.32,203.32,0.0,0.0,204.02,204.02,204.02,0.0,0.0
2018-09-30,200.32,200.32,200.32,0.0,0.0,200.8,200.8,200.8,0.0,0.0,198.47,198.47,198.47,0.0,0.0,200.12,200.12,200.12,0.0,0.0
2018-10-07,193.23,193.23,193.23,0.0,0.0,193.93,193.93,193.93,0.0,0.0,192.06,192.06,192.06,0.0,0.0,192.1,192.1,192.1,0.0,0.0
2018-10-14,194.11,194.11,194.11,0.0,0.0,194.2,194.2,194.2,0.0,0.0,191.85,191.85,191.85,0.0,0.0,192.68,192.68,192.68,0.0,0.0
2018-10-21,187.58,187.58,187.58,0.0,0.0,188.85,188.85,188.85,0.0,0.0,183.07,183.07,183.07,0.0,0.0,185.62,185.62,185.62,0.0,0.0
2018-10-28,190.53,190.53,190.53,0.0,0.0,192.3,192.3,192.3,0.0,0.0,190.51,190.51,190.51,0.0,0.0,191.58,191.58,191.58,0.0,0.0
2018-11-04,196.62,196.62,196.62,0.0,0.0,196.62,196.62,196.62,0.0,0.0,193.61,193.61,193.61,0.0,0.0,194.03,194.03,194.03,0.0,0.0
2018-11-11,194.76,194.76,194.76,0.0,0.0,194.88,194.88,194.88,0.0,0.0,191.1,191.1,191.1,0.0,0.0,191.82,191.82,191.82,0.0,0.0
2018-11-18,191.35,191.35,191.35,0.0,0.0,191.89,191.89,191.89,0.0,0.0,190.35,190.35,190.35,0.0,0.0,191.48,191.48,191.48,0.0,0.0
2018-11-25,203.1,203.1,203.1,0.0,0.0,203.1,203.1,203.1,0.0,0.0,200.68,200.68,200.68,0.0,0.0,201.93,201.93,201.93,0.0,0.0
