Date,iShares Global Materials_etf_Open_average,iShares Global Materials_etf_Open_max,iShares Global Materials_etf_Open_min,iShares Global Materials_etf_Open_volatility,iShares Global Materials_etf_Open_change,iShares Global Materials_etf_High_average,iShares Global Materials_etf_High_max,iShares Global Materials_etf_High_min,iShares Global Materials_etf_High_volatility,iShares Global Materials_etf_High_change,iShares Global Materials_etf_Low_average,iShares Global Materials_etf_Low_max,iShares Global Materials_etf_Low_min,iShares Global Materials_etf_Low_volatility,iShares Global Materials_etf_Low_change,iShares Global Materials_etf_Close_average,iShares Global Materials_etf_Close_max,iShares Global Materials_etf_Close_min,iShares Global Materials_etf_Close_volatility,iShares Global Materials_etf_Close_change
2018-01-14,74.18,74.18,74.18,0.0,0.0,74.33,74.33,74.33,0.0,0.0,73.93,73.93,73.93,0.0,0.0,74.17,74.17,74.17,0.0,0.0
2018-01-21,74.71,74.71,74.71,0.0,0.0,75.12,75.12,75.12,0.0,0.0,74.42,74.42,74.42,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2018-01-28,72.59,72.59,72.59,0.0,0.0,72.59,72.59,72.59,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.06,71.06,71.06,0.0,0.0
2018-02-04,67.64,67.64,67.64,0.0,0.0,68.08,68.08,68.08,0.0,0.0,66.13,66.13,66.13,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-02-11,71.26,71.26,71.26,0.0,0.0,71.71,71.71,71.71,0.0,0.0,70.94,70.94,70.94,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-02-18,71.02,71.02,71.02,0.0,0.0,71.62,71.62,71.62,0.0,0.0,70.79,70.79,70.79,0.0,0.0,71.54,71.54,71.54,0.0,0.0
2018-02-25,67.99,67.99,67.99,0.0,0.0,68.45,68.45,68.45,0.0,0.0,67.47,67.47,67.47,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-03-04,69.8,69.8,69.8,0.0,0.0,70.36,70.36,70.36,0.0,0.0,69.8,69.8,69.8,0.0,0.0,70.34,70.34,70.34,0.0,0.0
2018-03-11,69.45,69.45,69.45,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.51,69.51,69.51,0.0,0.0
2018-03-18,67.45,67.45,67.45,0.0,0.0,67.67,67.67,67.67,0.0,0.0,66.46,66.46,66.46,0.0,0.0,66.55,66.55,66.55,0.0,0.0
