Date,Franklin FTSE CanadaEtf_Open_average,Franklin FTSE CanadaEtf_Open_max,Franklin FTSE CanadaEtf_Open_min,Franklin FTSE CanadaEtf_Open_volatility,Franklin FTSE CanadaEtf_Open_change,Franklin FTSE CanadaEtf_High_average,Franklin FTSE CanadaEtf_High_max,Franklin FTSE CanadaEtf_High_min,Franklin FTSE CanadaEtf_High_volatility,Franklin FTSE CanadaEtf_High_change,Franklin FTSE CanadaEtf_Low_average,Franklin FTSE CanadaEtf_Low_max,Franklin FTSE CanadaEtf_Low_min,Franklin FTSE CanadaEtf_Low_volatility,Franklin FTSE CanadaEtf_Low_change,Franklin FTSE CanadaEtf_Close_average,Franklin FTSE CanadaEtf_Close_max,Franklin FTSE CanadaEtf_Close_min,Franklin FTSE CanadaEtf_Close_volatility,Franklin FTSE CanadaEtf_Close_change
2018-01-14,26.19,26.19,26.19,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.1,26.1,26.1,0.0,0.0,26.1,26.1,26.1,0.0,0.0
2018-01-21,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.19,26.19,26.19,0.0,0.0,26.19,26.19,26.19,0.0,0.0
2018-01-28,25.76,25.76,25.76,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-02-04,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-02-11,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2018-02-18,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-02-25,23.78,23.78,23.78,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-03-04,23.66,23.66,23.66,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.66,23.66,23.66,0.0,0.0
2018-03-11,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-03-18,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2018-03-25,23.72,23.72,23.72,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.82,23.82,23.82,0.0,0.0
