Date,iShares Currency Hedged MSCI EAFE Small Cap_Open_average,iShares Currency Hedged MSCI EAFE Small Cap_Open_max,iShares Currency Hedged MSCI EAFE Small Cap_Open_min,iShares Currency Hedged MSCI EAFE Small Cap_Open_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Open_change,iShares Currency Hedged MSCI EAFE Small Cap_High_average,iShares Currency Hedged MSCI EAFE Small Cap_High_max,iShares Currency Hedged MSCI EAFE Small Cap_High_min,iShares Currency Hedged MSCI EAFE Small Cap_High_volatility,iShares Currency Hedged MSCI EAFE Small Cap_High_change,iShares Currency Hedged MSCI EAFE Small Cap_Low_average,iShares Currency Hedged MSCI EAFE Small Cap_Low_max,iShares Currency Hedged MSCI EAFE Small Cap_Low_min,iShares Currency Hedged MSCI EAFE Small Cap_Low_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Low_change,iShares Currency Hedged MSCI EAFE Small Cap_Close_average,iShares Currency Hedged MSCI EAFE Small Cap_Close_max,iShares Currency Hedged MSCI EAFE Small Cap_Close_min,iShares Currency Hedged MSCI EAFE Small Cap_Close_volatility,iShares Currency Hedged MSCI EAFE Small Cap_Close_change
2018-01-14,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-01-21,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2018-01-28,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-02-04,29.93,29.93,29.93,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.93,29.93,29.93,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-02-11,30.39,30.39,30.39,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-02-18,30.94,30.94,30.94,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-02-25,29.74,29.74,29.74,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.74,29.74,29.74,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-03-04,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-03-11,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.43,30.43,30.43,0.0,0.0
2018-03-18,29.74,29.74,29.74,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.98,29.98,29.98,0.0,0.0
2018-03-25,30.12,30.12,30.12,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.26,30.26,30.26,0.0,0.0
2018-04-01,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-04-08,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0
