Date,iShares Interest Rate Hedged Corproate Bond_Open_average,iShares Interest Rate Hedged Corproate Bond_Open_max,iShares Interest Rate Hedged Corproate Bond_Open_min,iShares Interest Rate Hedged Corproate Bond_Open_volatility,iShares Interest Rate Hedged Corproate Bond_Open_change,iShares Interest Rate Hedged Corproate Bond_High_average,iShares Interest Rate Hedged Corproate Bond_High_max,iShares Interest Rate Hedged Corproate Bond_High_min,iShares Interest Rate Hedged Corproate Bond_High_volatility,iShares Interest Rate Hedged Corproate Bond_High_change,iShares Interest Rate Hedged Corproate Bond_Low_average,iShares Interest Rate Hedged Corproate Bond_Low_max,iShares Interest Rate Hedged Corproate Bond_Low_min,iShares Interest Rate Hedged Corproate Bond_Low_volatility,iShares Interest Rate Hedged Corproate Bond_Low_change,iShares Interest Rate Hedged Corproate Bond_Close_average,iShares Interest Rate Hedged Corproate Bond_Close_max,iShares Interest Rate Hedged Corproate Bond_Close_min,iShares Interest Rate Hedged Corproate Bond_Close_volatility,iShares Interest Rate Hedged Corproate Bond_Close_change
2018-01-14,97.69,97.69,97.69,0.0,0.0,97.7,97.7,97.7,0.0,0.0,97.56,97.56,97.56,0.0,0.0,97.69,97.69,97.69,0.0,0.0
2018-01-21,98.41,98.41,98.41,0.0,0.0,98.5,98.5,98.5,0.0,0.0,98.33,98.33,98.33,0.0,0.0,98.5,98.5,98.5,0.0,0.0
2018-01-28,98.41,98.41,98.41,0.0,0.0,98.41,98.41,98.41,0.0,0.0,98.13,98.13,98.13,0.0,0.0,98.16,98.16,98.16,0.0,0.0
2018-02-04,97.56,97.56,97.56,0.0,0.0,97.56,97.56,97.56,0.0,0.0,97.2,97.2,97.2,0.0,0.0,97.49,97.49,97.49,0.0,0.0
2018-02-11,97.7,97.7,97.7,0.0,0.0,97.75,97.75,97.75,0.0,0.0,97.64,97.64,97.64,0.0,0.0,97.75,97.75,97.75,0.0,0.0
2018-02-18,97.53,97.53,97.53,0.0,0.0,97.57,97.57,97.57,0.0,0.0,97.45,97.45,97.45,0.0,0.0,97.52,97.52,97.52,0.0,0.0
2018-02-25,96.46,96.46,96.46,0.0,0.0,96.61,96.61,96.61,0.0,0.0,96.42,96.42,96.42,0.0,0.0,96.5,96.5,96.5,0.0,0.0
2018-03-04,97.02,97.02,97.02,0.0,0.0,97.06,97.06,97.06,0.0,0.0,96.81,96.81,96.81,0.0,0.0,96.93,96.93,96.93,0.0,0.0
2018-03-11,97.1,97.1,97.1,0.0,0.0,97.11,97.11,97.11,0.0,0.0,97.04,97.04,97.04,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2018-03-18,96.49,96.49,96.49,0.0,0.0,96.5,96.5,96.5,0.0,0.0,96.13,96.13,96.13,0.0,0.0,96.13,96.13,96.13,0.0,0.0
2018-03-25,96.64,96.64,96.64,0.0,0.0,96.72,96.72,96.72,0.0,0.0,96.62,96.62,96.62,0.0,0.0,96.71,96.71,96.71,0.0,0.0
2018-04-01,96.77,96.77,96.77,0.0,0.0,96.86,96.86,96.86,0.0,0.0,96.65,96.65,96.65,0.0,0.0,96.8,96.8,96.8,0.0,0.0
2018-04-08,97.17,97.17,97.17,0.0,0.0,97.26,97.26,97.26,0.0,0.0,97.08,97.08,97.08,0.0,0.0,97.18,97.18,97.18,0.0,0.0
2018-04-15,96.94,96.94,96.94,0.0,0.0,96.94,96.94,96.94,0.0,0.0,96.71,96.71,96.71,0.0,0.0,96.73,96.73,96.73,0.0,0.0
2018-04-22,96.7,96.7,96.7,0.0,0.0,96.86,96.86,96.86,0.0,0.0,96.69,96.69,96.69,0.0,0.0,96.85,96.85,96.85,0.0,0.0
2018-04-29,96.05,96.05,96.05,0.0,0.0,96.1,96.1,96.1,0.0,0.0,96.04,96.04,96.04,0.0,0.0,96.1,96.1,96.1,0.0,0.0
2018-05-06,96.82,96.82,96.82,0.0,0.0,96.86,96.86,96.86,0.0,0.0,96.67,96.67,96.67,0.0,0.0,96.86,96.86,96.86,0.0,0.0
2018-05-13,96.63,96.63,96.63,0.0,0.0,96.69,96.69,96.69,0.0,0.0,96.53,96.53,96.53,0.0,0.0,96.69,96.69,96.69,0.0,0.0
2018-05-20,96.63,96.63,96.63,0.0,0.0,96.63,96.63,96.63,0.0,0.0,96.42,96.42,96.42,0.0,0.0,96.55,96.55,96.55,0.0,0.0
2018-05-27,96.11,96.11,96.11,0.0,0.0,96.3,96.3,96.3,0.0,0.0,96.11,96.11,96.11,0.0,0.0,96.2,96.2,96.2,0.0,0.0
2018-06-03,96.04,96.04,96.04,0.0,0.0,96.12,96.12,96.12,0.0,0.0,96.0,96.0,96.0,0.0,0.0,96.02,96.02,96.02,0.0,0.0
2018-06-10,96.33,96.33,96.33,0.0,0.0,96.33,96.33,96.33,0.0,0.0,96.16,96.16,96.16,0.0,0.0,96.19,96.19,96.19,0.0,0.0
2018-06-17,95.43,95.43,95.43,0.0,0.0,95.45,95.45,95.45,0.0,0.0,95.35,95.35,95.35,0.0,0.0,95.45,95.45,95.45,0.0,0.0
2018-06-24,95.53,95.53,95.53,0.0,0.0,95.58,95.58,95.58,0.0,0.0,95.52,95.52,95.52,0.0,0.0,95.53,95.53,95.53,0.0,0.0
2018-07-01,95.83,95.83,95.83,0.0,0.0,95.89,95.89,95.89,0.0,0.0,95.78,95.78,95.78,0.0,0.0,95.86,95.86,95.86,0.0,0.0
2018-07-08,96.3,96.3,96.3,0.0,0.0,96.34,96.34,96.34,0.0,0.0,96.28,96.28,96.28,0.0,0.0,96.29,96.29,96.29,0.0,0.0
2018-07-15,96.15,96.15,96.15,0.0,0.0,96.3,96.3,96.3,0.0,0.0,96.14,96.14,96.14,0.0,0.0,96.3,96.3,96.3,0.0,0.0
2018-07-22,96.99,96.99,96.99,0.0,0.0,96.99,96.99,96.99,0.0,0.0,96.84,96.84,96.84,0.0,0.0,96.95,96.95,96.95,0.0,0.0
2018-07-29,96.97,96.97,96.97,0.0,0.0,97.47,97.47,97.47,0.0,0.0,96.94,96.94,96.94,0.0,0.0,97.02,97.02,97.02,0.0,0.0
2018-08-05,96.19,96.19,96.19,0.0,0.0,96.29,96.29,96.29,0.0,0.0,96.1,96.1,96.1,0.0,0.0,96.27,96.27,96.27,0.0,0.0
2018-08-12,96.71,96.71,96.71,0.0,0.0,96.73,96.73,96.73,0.0,0.0,96.59,96.59,96.59,0.0,0.0,96.7,96.7,96.7,0.0,0.0
2018-08-19,96.48,96.48,96.48,0.0,0.0,96.53,96.53,96.53,0.0,0.0,96.41,96.41,96.41,0.0,0.0,96.49,96.49,96.49,0.0,0.0
2018-08-26,96.38,96.38,96.38,0.0,0.0,96.38,96.38,96.38,0.0,0.0,96.17,96.17,96.17,0.0,0.0,96.23,96.23,96.23,0.0,0.0
2018-09-02,96.13,96.13,96.13,0.0,0.0,96.21,96.21,96.21,0.0,0.0,96.12,96.12,96.12,0.0,0.0,96.21,96.21,96.21,0.0,0.0
2018-09-09,96.86,96.86,96.86,0.0,0.0,96.86,96.86,96.86,0.0,0.0,96.75,96.75,96.75,0.0,0.0,96.75,96.75,96.75,0.0,0.0
2018-09-16,97.13,97.13,97.13,0.0,0.0,97.15,97.15,97.15,0.0,0.0,97.03,97.03,97.03,0.0,0.0,97.05,97.05,97.05,0.0,0.0
2018-09-23,97.14,97.14,97.14,0.0,0.0,97.16,97.16,97.16,0.0,0.0,97.04,97.04,97.04,0.0,0.0,97.16,97.16,97.16,0.0,0.0
2018-09-30,96.77,96.77,96.77,0.0,0.0,96.78,96.78,96.78,0.0,0.0,96.59,96.59,96.59,0.0,0.0,96.71,96.71,96.71,0.0,0.0
2018-10-07,96.6,96.6,96.6,0.0,0.0,96.6,96.6,96.6,0.0,0.0,96.4,96.4,96.4,0.0,0.0,96.59,96.59,96.59,0.0,0.0
2018-10-14,96.53,96.53,96.53,0.0,0.0,96.53,96.53,96.53,0.0,0.0,96.37,96.37,96.37,0.0,0.0,96.5,96.5,96.5,0.0,0.0
2018-10-21,96.0,96.0,96.0,0.0,0.0,96.01,96.01,96.01,0.0,0.0,95.8,95.8,95.8,0.0,0.0,95.8,95.8,95.8,0.0,0.0
2018-10-28,95.78,95.78,95.78,0.0,0.0,95.97,95.97,95.97,0.0,0.0,95.72,95.72,95.72,0.0,0.0,95.9,95.9,95.9,0.0,0.0
2018-11-04,96.21,96.21,96.21,0.0,0.0,96.21,96.21,96.21,0.0,0.0,95.87,95.87,95.87,0.0,0.0,95.99,95.99,95.99,0.0,0.0
2018-11-11,94.68,94.68,94.68,0.0,0.0,94.69,94.69,94.69,0.0,0.0,94.55,94.55,94.55,0.0,0.0,94.68,94.68,94.68,0.0,0.0
2018-11-18,94.51,94.51,94.51,0.0,0.0,94.51,94.51,94.51,0.0,0.0,94.32,94.32,94.32,0.0,0.0,94.39,94.39,94.39,0.0,0.0
2018-11-25,93.85,93.85,93.85,0.0,0.0,93.97,93.97,93.97,0.0,0.0,93.69,93.69,93.69,0.0,0.0,93.76,93.76,93.76,0.0,0.0
2018-12-02,91.88,91.88,91.88,0.0,0.0,92.05,92.05,92.05,0.0,0.0,91.65,91.65,91.65,0.0,0.0,91.79,91.79,91.79,0.0,0.0
2018-12-09,92.45,92.45,92.45,0.0,0.0,92.45,92.45,92.45,0.0,0.0,92.21,92.21,92.21,0.0,0.0,92.28,92.28,92.28,0.0,0.0
2018-12-16,91.77,91.77,91.77,0.0,0.0,91.77,91.77,91.77,0.0,0.0,91.11,91.11,91.11,0.0,0.0,91.33,91.33,91.33,0.0,0.0
2018-12-23,90.86,90.86,90.86,0.0,0.0,90.86,90.86,90.86,0.0,0.0,90.55,90.55,90.55,0.0,0.0,90.69,90.69,90.69,0.0,0.0
2018-12-30,90.4,90.4,90.4,0.0,0.0,90.89,90.89,90.89,0.0,0.0,90.4,90.4,90.4,0.0,0.0,90.68,90.68,90.68,0.0,0.0
2019-01-06,91.45,91.45,91.45,0.0,0.0,91.75,91.75,91.75,0.0,0.0,91.45,91.45,91.45,0.0,0.0,91.61,91.61,91.61,0.0,0.0
2019-01-13,92.29,92.29,92.29,0.0,0.0,92.76,92.76,92.76,0.0,0.0,92.29,92.29,92.29,0.0,0.0,92.56,92.56,92.56,0.0,0.0
2019-01-20,92.75,92.75,92.75,0.0,0.0,93.14,93.14,93.14,0.0,0.0,92.75,92.75,92.75,0.0,0.0,93.03,93.03,93.03,0.0,0.0
2019-01-27,93.32,93.32,93.32,0.0,0.0,93.68,93.68,93.68,0.0,0.0,93.32,93.32,93.32,0.0,0.0,93.67,93.67,93.67,0.0,0.0
2019-02-03,93.08,93.08,93.08,0.0,0.0,93.26,93.26,93.26,0.0,0.0,93.08,93.08,93.08,0.0,0.0,93.26,93.26,93.26,0.0,0.0
2019-02-10,93.36,93.36,93.36,0.0,0.0,93.46,93.46,93.46,0.0,0.0,93.33,93.33,93.33,0.0,0.0,93.37,93.37,93.37,0.0,0.0
2019-02-17,93.27,93.27,93.27,0.0,0.0,93.35,93.35,93.35,0.0,0.0,93.26,93.26,93.26,0.0,0.0,93.31,93.31,93.31,0.0,0.0
2019-02-24,93.74,93.74,93.74,0.0,0.0,93.74,93.74,93.74,0.0,0.0,93.61,93.61,93.61,0.0,0.0,93.62,93.62,93.62,0.0,0.0
2019-03-03,93.12,93.12,93.12,0.0,0.0,93.25,93.25,93.25,0.0,0.0,93.06,93.06,93.06,0.0,0.0,93.25,93.25,93.25,0.0,0.0
2019-03-10,93.38,93.38,93.38,0.0,0.0,93.42,93.42,93.42,0.0,0.0,93.31,93.31,93.31,0.0,0.0,93.32,93.32,93.32,0.0,0.0
2019-03-17,93.46,93.46,93.46,0.0,0.0,93.49,93.49,93.49,0.0,0.0,93.41,93.41,93.41,0.0,0.0,93.45,93.45,93.45,0.0,0.0
2019-03-24,93.54,93.54,93.54,0.0,0.0,93.54,93.54,93.54,0.0,0.0,93.39,93.39,93.39,0.0,0.0,93.45,93.45,93.45,0.0,0.0
2019-03-31,93.54,93.54,93.54,0.0,0.0,93.78,93.78,93.78,0.0,0.0,93.46,93.46,93.46,0.0,0.0,93.65,93.65,93.65,0.0,0.0
2019-04-07,94.33,94.33,94.33,0.0,0.0,94.45,94.45,94.45,0.0,0.0,94.33,94.33,94.33,0.0,0.0,94.41,94.41,94.41,0.0,0.0
2019-04-14,94.44,94.44,94.44,0.0,0.0,94.44,94.44,94.44,0.0,0.0,94.22,94.22,94.22,0.0,0.0,94.33,94.33,94.33,0.0,0.0
2019-04-21,94.64,94.64,94.64,0.0,0.0,94.64,94.64,94.64,0.0,0.0,94.58,94.58,94.58,0.0,0.0,94.62,94.62,94.62,0.0,0.0
2019-04-28,94.17,94.17,94.17,0.0,0.0,94.34,94.34,94.34,0.0,0.0,94.15,94.15,94.15,0.0,0.0,94.34,94.34,94.34,0.0,0.0
