Date,Vanguard Information Technology_Open_average,Vanguard Information Technology_Open_max,Vanguard Information Technology_Open_min,Vanguard Information Technology_Open_volatility,Vanguard Information Technology_Open_change,Vanguard Information Technology_High_average,Vanguard Information Technology_High_max,Vanguard Information Technology_High_min,Vanguard Information Technology_High_volatility,Vanguard Information Technology_High_change,Vanguard Information Technology_Low_average,Vanguard Information Technology_Low_max,Vanguard Information Technology_Low_min,Vanguard Information Technology_Low_volatility,Vanguard Information Technology_Low_change,Vanguard Information Technology_Close_average,Vanguard Information Technology_Close_max,Vanguard Information Technology_Close_min,Vanguard Information Technology_Close_volatility,Vanguard Information Technology_Close_change
2018-01-14,175.93,175.93,175.93,0.0,0.0,177.37,177.37,177.37,0.0,0.0,175.48,175.48,175.48,0.0,0.0,177.37,177.37,177.37,0.0,0.0
2018-01-21,178.89,178.89,178.89,0.0,0.0,178.9,178.9,178.9,0.0,0.0,177.35,177.35,177.35,0.0,0.0,177.71,177.71,177.71,0.0,0.0
2018-01-28,170.24,170.24,170.24,0.0,0.0,173.43,173.43,173.43,0.0,0.0,165.15,165.15,165.15,0.0,0.0,165.33,165.33,165.33,0.0,0.0
2018-02-04,166.21,166.21,166.21,0.0,0.0,168.5,168.5,168.5,0.0,0.0,165.1,165.1,165.1,0.0,0.0,167.53,167.53,167.53,0.0,0.0
2018-02-11,174.29,174.29,174.29,0.0,0.0,176.12,176.12,176.12,0.0,0.0,173.6,173.6,173.6,0.0,0.0,174.35,174.35,174.35,0.0,0.0
2018-02-18,178.32,178.32,178.32,0.0,0.0,180.2,180.2,180.2,0.0,0.0,178.29,178.29,178.29,0.0,0.0,180.16,180.16,180.16,0.0,0.0
2018-02-25,175.56,175.56,175.56,0.0,0.0,178.87,178.87,178.87,0.0,0.0,175.22,175.22,175.22,0.0,0.0,178.31,178.31,178.31,0.0,0.0
2018-03-04,184.9,184.9,184.9,0.0,0.0,185.63,185.63,185.63,0.0,0.0,184.29,184.29,184.29,0.0,0.0,184.96,184.96,184.96,0.0,0.0
2018-03-11,180.64,180.64,180.64,0.0,0.0,180.64,180.64,180.64,0.0,0.0,177.02,177.02,177.02,0.0,0.0,178.63,178.63,178.63,0.0,0.0
2018-03-18,171.97,171.97,171.97,0.0,0.0,175.19,175.19,175.19,0.0,0.0,169.65,169.65,169.65,0.0,0.0,175.03,175.03,175.03,0.0,0.0
2018-03-25,170.27,170.27,170.27,0.0,0.0,171.06,171.06,171.06,0.0,0.0,164.94,164.94,164.94,0.0,0.0,166.88,166.88,166.88,0.0,0.0
