Date,Direxion Daily Gold Miners Bear 3X Shares_Open_average,Direxion Daily Gold Miners Bear 3X Shares_Open_max,Direxion Daily Gold Miners Bear 3X Shares_Open_min,Direxion Daily Gold Miners Bear 3X Shares_Open_volatility,Direxion Daily Gold Miners Bear 3X Shares_Open_change,Direxion Daily Gold Miners Bear 3X Shares_High_average,Direxion Daily Gold Miners Bear 3X Shares_High_max,Direxion Daily Gold Miners Bear 3X Shares_High_min,Direxion Daily Gold Miners Bear 3X Shares_High_volatility,Direxion Daily Gold Miners Bear 3X Shares_High_change,Direxion Daily Gold Miners Bear 3X Shares_Low_average,Direxion Daily Gold Miners Bear 3X Shares_Low_max,Direxion Daily Gold Miners Bear 3X Shares_Low_min,Direxion Daily Gold Miners Bear 3X Shares_Low_volatility,Direxion Daily Gold Miners Bear 3X Shares_Low_change,Direxion Daily Gold Miners Bear 3X Shares_Close_average,Direxion Daily Gold Miners Bear 3X Shares_Close_max,Direxion Daily Gold Miners Bear 3X Shares_Close_min,Direxion Daily Gold Miners Bear 3X Shares_Close_volatility,Direxion Daily Gold Miners Bear 3X Shares_Close_change
2018-01-14,550.5,550.5,550.5,0.0,0.0,563.0,563.0,563.0,0.0,0.0,542.75,542.75,542.75,0.0,0.0,550.5,550.5,550.5,0.0,0.0
2018-01-21,520.0,520.0,520.0,0.0,0.0,553.5,553.5,553.5,0.0,0.0,518.27,518.27,518.27,0.0,0.0,548.25,548.25,548.25,0.0,0.0
2018-01-28,592.25,592.25,592.25,0.0,0.0,633.75,633.75,633.75,0.0,0.0,591.25,591.25,591.25,0.0,0.0,614.25,614.25,614.25,0.0,0.0
2018-02-04,716.0,716.0,716.0,0.0,0.0,728.75,728.75,728.75,0.0,0.0,658.75,658.75,658.75,0.0,0.0,676.5,676.5,676.5,0.0,0.0
2018-02-11,595.0,595.0,595.0,0.0,0.0,641.25,641.25,641.25,0.0,0.0,589.75,589.75,589.75,0.0,0.0,619.75,619.75,619.75,0.0,0.0
2018-02-18,651.5,651.5,651.5,0.0,0.0,659.48,659.48,659.48,0.0,0.0,637.5,637.5,637.5,0.0,0.0,643.25,643.25,643.25,0.0,0.0
2018-02-25,707.5,707.5,707.5,0.0,0.0,722.25,722.25,722.25,0.0,0.0,688.5,688.5,688.5,0.0,0.0,690.0,690.0,690.0,0.0,0.0
2018-03-04,703.5,703.5,703.5,0.0,0.0,714.5,714.5,714.5,0.0,0.0,673.25,673.25,673.25,0.0,0.0,674.5,674.5,674.5,0.0,0.0
2018-03-11,711.25,711.25,711.25,0.0,0.0,727.25,727.25,727.25,0.0,0.0,694.55,694.55,694.55,0.0,0.0,701.5,701.5,701.5,0.0,0.0
2018-03-18,622.25,622.25,622.25,0.0,0.0,623.24,623.24,623.24,0.0,0.0,602.5,602.5,602.5,0.0,0.0,607.75,607.75,607.75,0.0,0.0
2018-03-25,623.5,623.5,623.5,0.0,0.0,633.0,633.0,633.0,0.0,0.0,604.0,604.0,604.0,0.0,0.0,623.5,623.5,623.5,0.0,0.0
2018-04-01,635.5,635.5,635.5,0.0,0.0,655.75,655.75,655.75,0.0,0.0,624.75,624.75,624.75,0.0,0.0,642.0,642.0,642.0,0.0,0.0
2018-04-08,561.25,561.25,561.25,0.0,0.0,581.25,581.25,581.25,0.0,0.0,560.25,560.25,560.25,0.0,0.0,572.25,572.25,572.25,0.0,0.0
2018-04-15,596.75,596.75,596.75,0.0,0.0,604.5,604.5,604.5,0.0,0.0,591.0,591.0,591.0,0.0,0.0,601.0,601.0,601.0,0.0,0.0
2018-04-22,598.5,598.5,598.5,0.0,0.0,613.25,613.25,613.25,0.0,0.0,595.67,595.67,595.67,0.0,0.0,610.25,610.25,610.25,0.0,0.0
2018-04-29,588.0,588.0,588.0,0.0,0.0,588.0,588.0,588.0,0.0,0.0,571.25,571.25,571.25,0.0,0.0,581.25,581.25,581.25,0.0,0.0
2018-05-06,558.75,558.75,558.75,0.0,0.0,579.75,579.75,579.75,0.0,0.0,558.52,558.52,558.52,0.0,0.0,572.5,572.5,572.5,0.0,0.0
2018-05-13,619.75,619.75,619.75,0.0,0.0,628.0,628.0,628.0,0.0,0.0,605.67,605.67,605.67,0.0,0.0,606.5,606.5,606.5,0.0,0.0
2018-05-20,590.25,590.25,590.25,0.0,0.0,610.75,610.75,610.75,0.0,0.0,588.5,588.5,588.5,0.0,0.0,606.0,606.0,606.0,0.0,0.0
2018-05-27,596.25,596.25,596.25,0.0,0.0,611.75,611.75,611.75,0.0,0.0,594.0,594.0,594.0,0.0,0.0,609.5,609.5,609.5,0.0,0.0
2018-06-03,604.0,604.0,604.0,0.0,0.0,607.75,607.75,607.75,0.0,0.0,587.5,587.5,587.5,0.0,0.0,588.0,588.0,588.0,0.0,0.0
2018-06-10,614.25,614.25,614.25,0.0,0.0,616.75,616.75,616.75,0.0,0.0,602.75,602.75,602.75,0.0,0.0,606.5,606.5,606.5,0.0,0.0
2018-06-17,622.5,622.5,622.5,0.0,0.0,634.75,634.75,634.75,0.0,0.0,617.25,617.25,617.25,0.0,0.0,631.5,631.5,631.5,0.0,0.0
2018-06-24,620.0,620.0,620.0,0.0,0.0,631.0,631.0,631.0,0.0,0.0,612.0,612.0,612.0,0.0,0.0,625.75,625.75,625.75,0.0,0.0
2018-07-01,561.0,561.0,561.0,0.0,0.0,585.5,585.5,585.5,0.0,0.0,555.25,555.25,555.25,0.0,0.0,583.0,583.0,583.0,0.0,0.0
2018-07-08,635.75,635.75,635.75,0.0,0.0,644.5,644.5,644.5,0.0,0.0,626.75,626.75,626.75,0.0,0.0,639.25,639.25,639.25,0.0,0.0
2018-07-15,658.25,658.25,658.25,0.0,0.0,686.25,686.25,686.25,0.0,0.0,657.75,657.75,657.75,0.0,0.0,684.25,684.25,684.25,0.0,0.0
2018-07-22,690.5,690.5,690.5,0.0,0.0,698.25,698.25,698.25,0.0,0.0,679.75,679.75,679.75,0.0,0.0,691.0,691.0,691.0,0.0,0.0
2018-07-29,723.25,723.25,723.25,0.0,0.0,729.0,729.0,729.0,0.0,0.0,712.5,712.5,712.5,0.0,0.0,725.25,725.25,725.25,0.0,0.0
2018-08-05,789.5,789.5,789.5,0.0,0.0,840.0,840.0,840.0,0.0,0.0,781.5,781.5,781.5,0.0,0.0,828.75,828.75,828.75,0.0,0.0
2018-08-12,960.0,960.0,960.0,0.0,0.0,1001.25,1001.25,1001.25,0.0,0.0,943.25,943.25,943.25,0.0,0.0,966.5,966.5,966.5,0.0,0.0
2018-08-19,915.75,915.75,915.75,0.0,0.0,923.25,923.25,923.25,0.0,0.0,883.75,883.75,883.75,0.0,0.0,886.5,886.5,886.5,0.0,0.0
2018-08-26,971.75,971.75,971.75,0.0,0.0,1000.75,1000.75,1000.75,0.0,0.0,948.5,948.5,948.5,0.0,0.0,993.5,993.5,993.5,0.0,0.0
