Date,SPDR S&P Health Care Equipment_Open_average,SPDR S&P Health Care Equipment_Open_max,SPDR S&P Health Care Equipment_Open_min,SPDR S&P Health Care Equipment_Open_volatility,SPDR S&P Health Care Equipment_Open_change,SPDR S&P Health Care Equipment_High_average,SPDR S&P Health Care Equipment_High_max,SPDR S&P Health Care Equipment_High_min,SPDR S&P Health Care Equipment_High_volatility,SPDR S&P Health Care Equipment_High_change,SPDR S&P Health Care Equipment_Low_average,SPDR S&P Health Care Equipment_Low_max,SPDR S&P Health Care Equipment_Low_min,SPDR S&P Health Care Equipment_Low_volatility,SPDR S&P Health Care Equipment_Low_change,SPDR S&P Health Care Equipment_Close_average,SPDR S&P Health Care Equipment_Close_max,SPDR S&P Health Care Equipment_Close_min,SPDR S&P Health Care Equipment_Close_volatility,SPDR S&P Health Care Equipment_Close_change
2018-01-14,68.2,68.2,68.2,0.0,0.0,68.48,68.48,68.48,0.0,0.0,67.98,67.98,67.98,0.0,0.0,68.38,68.38,68.38,0.0,0.0
2018-01-21,70.84,70.84,70.84,0.0,0.0,71.07,71.07,71.07,0.0,0.0,70.7,70.7,70.7,0.0,0.0,70.87,70.87,70.87,0.0,0.0
2018-01-28,68.17,68.17,68.17,0.0,0.0,68.49,68.49,68.49,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.2,66.2,66.2,0.0,0.0
2018-02-04,64.46,64.46,64.46,0.0,0.0,65.36,65.36,65.36,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.93,64.93,64.93,0.0,0.0
2018-02-11,67.04,67.04,67.04,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.04,67.04,67.04,0.0,0.0,67.38,67.38,67.38,0.0,0.0
2018-02-18,67.95,67.95,67.95,0.0,0.0,68.64,68.64,68.64,0.0,0.0,67.69,67.69,67.69,0.0,0.0,68.46,68.46,68.46,0.0,0.0
2018-02-25,67.09,67.09,67.09,0.0,0.0,68.12,68.12,68.12,0.0,0.0,67.0,67.0,67.0,0.0,0.0,68.08,68.08,68.08,0.0,0.0
2018-03-04,71.22,71.22,71.22,0.0,0.0,71.51,71.51,71.51,0.0,0.0,71.12,71.12,71.12,0.0,0.0,71.38,71.38,71.38,0.0,0.0
2018-03-11,70.92,70.92,70.92,0.0,0.0,71.04,71.04,71.04,0.0,0.0,69.51,69.51,69.51,0.0,0.0,70.23,70.23,70.23,0.0,0.0
2018-03-18,69.08,69.08,69.08,0.0,0.0,69.92,69.92,69.92,0.0,0.0,68.79,68.79,68.79,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-03-25,69.39,69.39,69.39,0.0,0.0,69.87,69.87,69.87,0.0,0.0,67.59,67.59,67.59,0.0,0.0,68.23,68.23,68.23,0.0,0.0
2018-04-01,68.69,68.69,68.69,0.0,0.0,69.55,69.55,69.55,0.0,0.0,68.67,68.67,68.67,0.0,0.0,68.88,68.88,68.88,0.0,0.0
2018-04-08,70.57,70.57,70.57,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.57,70.57,70.57,0.0,0.0,71.12,71.12,71.12,0.0,0.0
2018-04-15,71.65,71.65,71.65,0.0,0.0,71.86,71.86,71.86,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.34,71.34,71.34,0.0,0.0
2018-04-22,71.92,71.92,71.92,0.0,0.0,71.93,71.93,71.93,0.0,0.0,71.05,71.05,71.05,0.0,0.0,71.26,71.26,71.26,0.0,0.0
2018-04-29,73.25,73.25,73.25,0.0,0.0,73.87,73.87,73.87,0.0,0.0,73.25,73.25,73.25,0.0,0.0,73.56,73.56,73.56,0.0,0.0
2018-05-06,74.75,74.75,74.75,0.0,0.0,75.0,75.0,75.0,0.0,0.0,74.45,74.45,74.45,0.0,0.0,74.71,74.71,74.71,0.0,0.0
2018-05-13,76.7,76.7,76.7,0.0,0.0,76.7,76.7,76.7,0.0,0.0,75.94,75.94,75.94,0.0,0.0,76.19,76.19,76.19,0.0,0.0
2018-05-20,76.35,76.35,76.35,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.29,76.29,76.29,0.0,0.0
2018-05-27,78.25,78.25,78.25,0.0,0.0,78.48,78.48,78.48,0.0,0.0,77.62,77.62,77.62,0.0,0.0,78.48,78.48,78.48,0.0,0.0
2018-06-03,78.99,78.99,78.99,0.0,0.0,79.57,79.57,79.57,0.0,0.0,78.58,78.58,78.58,0.0,0.0,79.22,79.22,79.22,0.0,0.0
2018-06-10,80.45,80.45,80.45,0.0,0.0,80.99,80.99,80.99,0.0,0.0,80.14,80.14,80.14,0.0,0.0,80.99,80.99,80.99,0.0,0.0
2018-06-17,79.97,79.97,79.97,0.0,0.0,80.03,80.03,80.03,0.0,0.0,78.29,78.29,78.29,0.0,0.0,78.79,78.79,78.79,0.0,0.0
2018-06-24,77.96,77.96,77.96,0.0,0.0,78.7,78.7,78.7,0.0,0.0,77.53,77.53,77.53,0.0,0.0,78.7,78.7,78.7,0.0,0.0
2018-07-01,80.79,80.79,80.79,0.0,0.0,81.1,81.1,81.1,0.0,0.0,80.4,80.4,80.4,0.0,0.0,80.87,80.87,80.87,0.0,0.0
2018-07-08,80.66,80.66,80.66,0.0,0.0,80.78,80.78,80.78,0.0,0.0,79.74,79.74,79.74,0.0,0.0,80.24,80.24,80.24,0.0,0.0
2018-07-15,81.3,81.3,81.3,0.0,0.0,82.1,82.1,82.1,0.0,0.0,80.8,80.8,80.8,0.0,0.0,82.05,82.05,82.05,0.0,0.0
2018-07-22,79.97,79.97,79.97,0.0,0.0,79.97,79.97,79.97,0.0,0.0,78.65,78.65,78.65,0.0,0.0,78.97,78.97,78.97,0.0,0.0
