Date,Etho Climate Leadership US_Open_average,Etho Climate Leadership US_Open_max,Etho Climate Leadership US_Open_min,Etho Climate Leadership US_Open_volatility,Etho Climate Leadership US_Open_change,Etho Climate Leadership US_High_average,Etho Climate Leadership US_High_max,Etho Climate Leadership US_High_min,Etho Climate Leadership US_High_volatility,Etho Climate Leadership US_High_change,Etho Climate Leadership US_Low_average,Etho Climate Leadership US_Low_max,Etho Climate Leadership US_Low_min,Etho Climate Leadership US_Low_volatility,Etho Climate Leadership US_Low_change,Etho Climate Leadership US_Close_average,Etho Climate Leadership US_Close_max,Etho Climate Leadership US_Close_min,Etho Climate Leadership US_Close_volatility,Etho Climate Leadership US_Close_change
2018-01-14,35.72,35.72,35.72,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-01-21,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.03,36.03,36.03,0.0,0.0
2018-01-28,34.89,34.89,34.89,0.0,0.0,34.89,34.89,34.89,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-02-04,33.24,33.24,33.24,0.0,0.0,33.59,33.59,33.59,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-02-11,34.84,34.84,34.84,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-02-18,35.0,35.0,35.0,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-02-25,34.57,34.57,34.57,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.73,34.73,34.73,0.0,0.0
2018-03-04,35.99,35.99,35.99,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-03-11,35.17,35.17,35.17,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-03-18,34.32,34.32,34.32,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-03-25,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.54,33.54,33.54,0.0,0.0
