Date,WisdomTree International MidCap Dividend_Open_average,WisdomTree International MidCap Dividend_Open_max,WisdomTree International MidCap Dividend_Open_min,WisdomTree International MidCap Dividend_Open_volatility,WisdomTree International MidCap Dividend_Open_change,WisdomTree International MidCap Dividend_High_average,WisdomTree International MidCap Dividend_High_max,WisdomTree International MidCap Dividend_High_min,WisdomTree International MidCap Dividend_High_volatility,WisdomTree International MidCap Dividend_High_change,WisdomTree International MidCap Dividend_Low_average,WisdomTree International MidCap Dividend_Low_max,WisdomTree International MidCap Dividend_Low_min,WisdomTree International MidCap Dividend_Low_volatility,WisdomTree International MidCap Dividend_Low_change,WisdomTree International MidCap Dividend_Close_average,WisdomTree International MidCap Dividend_Close_max,WisdomTree International MidCap Dividend_Close_min,WisdomTree International MidCap Dividend_Close_volatility,WisdomTree International MidCap Dividend_Close_change
2018-01-14,72.44,72.44,72.44,0.0,0.0,72.81,72.81,72.81,0.0,0.0,72.44,72.44,72.44,0.0,0.0,72.81,72.81,72.81,0.0,0.0
2018-01-21,73.12,73.12,73.12,0.0,0.0,73.19,73.19,73.19,0.0,0.0,72.93,72.93,72.93,0.0,0.0,73.08,73.08,73.08,0.0,0.0
2018-01-28,70.33,70.33,70.33,0.0,0.0,70.59,70.59,70.59,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-02-04,67.83,67.83,67.83,0.0,0.0,68.38,68.38,68.38,0.0,0.0,67.77,67.77,67.77,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2018-02-11,69.96,69.96,69.96,0.0,0.0,70.4,70.4,70.4,0.0,0.0,69.95,69.95,69.95,0.0,0.0,70.06,70.06,70.06,0.0,0.0
2018-02-18,70.68,70.68,70.68,0.0,0.0,71.02,71.02,71.02,0.0,0.0,70.41,70.41,70.41,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2018-02-25,67.97,67.97,67.97,0.0,0.0,68.78,68.78,68.78,0.0,0.0,67.97,67.97,67.97,0.0,0.0,68.72,68.72,68.72,0.0,0.0
2018-03-04,70.06,70.06,70.06,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.95,69.95,69.95,0.0,0.0,70.02,70.02,70.02,0.0,0.0
2018-03-11,69.17,69.17,69.17,0.0,0.0,69.17,69.17,69.17,0.0,0.0,68.59,68.59,68.59,0.0,0.0,68.83,68.83,68.83,0.0,0.0
2018-03-18,68.05,68.05,68.05,0.0,0.0,68.28,68.28,68.28,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-03-25,68.42,68.42,68.42,0.0,0.0,68.42,68.42,68.42,0.0,0.0,67.31,67.31,67.31,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-04-01,68.94,68.94,68.94,0.0,0.0,69.23,69.23,69.23,0.0,0.0,68.86,68.86,68.86,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-04-08,69.79,69.79,69.79,0.0,0.0,69.87,69.87,69.87,0.0,0.0,69.72,69.72,69.72,0.0,0.0,69.85,69.85,69.85,0.0,0.0
2018-04-15,69.83,69.83,69.83,0.0,0.0,69.83,69.83,69.83,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.56,69.56,69.56,0.0,0.0
2018-04-22,69.94,69.94,69.94,0.0,0.0,70.03,70.03,70.03,0.0,0.0,69.62,69.62,69.62,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-04-29,69.83,69.83,69.83,0.0,0.0,69.98,69.98,69.98,0.0,0.0,69.81,69.81,69.81,0.0,0.0,69.83,69.83,69.83,0.0,0.0
2018-05-06,70.67,70.67,70.67,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.49,70.49,70.49,0.0,0.0,70.54,70.54,70.54,0.0,0.0
2018-05-13,70.23,70.23,70.23,0.0,0.0,70.28,70.28,70.28,0.0,0.0,70.2,70.2,70.2,0.0,0.0,70.26,70.26,70.26,0.0,0.0
2018-05-20,69.0,69.0,69.0,0.0,0.0,69.15,69.15,69.15,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2018-05-27,69.33,69.33,69.33,0.0,0.0,69.52,69.52,69.52,0.0,0.0,69.21,69.21,69.21,0.0,0.0,69.26,69.26,69.26,0.0,0.0
2018-06-03,69.7,69.7,69.7,0.0,0.0,69.91,69.91,69.91,0.0,0.0,69.66,69.66,69.66,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2018-06-10,68.14,68.14,68.14,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.13,68.13,68.13,0.0,0.0,68.4,68.4,68.4,0.0,0.0
2018-06-17,66.01,66.01,66.01,0.0,0.0,66.01,66.01,66.01,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.7,65.7,65.7,0.0,0.0
2018-06-24,64.4,64.4,64.4,0.0,0.0,64.62,64.62,64.62,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.61,64.61,64.61,0.0,0.0
2018-07-01,66.23,66.23,66.23,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.14,66.14,66.14,0.0,0.0,66.27,66.27,66.27,0.0,0.0
2018-07-08,65.7,65.7,65.7,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-07-15,65.98,65.98,65.98,0.0,0.0,65.98,65.98,65.98,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-07-22,66.95,66.95,66.95,0.0,0.0,67.0,67.0,67.0,0.0,0.0,66.72,66.72,66.72,0.0,0.0,66.72,66.72,66.72,0.0,0.0
2018-07-29,65.52,65.52,65.52,0.0,0.0,65.82,65.82,65.82,0.0,0.0,65.52,65.52,65.52,0.0,0.0,65.63,65.63,65.63,0.0,0.0
