Date,Vanguard FTSE All-World ex-US Small-Cap_Open_average,Vanguard FTSE All-World ex-US Small-Cap_Open_max,Vanguard FTSE All-World ex-US Small-Cap_Open_min,Vanguard FTSE All-World ex-US Small-Cap_Open_volatility,Vanguard FTSE All-World ex-US Small-Cap_Open_change,Vanguard FTSE All-World ex-US Small-Cap_High_average,Vanguard FTSE All-World ex-US Small-Cap_High_max,Vanguard FTSE All-World ex-US Small-Cap_High_min,Vanguard FTSE All-World ex-US Small-Cap_High_volatility,Vanguard FTSE All-World ex-US Small-Cap_High_change,Vanguard FTSE All-World ex-US Small-Cap_Low_average,Vanguard FTSE All-World ex-US Small-Cap_Low_max,Vanguard FTSE All-World ex-US Small-Cap_Low_min,Vanguard FTSE All-World ex-US Small-Cap_Low_volatility,Vanguard FTSE All-World ex-US Small-Cap_Low_change,Vanguard FTSE All-World ex-US Small-Cap_Close_average,Vanguard FTSE All-World ex-US Small-Cap_Close_max,Vanguard FTSE All-World ex-US Small-Cap_Close_min,Vanguard FTSE All-World ex-US Small-Cap_Close_volatility,Vanguard FTSE All-World ex-US Small-Cap_Close_change
2018-01-14,124.54,124.54,124.54,0.0,0.0,125.19,125.19,125.19,0.0,0.0,124.42,124.42,124.42,0.0,0.0,125.18,125.18,125.18,0.0,0.0
2018-01-21,126.4,126.4,126.4,0.0,0.0,126.4,126.4,126.4,0.0,0.0,125.74,125.74,125.74,0.0,0.0,125.75,125.75,125.75,0.0,0.0
2018-01-28,120.21,120.21,120.21,0.0,0.0,120.71,120.71,120.71,0.0,0.0,116.52,116.52,116.52,0.0,0.0,117.14,117.14,117.14,0.0,0.0
2018-02-04,116.52,116.52,116.52,0.0,0.0,117.48,117.48,117.48,0.0,0.0,116.12,116.12,116.12,0.0,0.0,117.21,117.21,117.21,0.0,0.0
2018-02-11,119.9,119.9,119.9,0.0,0.0,120.85,120.85,120.85,0.0,0.0,119.9,119.9,119.9,0.0,0.0,120.47,120.47,120.47,0.0,0.0
2018-02-18,121.79,121.79,121.79,0.0,0.0,122.14,122.14,122.14,0.0,0.0,121.15,121.15,121.15,0.0,0.0,122.08,122.08,122.08,0.0,0.0
2018-02-25,117.73,117.73,117.73,0.0,0.0,118.8,118.8,118.8,0.0,0.0,117.5,117.5,117.5,0.0,0.0,118.62,118.62,118.62,0.0,0.0
2018-03-04,120.84,120.84,120.84,0.0,0.0,121.12,121.12,121.12,0.0,0.0,120.68,120.68,120.68,0.0,0.0,120.95,120.95,120.95,0.0,0.0
2018-03-11,119.82,119.82,119.82,0.0,0.0,120.0,120.0,120.0,0.0,0.0,118.94,118.94,118.94,0.0,0.0,119.52,119.52,119.52,0.0,0.0
2018-03-18,118.41,118.41,118.41,0.0,0.0,118.78,118.78,118.78,0.0,0.0,117.44,117.44,117.44,0.0,0.0,118.75,118.75,118.75,0.0,0.0
2018-03-25,119.0,119.0,119.0,0.0,0.0,119.19,119.19,119.19,0.0,0.0,117.22,117.22,117.22,0.0,0.0,117.88,117.88,117.88,0.0,0.0
2018-04-01,119.51,119.51,119.51,0.0,0.0,119.83,119.83,119.83,0.0,0.0,119.02,119.02,119.02,0.0,0.0,119.06,119.06,119.06,0.0,0.0
