Date,SPDR DoubleLine EM Fixed Income_Open_average,SPDR DoubleLine EM Fixed Income_Open_max,SPDR DoubleLine EM Fixed Income_Open_min,SPDR DoubleLine EM Fixed Income_Open_volatility,SPDR DoubleLine EM Fixed Income_Open_change,SPDR DoubleLine EM Fixed Income_High_average,SPDR DoubleLine EM Fixed Income_High_max,SPDR DoubleLine EM Fixed Income_High_min,SPDR DoubleLine EM Fixed Income_High_volatility,SPDR DoubleLine EM Fixed Income_High_change,SPDR DoubleLine EM Fixed Income_Low_average,SPDR DoubleLine EM Fixed Income_Low_max,SPDR DoubleLine EM Fixed Income_Low_min,SPDR DoubleLine EM Fixed Income_Low_volatility,SPDR DoubleLine EM Fixed Income_Low_change,SPDR DoubleLine EM Fixed Income_Close_average,SPDR DoubleLine EM Fixed Income_Close_max,SPDR DoubleLine EM Fixed Income_Close_min,SPDR DoubleLine EM Fixed Income_Close_volatility,SPDR DoubleLine EM Fixed Income_Close_change
2018-01-14,50.19,50.19,50.19,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.06,50.06,50.06,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-01-21,50.04,50.04,50.04,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.14,50.14,50.14,0.0,0.0
2018-01-28,49.69,49.69,49.69,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2018-02-04,49.59,49.59,49.59,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2018-02-11,49.51,49.51,49.51,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.43,49.43,49.43,0.0,0.0,49.54,49.54,49.54,0.0,0.0
2018-02-18,49.6,49.6,49.6,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.42,49.42,49.42,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2018-02-25,49.48,49.48,49.48,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.26,49.26,49.26,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-03-04,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.29,49.29,49.29,0.0,0.0,49.31,49.31,49.31,0.0,0.0
2018-03-11,49.18,49.18,49.18,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.23,49.23,49.23,0.0,0.0
2018-03-18,49.14,49.14,49.14,0.0,0.0,49.19,49.19,49.19,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.14,49.14,49.14,0.0,0.0
2018-03-25,49.17,49.17,49.17,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.21,49.21,49.21,0.0,0.0
2018-04-01,49.37,49.37,49.37,0.0,0.0,49.37,49.37,49.37,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-04-08,49.25,49.25,49.25,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.18,49.18,49.18,0.0,0.0,49.27,49.27,49.27,0.0,0.0
2018-04-15,49.0,49.0,49.0,0.0,0.0,49.04,49.04,49.04,0.0,0.0,48.97,48.97,48.97,0.0,0.0,48.97,48.97,48.97,0.0,0.0
2018-04-22,49.01,49.01,49.01,0.0,0.0,49.01,49.01,49.01,0.0,0.0,48.88,48.88,48.88,0.0,0.0,48.93,48.93,48.93,0.0,0.0
2018-04-29,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.72,48.72,48.72,0.0,0.0
2018-05-06,48.61,48.61,48.61,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.61,48.61,48.61,0.0,0.0,48.7,48.7,48.7,0.0,0.0
