Date,Direxion Daily Real Estate Bear 3X Shares_Open_average,Direxion Daily Real Estate Bear 3X Shares_Open_max,Direxion Daily Real Estate Bear 3X Shares_Open_min,Direxion Daily Real Estate Bear 3X Shares_Open_volatility,Direxion Daily Real Estate Bear 3X Shares_Open_change,Direxion Daily Real Estate Bear 3X Shares_High_average,Direxion Daily Real Estate Bear 3X Shares_High_max,Direxion Daily Real Estate Bear 3X Shares_High_min,Direxion Daily Real Estate Bear 3X Shares_High_volatility,Direxion Daily Real Estate Bear 3X Shares_High_change,Direxion Daily Real Estate Bear 3X Shares_Low_average,Direxion Daily Real Estate Bear 3X Shares_Low_max,Direxion Daily Real Estate Bear 3X Shares_Low_min,Direxion Daily Real Estate Bear 3X Shares_Low_volatility,Direxion Daily Real Estate Bear 3X Shares_Low_change,Direxion Daily Real Estate Bear 3X Shares_Close_average,Direxion Daily Real Estate Bear 3X Shares_Close_max,Direxion Daily Real Estate Bear 3X Shares_Close_min,Direxion Daily Real Estate Bear 3X Shares_Close_volatility,Direxion Daily Real Estate Bear 3X Shares_Close_change
2018-01-14,62.0,62.0,62.0,0.0,0.0,62.35,62.35,62.35,0.0,0.0,61.1,61.1,61.1,0.0,0.0,61.1,61.1,61.1,0.0,0.0
2018-01-21,58.25,58.25,58.25,0.0,0.0,59.75,59.75,59.75,0.0,0.0,58.21,58.21,58.21,0.0,0.0,58.82,58.82,58.82,0.0,0.0
2018-01-28,64.3,64.3,64.3,0.0,0.0,66.25,66.25,66.25,0.0,0.0,63.4,63.4,63.4,0.0,0.0,64.55,64.55,64.55,0.0,0.0
2018-02-04,76.35,76.35,76.35,0.0,0.0,78.1,78.1,78.1,0.0,0.0,69.95,69.95,69.95,0.0,0.0,71.45,71.45,71.45,0.0,0.0
2018-02-11,68.9,68.9,68.9,0.0,0.0,70.01,70.01,70.01,0.0,0.0,67.15,67.15,67.15,0.0,0.0,68.65,68.65,68.65,0.0,0.0
2018-02-18,71.85,71.85,71.85,0.0,0.0,71.9,71.9,71.9,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.1,69.1,69.1,0.0,0.0
2018-02-25,73.95,73.95,73.95,0.0,0.0,75.34,75.34,75.34,0.0,0.0,73.06,73.06,73.06,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-03-04,68.45,68.45,68.45,0.0,0.0,69.7,69.7,69.7,0.0,0.0,67.15,67.15,67.15,0.0,0.0,67.19,67.19,67.19,0.0,0.0
2018-03-11,66.55,66.55,66.55,0.0,0.0,66.85,66.85,66.85,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.6,64.6,64.6,0.0,0.0
2018-03-18,70.25,70.25,70.25,0.0,0.0,74.2,74.2,74.2,0.0,0.0,69.7,69.7,69.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0
