Date,Guggenheim Invest S&P MidCap 400 Pure Growth_Open_average,Guggenheim Invest S&P MidCap 400 Pure Growth_Open_max,Guggenheim Invest S&P MidCap 400 Pure Growth_Open_min,Guggenheim Invest S&P MidCap 400 Pure Growth_Open_volatility,Guggenheim Invest S&P MidCap 400 Pure Growth_Open_change,Guggenheim Invest S&P MidCap 400 Pure Growth_High_average,Guggenheim Invest S&P MidCap 400 Pure Growth_High_max,Guggenheim Invest S&P MidCap 400 Pure Growth_High_min,Guggenheim Invest S&P MidCap 400 Pure Growth_High_volatility,Guggenheim Invest S&P MidCap 400 Pure Growth_High_change,Guggenheim Invest S&P MidCap 400 Pure Growth_Low_average,Guggenheim Invest S&P MidCap 400 Pure Growth_Low_max,Guggenheim Invest S&P MidCap 400 Pure Growth_Low_min,Guggenheim Invest S&P MidCap 400 Pure Growth_Low_volatility,Guggenheim Invest S&P MidCap 400 Pure Growth_Low_change,Guggenheim Invest S&P MidCap 400 Pure Growth_Close_average,Guggenheim Invest S&P MidCap 400 Pure Growth_Close_max,Guggenheim Invest S&P MidCap 400 Pure Growth_Close_min,Guggenheim Invest S&P MidCap 400 Pure Growth_Close_volatility,Guggenheim Invest S&P MidCap 400 Pure Growth_Close_change
2018-01-14,165.45,165.45,165.45,0.0,0.0,165.82,165.82,165.82,0.0,0.0,165.11,165.11,165.11,0.0,0.0,165.82,165.82,165.82,0.0,0.0
2018-01-21,165.89,165.89,165.89,0.0,0.0,165.93,165.93,165.93,0.0,0.0,164.65,164.65,164.65,0.0,0.0,164.96,164.96,164.96,0.0,0.0
2018-01-28,158.94,158.94,158.94,0.0,0.0,159.86,159.86,159.86,0.0,0.0,154.08,154.08,154.08,0.0,0.0,154.08,154.08,154.08,0.0,0.0
2018-02-04,152.52,152.52,152.52,0.0,0.0,153.99,153.99,153.99,0.0,0.0,151.35,151.35,151.35,0.0,0.0,153.34,153.34,153.34,0.0,0.0
2018-02-11,158.99,158.99,158.99,0.0,0.0,160.07,160.07,160.07,0.0,0.0,158.99,158.99,158.99,0.0,0.0,159.96,159.96,159.96,0.0,0.0
2018-02-18,160.49,160.49,160.49,0.0,0.0,161.19,161.19,161.19,0.0,0.0,159.51,159.51,159.51,0.0,0.0,161.13,161.13,161.13,0.0,0.0
2018-02-25,155.86,155.86,155.86,0.0,0.0,157.83,157.83,157.83,0.0,0.0,155.86,155.86,155.86,0.0,0.0,157.8,157.8,157.8,0.0,0.0
2018-03-04,163.93,163.93,163.93,0.0,0.0,164.42,164.42,164.42,0.0,0.0,163.87,163.87,163.87,0.0,0.0,164.16,164.16,164.16,0.0,0.0
2018-03-11,162.19,162.19,162.19,0.0,0.0,162.47,162.47,162.47,0.0,0.0,160.1,160.1,160.1,0.0,0.0,161.48,161.48,161.48,0.0,0.0
2018-03-18,157.68,157.68,157.68,0.0,0.0,158.73,158.73,158.73,0.0,0.0,156.18,156.18,156.18,0.0,0.0,158.73,158.73,158.73,0.0,0.0
2018-03-25,156.02,156.02,156.02,0.0,0.0,156.96,156.96,156.96,0.0,0.0,152.24,152.24,152.24,0.0,0.0,153.28,153.28,153.28,0.0,0.0
2018-04-01,156.52,156.52,156.52,0.0,0.0,157.0,157.0,157.0,0.0,0.0,154.94,154.94,154.94,0.0,0.0,154.94,154.94,154.94,0.0,0.0
2018-04-08,157.97,157.97,157.97,0.0,0.0,159.3,159.3,159.3,0.0,0.0,157.97,157.97,157.97,0.0,0.0,159.06,159.06,159.06,0.0,0.0
2018-04-15,157.81,157.81,157.81,0.0,0.0,158.36,158.36,158.36,0.0,0.0,156.62,156.62,156.62,0.0,0.0,157.2,157.2,157.2,0.0,0.0
2018-04-22,156.64,156.64,156.64,0.0,0.0,156.67,156.67,156.67,0.0,0.0,154.6,154.6,154.6,0.0,0.0,154.6,154.6,154.6,0.0,0.0
2018-04-29,157.7,157.7,157.7,0.0,0.0,158.66,158.66,158.66,0.0,0.0,157.57,157.57,157.57,0.0,0.0,158.3,158.3,158.3,0.0,0.0
2018-05-06,161.8,161.8,161.8,0.0,0.0,161.94,161.94,161.94,0.0,0.0,161.24,161.24,161.24,0.0,0.0,161.24,161.24,161.24,0.0,0.0
2018-05-13,163.06,163.06,163.06,0.0,0.0,163.71,163.71,163.71,0.0,0.0,162.79,162.79,162.79,0.0,0.0,163.2,163.2,163.2,0.0,0.0
2018-05-20,162.52,162.52,162.52,0.0,0.0,162.53,162.53,162.53,0.0,0.0,162.12,162.12,162.12,0.0,0.0,162.12,162.12,162.12,0.0,0.0
2018-05-27,163.95,163.95,163.95,0.0,0.0,164.23,164.23,164.23,0.0,0.0,163.75,163.75,163.75,0.0,0.0,164.23,164.23,164.23,0.0,0.0
2018-06-03,167.39,167.39,167.39,0.0,0.0,167.83,167.83,167.83,0.0,0.0,167.39,167.39,167.39,0.0,0.0,167.53,167.53,167.53,0.0,0.0
2018-06-10,166.1,166.1,166.1,0.0,0.0,166.99,166.99,166.99,0.0,0.0,166.1,166.1,166.1,0.0,0.0,166.99,166.99,166.99,0.0,0.0
2018-06-17,164.17,164.17,164.17,0.0,0.0,164.33,164.33,164.33,0.0,0.0,161.27,161.27,161.27,0.0,0.0,162.13,162.13,162.13,0.0,0.0
2018-06-24,160.15,160.15,160.15,0.0,0.0,161.72,161.72,161.72,0.0,0.0,160.07,160.07,160.07,0.0,0.0,161.72,161.72,161.72,0.0,0.0
2018-07-01,165.56,165.56,165.56,0.0,0.0,166.36,166.36,166.36,0.0,0.0,165.56,165.56,165.56,0.0,0.0,166.34,166.34,166.34,0.0,0.0
2018-07-08,165.88,165.88,165.88,0.0,0.0,165.91,165.91,165.91,0.0,0.0,165.38,165.38,165.38,0.0,0.0,165.38,165.38,165.38,0.0,0.0
