Date,Technology Select Sector SPDREtf_Open_average,Technology Select Sector SPDREtf_Open_max,Technology Select Sector SPDREtf_Open_min,Technology Select Sector SPDREtf_Open_volatility,Technology Select Sector SPDREtf_Open_change,Technology Select Sector SPDREtf_High_average,Technology Select Sector SPDREtf_High_max,Technology Select Sector SPDREtf_High_min,Technology Select Sector SPDREtf_High_volatility,Technology Select Sector SPDREtf_High_change,Technology Select Sector SPDREtf_Low_average,Technology Select Sector SPDREtf_Low_max,Technology Select Sector SPDREtf_Low_min,Technology Select Sector SPDREtf_Low_volatility,Technology Select Sector SPDREtf_Low_change,Technology Select Sector SPDREtf_Close_average,Technology Select Sector SPDREtf_Close_max,Technology Select Sector SPDREtf_Close_min,Technology Select Sector SPDREtf_Close_volatility,Technology Select Sector SPDREtf_Close_change
2018-01-14,67.8,67.8,67.8,0.0,0.0,67.91,67.91,67.91,0.0,0.0,67.45,67.45,67.45,0.0,0.0,67.8,67.8,67.8,0.0,0.0
2018-01-21,68.58,68.58,68.58,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.43,68.43,68.43,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-01-28,67.74,67.74,67.74,0.0,0.0,67.8,67.8,67.8,0.0,0.0,66.47,66.47,66.47,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2018-02-04,63.01,63.01,63.01,0.0,0.0,63.99,63.99,63.99,0.0,0.0,60.97,60.97,60.97,0.0,0.0,63.53,63.53,63.53,0.0,0.0
2018-02-11,67.08,67.08,67.08,0.0,0.0,67.9,67.9,67.9,0.0,0.0,67.01,67.01,67.01,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-02-18,67.44,67.44,67.44,0.0,0.0,68.29,68.29,68.29,0.0,0.0,67.28,67.28,67.28,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2018-02-25,66.28,66.28,66.28,0.0,0.0,67.81,67.81,67.81,0.0,0.0,66.1,66.1,66.1,0.0,0.0,67.68,67.68,67.68,0.0,0.0
2018-03-04,69.69,69.69,69.69,0.0,0.0,70.51,70.51,70.51,0.0,0.0,69.6,69.6,69.6,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-03-11,69.8,69.8,69.8,0.0,0.0,70.05,70.05,70.05,0.0,0.0,69.52,69.52,69.52,0.0,0.0,69.61,69.61,69.61,0.0,0.0
2018-03-18,66.0,66.0,66.0,0.0,0.0,66.29,66.29,66.29,0.0,0.0,64.25,64.25,64.25,0.0,0.0,64.28,64.28,64.28,0.0,0.0
2018-03-25,64.61,64.61,64.61,0.0,0.0,66.07,66.07,66.07,0.0,0.0,64.16,64.16,64.16,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-04-01,64.98,64.98,64.98,0.0,0.0,65.58,65.58,65.58,0.0,0.0,63.77,63.77,63.77,0.0,0.0,64.05,64.05,64.05,0.0,0.0
2018-04-08,67.0,67.0,67.0,0.0,0.0,67.03,67.03,67.03,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-04-15,66.94,66.94,66.94,0.0,0.0,66.99,66.99,66.99,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.21,66.21,66.21,0.0,0.0
2018-04-22,66.67,66.67,66.67,0.0,0.0,66.72,66.72,66.72,0.0,0.0,65.54,65.54,65.54,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-04-29,66.11,66.11,66.11,0.0,0.0,67.74,67.74,67.74,0.0,0.0,66.03,66.03,66.03,0.0,0.0,67.62,67.62,67.62,0.0,0.0
2018-05-06,69.91,69.91,69.91,0.0,0.0,70.15,70.15,70.15,0.0,0.0,69.65,69.65,69.65,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-05-13,68.93,68.93,68.93,0.0,0.0,69.24,69.24,69.24,0.0,0.0,68.81,68.81,68.81,0.0,0.0,68.87,68.87,68.87,0.0,0.0
2018-05-20,69.85,69.85,69.85,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.58,69.58,69.58,0.0,0.0,69.75,69.75,69.75,0.0,0.0
2018-05-27,70.37,70.37,70.37,0.0,0.0,71.1,71.1,71.1,0.0,0.0,70.25,70.25,70.25,0.0,0.0,71.09,71.09,71.09,0.0,0.0
