Date,Direxion Daily S&P 500 Bull 3X Shares_Open_average,Direxion Daily S&P 500 Bull 3X Shares_Open_max,Direxion Daily S&P 500 Bull 3X Shares_Open_volatility,Direxion Daily S&P 500 Bull 3X Shares_Open_change,Direxion Daily S&P 500 Bull 3X Shares_High_average,Direxion Daily S&P 500 Bull 3X Shares_High_max,Direxion Daily S&P 500 Bull 3X Shares_High_volatility,Direxion Daily S&P 500 Bull 3X Shares_High_change,Direxion Daily S&P 500 Bull 3X Shares_Low_average,Direxion Daily S&P 500 Bull 3X Shares_Low_max,Direxion Daily S&P 500 Bull 3X Shares_Low_volatility,Direxion Daily S&P 500 Bull 3X Shares_Low_change,Direxion Daily S&P 500 Bull 3X Shares_Close_average,Direxion Daily S&P 500 Bull 3X Shares_Close_max,Direxion Daily S&P 500 Bull 3X Shares_Close_volatility,Direxion Daily S&P 500 Bull 3X Shares_Close_change
2016-01-03,17.5,17.5,0.0,0.0,17.6,17.6,0.0,0.0,16.63,16.63,0.0,0.0,17.21,17.21,0.0,0.0
2016-01-10,15.75,15.75,0.0,0.0,16.29,16.29,0.0,0.0,15.43,15.43,0.0,0.0,16.03,16.03,0.0,0.0
2016-01-17,16.55,16.55,0.0,0.0,16.6,16.6,0.0,0.0,15.88,15.88,0.0,0.0,15.92,15.92,0.0,0.0
2016-01-24,17.16,17.16,0.0,0.0,17.71,17.71,0.0,0.0,16.98,16.98,0.0,0.0,17.48,17.48,0.0,0.0
2016-01-31,15.37,15.37,0.0,0.0,15.45,15.45,0.0,0.0,14.62,14.62,0.0,0.0,15.28,15.28,0.0,0.0
2016-02-07,15.16,15.16,0.0,0.0,15.56,15.56,0.0,0.0,14.91,14.91,0.0,0.0,15.55,15.55,0.0,0.0
2016-02-14,17.39,17.39,0.0,0.0,17.67,17.67,0.0,0.0,17.37,17.37,0.0,0.0,17.62,17.62,0.0,0.0
2016-02-21,17.7,17.7,0.0,0.0,18.0,18.0,0.0,0.0,17.22,17.22,0.0,0.0,17.22,17.22,0.0,0.0
2016-02-28,18.83,18.83,0.0,0.0,19.32,19.32,0.0,0.0,18.81,18.81,0.0,0.0,19.18,19.18,0.0,0.0
2016-03-06,19.6,19.6,0.0,0.0,19.87,19.87,0.0,0.0,19.49,19.49,0.0,0.0,19.7,19.7,0.0,0.0
2016-03-13,20.5,20.5,0.0,0.0,20.74,20.74,0.0,0.0,20.39,20.39,0.0,0.0,20.66,20.66,0.0,0.0
2016-03-20,20.34,20.34,0.0,0.0,20.4,20.4,0.0,0.0,20.06,20.06,0.0,0.0,20.22,20.22,0.0,0.0
2016-03-27,21.3,21.3,0.0,0.0,21.36,21.36,0.0,0.0,21.0,21.0,0.0,0.0,21.11,21.11,0.0,0.0
2016-04-03,20.78,20.78,0.0,0.0,21.02,21.02,0.0,0.0,20.37,20.37,0.0,0.0,20.4,20.4,0.0,0.0
2016-04-10,21.32,21.32,0.0,0.0,22.0,22.0,0.0,0.0,21.29,21.29,0.0,0.0,21.99,21.99,0.0,0.0
2016-04-17,21.66,21.66,0.0,0.0,21.78,21.78,0.0,0.0,21.44,21.44,0.0,0.0,21.78,21.78,0.0,0.0
2016-04-24,21.26,21.26,0.0,0.0,21.62,21.62,0.0,0.0,21.08,21.08,0.0,0.0,21.55,21.55,0.0,0.0
2016-05-01,20.81,20.81,0.0,0.0,21.04,21.04,0.0,0.0,20.74,20.74,0.0,0.0,20.91,20.91,0.0,0.0
2016-05-08,20.57,20.57,0.0,0.0,21.3,21.3,0.0,0.0,20.57,20.57,0.0,0.0,21.12,21.12,0.0,0.0
2016-05-15,20.72,20.72,0.0,0.0,20.82,20.82,0.0,0.0,20.56,20.56,0.0,0.0,20.64,20.64,0.0,0.0
2016-05-22,21.95,21.95,0.0,0.0,22.16,22.16,0.0,0.0,21.93,21.93,0.0,0.0,22.15,22.15,0.0,0.0
2016-05-29,22.3,22.3,0.0,0.0,22.64,22.64,0.0,0.0,22.25,22.25,0.0,0.0,22.5,22.5,0.0,0.0
2016-06-05,21.85,21.85,0.0,0.0,22.18,22.18,0.0,0.0,21.54,21.54,0.0,0.0,21.57,21.57,0.0,0.0
2016-06-12,22.02,22.02,0.0,0.0,22.25,22.25,0.0,0.0,21.68,21.68,0.0,0.0,21.69,21.69,0.0,0.0
2016-06-19,19.71,19.71,0.0,0.0,19.72,19.72,0.0,0.0,18.83,18.83,0.0,0.0,19.07,19.07,0.0,0.0
2016-06-26,21.98,21.98,0.0,0.0,22.34,22.34,0.0,0.0,21.98,21.98,0.0,0.0,22.11,22.11,0.0,0.0
