Date,Goldman Sachs Hedge Industry VIPEtf_Open_average,Goldman Sachs Hedge Industry VIPEtf_Open_max,Goldman Sachs Hedge Industry VIPEtf_Open_min,Goldman Sachs Hedge Industry VIPEtf_Open_volatility,Goldman Sachs Hedge Industry VIPEtf_Open_change,Goldman Sachs Hedge Industry VIPEtf_High_average,Goldman Sachs Hedge Industry VIPEtf_High_max,Goldman Sachs Hedge Industry VIPEtf_High_min,Goldman Sachs Hedge Industry VIPEtf_High_volatility,Goldman Sachs Hedge Industry VIPEtf_High_change,Goldman Sachs Hedge Industry VIPEtf_Low_average,Goldman Sachs Hedge Industry VIPEtf_Low_max,Goldman Sachs Hedge Industry VIPEtf_Low_min,Goldman Sachs Hedge Industry VIPEtf_Low_volatility,Goldman Sachs Hedge Industry VIPEtf_Low_change,Goldman Sachs Hedge Industry VIPEtf_Close_average,Goldman Sachs Hedge Industry VIPEtf_Close_max,Goldman Sachs Hedge Industry VIPEtf_Close_min,Goldman Sachs Hedge Industry VIPEtf_Close_volatility,Goldman Sachs Hedge Industry VIPEtf_Close_change
2018-01-14,55.78,55.78,55.78,0.0,0.0,56.06,56.06,56.06,0.0,0.0,55.78,55.78,55.78,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2018-01-21,57.27,57.27,57.27,0.0,0.0,57.36,57.36,57.36,0.0,0.0,56.9,56.9,56.9,0.0,0.0,57.36,57.36,57.36,0.0,0.0
2018-01-28,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.39,55.39,55.39,0.0,0.0
2018-02-04,52.32,52.32,52.32,0.0,0.0,52.44,52.44,52.44,0.0,0.0,50.5,50.5,50.5,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-02-11,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.66,54.66,54.66,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-02-18,55.03,55.03,55.03,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.03,55.03,55.03,0.0,0.0,55.58,55.58,55.58,0.0,0.0
2018-02-25,53.9,53.9,53.9,0.0,0.0,54.63,54.63,54.63,0.0,0.0,53.67,53.67,53.67,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2018-03-04,56.46,56.46,56.46,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.46,56.46,56.46,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-03-11,56.46,56.46,56.46,0.0,0.0,56.46,56.46,56.46,0.0,0.0,56.4,56.4,56.4,0.0,0.0,56.45,56.45,56.45,0.0,0.0
2018-03-18,54.2,54.2,54.2,0.0,0.0,54.26,54.26,54.26,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.92,52.92,52.92,0.0,0.0
2018-03-25,52.58,52.58,52.58,0.0,0.0,53.75,53.75,53.75,0.0,0.0,52.58,52.58,52.58,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2018-04-01,53.36,53.36,53.36,0.0,0.0,53.36,53.36,53.36,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.52,52.52,52.52,0.0,0.0
