Date,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Open_average,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Open_max,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Open_min,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Open_volatility,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Open_change,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_High_average,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_High_max,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_High_min,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_High_volatility,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_High_change,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Low_average,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Low_max,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Low_min,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Low_volatility,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Low_change,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Close_average,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Close_max,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Close_min,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Close_volatility,Direxion Daily 7-10 Year Treasury Bear 3X SharesEtf_Close_change
2018-01-14,14.71,14.71,14.71,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2018-01-21,14.73,14.73,14.73,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-01-28,15.5,15.5,15.5,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.38,15.38,15.38,0.0,0.0
2018-02-04,15.44,15.44,15.44,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.16,15.16,15.16,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2018-02-11,15.45,15.45,15.45,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.45,15.45,15.45,0.0,0.0
2018-02-18,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-02-25,15.24,15.24,15.24,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-03-04,15.4,15.4,15.4,0.0,0.0,15.49,15.49,15.49,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-03-11,15.19,15.19,15.19,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2018-03-18,15.08,15.08,15.08,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2018-03-25,14.85,14.85,14.85,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2018-04-01,14.99,14.99,14.99,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.87,14.87,14.87,0.0,0.0
2018-04-08,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-04-15,15.39,15.39,15.39,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2018-04-22,15.5,15.5,15.5,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2018-04-29,15.3,15.3,15.3,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.42,15.42,15.42,0.0,0.0
2018-05-06,15.52,15.52,15.52,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.51,15.51,15.51,0.0,0.0
2018-05-13,15.98,15.98,15.98,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.73,15.73,15.73,0.0,0.0,15.8,15.8,15.8,0.0,0.0
