Date,ICAD_Open_average,ICAD_Open_max,ICAD_Open_min,ICAD_Open_volatility,ICAD_Open_change,ICAD_High_average,ICAD_High_max,ICAD_High_min,ICAD_High_volatility,ICAD_High_change,ICAD_Low_average,ICAD_Low_max,ICAD_Low_min,ICAD_Low_volatility,ICAD_Low_change,ICAD_Close_average,ICAD_Close_max,ICAD_Close_min,ICAD_Close_volatility,ICAD_Close_change,ICAD_Volume_average,ICAD_Volume_max,ICAD_Volume_min,ICAD_Volume_volatility,ICAD_Volume_change
2018-01-14,3.614,3.66,3.54,0.1200000000000001,0.0,3.666,3.75,3.6,0.1499999999999999,-0.06000000000000005,3.534,3.6,3.42,0.18000000000000016,-0.06000000000000005,3.6,3.65,3.53,0.1200000000000001,-0.040000000000000036,24125,32662,10179,22483,-1740
2018-01-21,3.486,3.6,3.35,0.25,-0.25,3.522,3.64,3.4,0.2400000000000002,-0.2400000000000002,3.392,3.52,3.21,0.31000000000000005,-0.2999999999999998,3.42,3.59,3.21,0.3799999999999999,-0.3799999999999999,34261,69742,2717,67025,45348
2018-01-28,3.166,3.27,3.07,0.20000000000000018,0.040000000000000036,3.298,3.39,3.24,0.1499999999999999,0.0,3.076,3.13,2.96,0.16999999999999993,-0.1499999999999999,3.14,3.25,2.96,0.29000000000000004,-0.2200000000000002,51061,81280,38644,42636,13228
2018-02-04,3.11,3.2,3.0,0.20000000000000018,0.20000000000000018,3.278,3.35,3.18,0.16999999999999993,0.16999999999999993,3.02,3.15,2.93,0.21999999999999975,0.19999999999999973,3.128,3.23,3.0,0.22999999999999998,0.18000000000000016,54420,83016,22523,60493,-56303
2018-02-11,3.1825,3.28,3.11,0.16999999999999993,0.0,3.3775,3.43,3.23,0.20000000000000018,0.0,3.1225,3.17,3.09,0.08000000000000007,-0.06999999999999984,3.255,3.29,3.2,0.08999999999999986,-0.010000000000000231,31984,41526,22815,18711,-16746
2018-02-18,3.262,3.29,3.23,0.06000000000000005,0.0,3.316,3.34,3.29,0.04999999999999982,0.0,3.23,3.28,3.2,0.07999999999999963,0.04999999999999982,3.274,3.33,3.23,0.10000000000000009,0.10000000000000009,27243,42489,5901,36588,9507
2018-02-25,3.5,3.63,3.33,0.2999999999999998,0.2999999999999998,3.658,3.79,3.55,0.2400000000000002,0.22999999999999998,3.432,3.53,3.33,0.19999999999999973,0.19999999999999973,3.584,3.72,3.43,0.29000000000000004,0.25,55296,93557,17080,76477,-16220
2018-03-04,3.74,3.85,3.68,0.16999999999999993,-0.020000000000000018,3.7840000000000003,3.86,3.68,0.17999999999999972,-0.16999999999999993,3.68,3.72,3.61,0.11000000000000032,-0.0900000000000003,3.708,3.81,3.61,0.20000000000000018,-0.20000000000000018,34884,85417,4079,81338,-38898
2018-03-11,3.486,3.65,3.36,0.29000000000000004,-0.1499999999999999,3.584,3.69,3.5,0.18999999999999995,-0.18999999999999995,3.392,3.42,3.36,0.06000000000000005,-0.04999999999999982,3.45,3.5,3.41,0.08999999999999986,-0.009999999999999787,19066,31620,9750,21870,-18148
2018-03-18,3.442,3.66,3.29,0.3700000000000001,-0.14000000000000012,3.532,3.66,3.33,0.33000000000000007,-0.1299999999999999,3.374,3.48,3.24,0.23999999999999977,-0.1499999999999999,3.4179999999999997,3.53,3.28,0.25,-0.18000000000000016,35807,59266,16427,42839,33603
2018-03-25,3.1775,3.27,3.01,0.26000000000000023,-0.040000000000000036,3.2375,3.29,3.18,0.10999999999999988,-0.03000000000000025,3.0675,3.1,3.01,0.0900000000000003,-0.020000000000000018,3.1425,3.2,3.08,0.1200000000000001,0.06000000000000005,15003,19432,7388,12044,-12044
2018-04-01,3.196,3.24,3.14,0.10000000000000009,0.009999999999999787,3.2800000000000002,3.33,3.2,0.1299999999999999,0.06999999999999984,3.082,3.11,3.05,0.06000000000000005,0.06000000000000005,3.19,3.25,3.12,0.1299999999999999,-0.009999999999999787,29795,46633,17542,29091,8484
2018-04-08,3.168,3.25,3.12,0.1299999999999999,0.03000000000000025,3.28,3.33,3.22,0.10999999999999988,0.029999999999999805,3.132,3.18,3.07,0.11000000000000032,0.050000000000000266,3.21,3.28,3.13,0.1499999999999999,0.08000000000000007,26289,41578,11367,30211,-30211
2018-04-15,3.33,3.45,3.18,0.27,0.16999999999999993,3.476,3.7,3.22,0.48,0.2899999999999996,3.278,3.38,3.18,0.19999999999999973,0.18999999999999995,3.378,3.5,3.19,0.31000000000000005,0.31000000000000005,22792,50418,3186,47232,14120
2018-04-22,3.694,3.96,3.45,0.5099999999999998,0.4500000000000002,3.852,4.06,3.52,0.5399999999999996,0.43999999999999995,3.636,3.87,3.42,0.4500000000000002,0.3500000000000001,3.748,3.93,3.47,0.45999999999999996,0.33999999999999986,38749,80032,4923,75109,1034
