Date,Schwab amental US Large Company_Open_average,Schwab amental US Large Company_Open_max,Schwab amental US Large Company_Open_min,Schwab amental US Large Company_Open_volatility,Schwab amental US Large Company_Open_change,Schwab amental US Large Company_High_average,Schwab amental US Large Company_High_max,Schwab amental US Large Company_High_min,Schwab amental US Large Company_High_volatility,Schwab amental US Large Company_High_change,Schwab amental US Large Company_Low_average,Schwab amental US Large Company_Low_max,Schwab amental US Large Company_Low_min,Schwab amental US Large Company_Low_volatility,Schwab amental US Large Company_Low_change,Schwab amental US Large Company_Close_average,Schwab amental US Large Company_Close_max,Schwab amental US Large Company_Close_min,Schwab amental US Large Company_Close_volatility,Schwab amental US Large Company_Close_change
2018-01-14,39.23,39.23,39.23,0.0,0.0,39.57,39.57,39.57,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2018-01-21,39.89,39.89,39.89,0.0,0.0,39.94,39.94,39.94,0.0,0.0,39.7,39.7,39.7,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-01-28,37.82,37.82,37.82,0.0,0.0,38.18,38.18,38.18,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-02-04,36.5,36.5,36.5,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.7,36.7,36.7,0.0,0.0
2018-02-11,37.51,37.51,37.51,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-18,37.89,37.89,37.89,0.0,0.0,38.18,38.18,38.18,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.15,38.15,38.15,0.0,0.0
2018-02-25,36.8,36.8,36.8,0.0,0.0,37.47,37.47,37.47,0.0,0.0,36.8,36.8,36.8,0.0,0.0,37.4,37.4,37.4,0.0,0.0
2018-03-04,38.09,38.09,38.09,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.98,37.98,37.98,0.0,0.0
2018-03-11,37.32,37.32,37.32,0.0,0.0,37.33,37.33,37.33,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-03-18,35.96,35.96,35.96,0.0,0.0,36.39,36.39,36.39,0.0,0.0,35.72,35.72,35.72,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-03-25,36.23,36.23,36.23,0.0,0.0,36.28,36.28,36.28,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-04-01,36.21,36.21,36.21,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-04-08,37.0,37.0,37.0,0.0,0.0,37.27,37.27,37.27,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.12,37.12,37.12,0.0,0.0
2018-04-15,36.99,36.99,36.99,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.88,36.88,36.88,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-04-22,37.06,37.06,37.06,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-04-29,36.88,36.88,36.88,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-05-06,37.66,37.66,37.66,0.0,0.0,37.78,37.78,37.78,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2018-05-13,37.86,37.86,37.86,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2018-05-20,37.58,37.58,37.58,0.0,0.0,37.61,37.61,37.61,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.54,37.54,37.54,0.0,0.0
2018-05-27,37.83,37.83,37.83,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.84,37.84,37.84,0.0,0.0
2018-06-03,38.45,38.45,38.45,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.45,38.45,38.45,0.0,0.0,38.49,38.49,38.49,0.0,0.0
2018-06-10,37.99,37.99,37.99,0.0,0.0,38.19,38.19,38.19,0.0,0.0,37.99,37.99,37.99,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-06-17,37.79,37.79,37.79,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2018-06-24,37.13,37.13,37.13,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-07-01,37.92,37.92,37.92,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.92,37.92,37.92,0.0,0.0,38.14,38.14,38.14,0.0,0.0
