Date,KraneShares CSI China Internet_Open_average,KraneShares CSI China Internet_Open_max,KraneShares CSI China Internet_Open_min,KraneShares CSI China Internet_Open_volatility,KraneShares CSI China Internet_Open_change,KraneShares CSI China Internet_High_average,KraneShares CSI China Internet_High_max,KraneShares CSI China Internet_High_min,KraneShares CSI China Internet_High_volatility,KraneShares CSI China Internet_High_change,KraneShares CSI China Internet_Low_average,KraneShares CSI China Internet_Low_max,KraneShares CSI China Internet_Low_min,KraneShares CSI China Internet_Low_volatility,KraneShares CSI China Internet_Low_change,KraneShares CSI China Internet_Close_average,KraneShares CSI China Internet_Close_max,KraneShares CSI China Internet_Close_min,KraneShares CSI China Internet_Close_volatility,KraneShares CSI China Internet_Close_change
2018-01-14,65.11,65.11,65.11,0.0,0.0,65.44,65.44,65.44,0.0,0.0,64.66,64.66,64.66,0.0,0.0,65.32,65.32,65.32,0.0,0.0
2018-01-21,67.94,67.94,67.94,0.0,0.0,67.99,67.99,67.99,0.0,0.0,67.09,67.09,67.09,0.0,0.0,67.09,67.09,67.09,0.0,0.0
2018-01-28,61.69,61.69,61.69,0.0,0.0,63.46,63.46,63.46,0.0,0.0,60.36,60.36,60.36,0.0,0.0,60.49,60.49,60.49,0.0,0.0
2018-02-04,59.33,59.33,59.33,0.0,0.0,60.13,60.13,60.13,0.0,0.0,58.76,58.76,58.76,0.0,0.0,59.98,59.98,59.98,0.0,0.0
2018-02-11,64.91,64.91,64.91,0.0,0.0,65.11,65.11,65.11,0.0,0.0,64.08,64.08,64.08,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-02-18,66.63,66.63,66.63,0.0,0.0,66.75,66.75,66.75,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.76,65.76,65.76,0.0,0.0
2018-02-25,63.19,63.19,63.19,0.0,0.0,64.21,64.21,64.21,0.0,0.0,62.74,62.74,62.74,0.0,0.0,64.03,64.03,64.03,0.0,0.0
2018-03-04,67.76,67.76,67.76,0.0,0.0,68.0,68.0,68.0,0.0,0.0,67.03,67.03,67.03,0.0,0.0,67.36,67.36,67.36,0.0,0.0
2018-03-11,66.45,66.45,66.45,0.0,0.0,66.83,66.83,66.83,0.0,0.0,65.51,65.51,65.51,0.0,0.0,66.03,66.03,66.03,0.0,0.0
2018-03-18,63.94,63.94,63.94,0.0,0.0,64.14,64.14,64.14,0.0,0.0,62.21,62.21,62.21,0.0,0.0,63.94,63.94,63.94,0.0,0.0
2018-03-25,61.17,61.17,61.17,0.0,0.0,61.21,61.21,61.21,0.0,0.0,59.13,59.13,59.13,0.0,0.0,59.82,59.82,59.82,0.0,0.0
2018-04-01,59.98,59.98,59.98,0.0,0.0,61.12,61.12,61.12,0.0,0.0,59.54,59.54,59.54,0.0,0.0,59.97,59.97,59.97,0.0,0.0
2018-04-08,59.35,59.35,59.35,0.0,0.0,59.65,59.65,59.65,0.0,0.0,58.95,58.95,58.95,0.0,0.0,59.47,59.47,59.47,0.0,0.0
2018-04-15,59.5,59.5,59.5,0.0,0.0,59.58,59.58,59.58,0.0,0.0,58.6,58.6,58.6,0.0,0.0,58.72,58.72,58.72,0.0,0.0
2018-04-22,58.5,58.5,58.5,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.33,58.33,58.33,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2018-04-29,59.16,59.16,59.16,0.0,0.0,60.7,60.7,60.7,0.0,0.0,59.15,59.15,59.15,0.0,0.0,60.5,60.5,60.5,0.0,0.0
2018-05-06,61.79,61.79,61.79,0.0,0.0,62.71,62.71,62.71,0.0,0.0,61.79,61.79,61.79,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-05-13,60.84,60.84,60.84,0.0,0.0,61.0,61.0,61.0,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2018-05-20,60.41,60.41,60.41,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.17,60.17,60.17,0.0,0.0,60.26,60.26,60.26,0.0,0.0
2018-05-27,63.64,63.64,63.64,0.0,0.0,64.46,64.46,64.46,0.0,0.0,63.62,63.62,63.62,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-06-03,65.27,65.27,65.27,0.0,0.0,65.91,65.91,65.91,0.0,0.0,65.1,65.1,65.1,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-06-10,65.62,65.62,65.62,0.0,0.0,66.12,66.12,66.12,0.0,0.0,64.84,64.84,64.84,0.0,0.0,66.11,66.11,66.11,0.0,0.0
2018-06-17,62.01,62.01,62.01,0.0,0.0,62.12,62.12,62.12,0.0,0.0,59.91,59.91,59.91,0.0,0.0,60.44,60.44,60.44,0.0,0.0
2018-06-24,58.25,58.25,58.25,0.0,0.0,59.16,59.16,59.16,0.0,0.0,58.0,58.0,58.0,0.0,0.0,59.09,59.09,59.09,0.0,0.0
2018-07-01,60.4,60.4,60.4,0.0,0.0,60.76,60.76,60.76,0.0,0.0,59.95,59.95,59.95,0.0,0.0,60.6,60.6,60.6,0.0,0.0
