Date,ProShares UltraShort FTSE Europe_Open_average,ProShares UltraShort FTSE Europe_Open_max,ProShares UltraShort FTSE Europe_Open_min,ProShares UltraShort FTSE Europe_Open_volatility,ProShares UltraShort FTSE Europe_Open_change,ProShares UltraShort FTSE Europe_High_average,ProShares UltraShort FTSE Europe_High_max,ProShares UltraShort FTSE Europe_High_min,ProShares UltraShort FTSE Europe_High_volatility,ProShares UltraShort FTSE Europe_High_change,ProShares UltraShort FTSE Europe_Low_average,ProShares UltraShort FTSE Europe_Low_max,ProShares UltraShort FTSE Europe_Low_min,ProShares UltraShort FTSE Europe_Low_volatility,ProShares UltraShort FTSE Europe_Low_change,ProShares UltraShort FTSE Europe_Close_average,ProShares UltraShort FTSE Europe_Close_max,ProShares UltraShort FTSE Europe_Close_min,ProShares UltraShort FTSE Europe_Close_volatility,ProShares UltraShort FTSE Europe_Close_change
2018-01-14,27.7,27.7,27.7,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-01-21,27.28,27.28,27.28,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-01-28,30.0,30.0,30.0,0.0,0.0,31.65,31.65,31.65,0.0,0.0,29.54,29.54,29.54,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-02-04,31.75,31.75,31.75,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-02-11,29.88,29.88,29.88,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.3,29.3,29.3,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2018-02-18,29.8,29.8,29.8,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-02-25,32.29,32.29,32.29,0.0,0.0,32.29,32.29,32.29,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-03-04,30.25,30.25,30.25,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.14,30.14,30.14,0.0,0.0
2018-03-11,30.63,30.63,30.63,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-03-18,31.5,31.5,31.5,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0
2018-03-25,31.13,31.13,31.13,0.0,0.0,32.43,32.43,32.43,0.0,0.0,31.13,31.13,31.13,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2018-04-01,30.58,30.58,30.58,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.26,30.26,30.26,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-04-08,29.56,29.56,29.56,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-04-15,29.48,29.48,29.48,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-04-22,29.79,29.79,29.79,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-04-29,29.72,29.72,29.72,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-05-06,29.03,29.03,29.03,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.85,28.85,28.85,0.0,0.0,29.14,29.14,29.14,0.0,0.0
2018-05-13,29.09,29.09,29.09,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-05-20,30.68,30.68,30.68,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.5,30.5,30.5,0.0,0.0
