Date,First Trust Low Duration Opportunities_Open_average,First Trust Low Duration Opportunities_Open_max,First Trust Low Duration Opportunities_Open_volatility,First Trust Low Duration Opportunities_Open_change,First Trust Low Duration Opportunities_High_average,First Trust Low Duration Opportunities_High_max,First Trust Low Duration Opportunities_High_volatility,First Trust Low Duration Opportunities_High_change,First Trust Low Duration Opportunities_Low_average,First Trust Low Duration Opportunities_Low_max,First Trust Low Duration Opportunities_Low_volatility,First Trust Low Duration Opportunities_Low_change,First Trust Low Duration Opportunities_Close_average,First Trust Low Duration Opportunities_Close_max,First Trust Low Duration Opportunities_Close_volatility,First Trust Low Duration Opportunities_Close_change
2016-01-03,50.57,50.57,0.0,0.0,50.82,50.82,0.0,0.0,50.38,50.38,0.0,0.0,50.79,50.79,0.0,0.0
2016-01-10,50.5,50.5,0.0,0.0,50.66,50.66,0.0,0.0,50.45,50.45,0.0,0.0,50.45,50.45,0.0,0.0
2016-01-17,50.41,50.41,0.0,0.0,50.49,50.49,0.0,0.0,50.4,50.4,0.0,0.0,50.49,50.49,0.0,0.0
2016-01-24,50.4,50.4,0.0,0.0,51.03,51.03,0.0,0.0,50.39,50.39,0.0,0.0,50.47,50.47,0.0,0.0
2016-01-31,50.88,50.88,0.0,0.0,51.04,51.04,0.0,0.0,50.88,50.88,0.0,0.0,51.04,51.04,0.0,0.0
2016-02-07,50.7,50.7,0.0,0.0,50.72,50.72,0.0,0.0,50.69,50.69,0.0,0.0,50.71,50.71,0.0,0.0
2016-02-14,50.94,50.94,0.0,0.0,51.03,51.03,0.0,0.0,50.94,50.94,0.0,0.0,50.99,50.99,0.0,0.0
2016-02-21,50.82,50.82,0.0,0.0,50.9,50.9,0.0,0.0,50.75,50.75,0.0,0.0,50.9,50.9,0.0,0.0
2016-02-28,50.94,50.94,0.0,0.0,51.01,51.01,0.0,0.0,50.88,50.88,0.0,0.0,51.0,51.0,0.0,0.0
2016-03-06,51.4,51.4,0.0,0.0,51.5,51.5,0.0,0.0,50.99,50.99,0.0,0.0,51.03,51.03,0.0,0.0
2016-03-13,51.07,51.07,0.0,0.0,51.07,51.07,0.0,0.0,50.94,50.94,0.0,0.0,51.0,51.0,0.0,0.0
2016-03-20,50.78,50.78,0.0,0.0,50.96,50.96,0.0,0.0,50.78,50.78,0.0,0.0,50.94,50.94,0.0,0.0
2016-03-27,50.97,50.97,0.0,0.0,51.02,51.02,0.0,0.0,50.97,50.97,0.0,0.0,51.02,51.02,0.0,0.0
2016-04-03,51.12,51.12,0.0,0.0,51.14,51.14,0.0,0.0,51.06,51.06,0.0,0.0,51.1,51.1,0.0,0.0
