Date,First Trust RiverFront Dynamic EM_Open_average,First Trust RiverFront Dynamic EM_Open_max,First Trust RiverFront Dynamic EM_Open_min,First Trust RiverFront Dynamic EM_Open_volatility,First Trust RiverFront Dynamic EM_Open_change,First Trust RiverFront Dynamic EM_High_average,First Trust RiverFront Dynamic EM_High_max,First Trust RiverFront Dynamic EM_High_min,First Trust RiverFront Dynamic EM_High_volatility,First Trust RiverFront Dynamic EM_High_change,First Trust RiverFront Dynamic EM_Low_average,First Trust RiverFront Dynamic EM_Low_max,First Trust RiverFront Dynamic EM_Low_min,First Trust RiverFront Dynamic EM_Low_volatility,First Trust RiverFront Dynamic EM_Low_change,First Trust RiverFront Dynamic EM_Close_average,First Trust RiverFront Dynamic EM_Close_max,First Trust RiverFront Dynamic EM_Close_min,First Trust RiverFront Dynamic EM_Close_volatility,First Trust RiverFront Dynamic EM_Close_change
2018-01-14,75.94,75.94,75.94,0.0,0.0,76.46,76.46,76.46,0.0,0.0,75.94,75.94,75.94,0.0,0.0,76.46,76.46,76.46,0.0,0.0
2018-01-21,78.35,78.35,78.35,0.0,0.0,78.36,78.36,78.36,0.0,0.0,78.1,78.1,78.1,0.0,0.0,78.24,78.24,78.24,0.0,0.0
2018-01-28,74.69,74.69,74.69,0.0,0.0,75.5,75.5,75.5,0.0,0.0,73.08,73.08,73.08,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-02-04,71.92,71.92,71.92,0.0,0.0,72.51,72.51,72.51,0.0,0.0,71.35,71.35,71.35,0.0,0.0,72.06,72.06,72.06,0.0,0.0
2018-02-11,75.33,75.33,75.33,0.0,0.0,76.0,76.0,76.0,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.54,75.54,75.54,0.0,0.0
2018-02-18,76.55,76.55,76.55,0.0,0.0,76.65,76.65,76.65,0.0,0.0,76.16,76.16,76.16,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2018-02-25,73.31,73.31,73.31,0.0,0.0,74.19,74.19,74.19,0.0,0.0,73.23,73.23,73.23,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-03-04,76.53,76.53,76.53,0.0,0.0,76.71,76.71,76.71,0.0,0.0,76.43,76.43,76.43,0.0,0.0,76.55,76.55,76.55,0.0,0.0
2018-03-11,75.87,75.87,75.87,0.0,0.0,76.03,76.03,76.03,0.0,0.0,75.04,75.04,75.04,0.0,0.0,75.55,75.55,75.55,0.0,0.0
2018-03-18,74.44,74.44,74.44,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.04,74.04,74.04,0.0,0.0,74.81,74.81,74.81,0.0,0.0
