Date,Inspire Global Hope_Open_average,Inspire Global Hope_Open_max,Inspire Global Hope_Open_min,Inspire Global Hope_Open_volatility,Inspire Global Hope_Open_change,Inspire Global Hope_High_average,Inspire Global Hope_High_max,Inspire Global Hope_High_min,Inspire Global Hope_High_volatility,Inspire Global Hope_High_change,Inspire Global Hope_Low_average,Inspire Global Hope_Low_max,Inspire Global Hope_Low_min,Inspire Global Hope_Low_volatility,Inspire Global Hope_Low_change,Inspire Global Hope_Close_average,Inspire Global Hope_Close_max,Inspire Global Hope_Close_min,Inspire Global Hope_Close_volatility,Inspire Global Hope_Close_change
2018-01-14,29.76,29.76,29.76,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-01-21,30.28,30.28,30.28,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.44,30.44,30.44,0.0,0.0
2018-01-28,29.65,29.65,29.65,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-02-04,27.73,27.73,27.73,0.0,0.0,27.75,27.75,27.75,0.0,0.0,26.83,26.83,26.83,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-02-11,28.97,28.97,28.97,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-02-18,28.79,28.79,28.79,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-02-25,27.91,27.91,27.91,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.76,27.76,27.76,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-03-04,28.81,28.81,28.81,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-03-11,28.66,28.66,28.66,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-03-18,28.08,28.08,28.08,0.0,0.0,28.31,28.31,28.31,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-03-25,28.25,28.25,28.25,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-04-01,28.11,28.11,28.11,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-04-08,28.09,28.09,28.09,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-04-15,28.63,28.63,28.63,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-04-22,28.37,28.37,28.37,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-04-29,28.11,28.11,28.11,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.02,28.02,28.02,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-05-06,28.66,28.66,28.66,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-05-13,28.58,28.58,28.58,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.45,28.45,28.45,0.0,0.0
2018-05-20,28.42,28.42,28.42,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.41,28.41,28.41,0.0,0.0
2018-05-27,28.52,28.52,28.52,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-06-03,28.69,28.69,28.69,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.69,28.69,28.69,0.0,0.0
2018-06-10,28.7,28.7,28.7,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-06-17,28.48,28.48,28.48,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-06-24,28.04,28.04,28.04,0.0,0.0,28.12,28.12,28.12,0.0,0.0,27.92,27.92,27.92,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-07-01,27.89,27.89,27.89,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.89,27.89,27.89,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-07-08,28.23,28.23,28.23,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-07-15,28.45,28.45,28.45,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.41,28.41,28.41,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-07-22,28.83,28.83,28.83,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-07-29,28.83,28.83,28.83,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.82,28.82,28.82,0.0,0.0
2018-08-05,28.4,28.4,28.4,0.0,0.0,29.13,29.13,29.13,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.31,28.31,28.31,0.0,0.0
2018-08-12,27.85,27.85,27.85,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.85,27.85,27.85,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-08-19,28.31,28.31,28.31,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-08-26,29.2,29.2,29.2,0.0,0.0,29.2,29.2,29.2,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-09-02,28.0,28.0,28.0,0.0,0.0,28.13,28.13,28.13,0.0,0.0,27.97,27.97,27.97,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-09-09,28.22,28.22,28.22,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-09-16,28.82,28.82,28.82,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-09-23,28.31,28.31,28.31,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2018-09-30,27.98,27.98,27.98,0.0,0.0,28.07,28.07,28.07,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.77,27.77,27.77,0.0,0.0
2018-10-07,26.9,26.9,26.9,0.0,0.0,27.03,27.03,27.03,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.87,26.87,26.87,0.0,0.0
2018-10-14,26.67,26.67,26.67,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-10-21,25.5,25.5,25.5,0.0,0.0,26.14,26.14,26.14,0.0,0.0,25.5,25.5,25.5,0.0,0.0,26.14,26.14,26.14,0.0,0.0
2018-10-28,26.84,26.84,26.84,0.0,0.0,27.07,27.07,27.07,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.67,26.67,26.67,0.0,0.0
2018-11-04,26.79,26.79,26.79,0.0,0.0,27.04,27.04,27.04,0.0,0.0,26.56,26.56,26.56,0.0,0.0,26.59,26.59,26.59,0.0,0.0
2018-11-11,26.63,26.63,26.63,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-11-18,25.83,25.83,25.83,0.0,0.0,26.09,26.09,26.09,0.0,0.0,25.83,25.83,25.83,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-11-25,26.35,26.35,26.35,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-12-02,25.94,25.94,25.94,0.0,0.0,26.23,26.23,26.23,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.53,25.53,25.53,0.0,0.0
