Date,First Trust ISE Water_Open_average,First Trust ISE Water_Open_max,First Trust ISE Water_Open_min,First Trust ISE Water_Open_volatility,First Trust ISE Water_Open_change,First Trust ISE Water_High_average,First Trust ISE Water_High_max,First Trust ISE Water_High_min,First Trust ISE Water_High_volatility,First Trust ISE Water_High_change,First Trust ISE Water_Low_average,First Trust ISE Water_Low_max,First Trust ISE Water_Low_min,First Trust ISE Water_Low_volatility,First Trust ISE Water_Low_change,First Trust ISE Water_Close_average,First Trust ISE Water_Close_max,First Trust ISE Water_Close_min,First Trust ISE Water_Close_volatility,First Trust ISE Water_Close_change
2018-01-14,49.5,49.5,49.5,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-01-21,50.09,50.09,50.09,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.66,49.66,49.66,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2018-01-28,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-02-04,45.47,45.47,45.47,0.0,0.0,46.04,46.04,46.04,0.0,0.0,44.56,44.56,44.56,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2018-02-11,47.39,47.39,47.39,0.0,0.0,48.16,48.16,48.16,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.96,47.96,47.96,0.0,0.0
2018-02-18,47.84,47.84,47.84,0.0,0.0,47.99,47.99,47.99,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.99,47.99,47.99,0.0,0.0
2018-02-25,46.06,46.06,46.06,0.0,0.0,46.54,46.54,46.54,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-03-04,48.46,48.46,48.46,0.0,0.0,49.18,49.18,49.18,0.0,0.0,48.35,48.35,48.35,0.0,0.0,49.18,49.18,49.18,0.0,0.0
2018-03-11,48.53,48.53,48.53,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.53,48.53,48.53,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-03-18,47.88,47.88,47.88,0.0,0.0,47.93,47.93,47.93,0.0,0.0,46.59,46.59,46.59,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-03-25,47.13,47.13,47.13,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.12,47.12,47.12,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-04-01,47.59,47.59,47.59,0.0,0.0,47.77,47.77,47.77,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-04-08,47.96,47.96,47.96,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.83,47.83,47.83,0.0,0.0
