Date,PowerShares DWA Industrials Momentum Portfolio_Open_average,PowerShares DWA Industrials Momentum Portfolio_Open_max,PowerShares DWA Industrials Momentum Portfolio_Open_min,PowerShares DWA Industrials Momentum Portfolio_Open_volatility,PowerShares DWA Industrials Momentum Portfolio_Open_change,PowerShares DWA Industrials Momentum Portfolio_High_average,PowerShares DWA Industrials Momentum Portfolio_High_max,PowerShares DWA Industrials Momentum Portfolio_High_min,PowerShares DWA Industrials Momentum Portfolio_High_volatility,PowerShares DWA Industrials Momentum Portfolio_High_change,PowerShares DWA Industrials Momentum Portfolio_Low_average,PowerShares DWA Industrials Momentum Portfolio_Low_max,PowerShares DWA Industrials Momentum Portfolio_Low_min,PowerShares DWA Industrials Momentum Portfolio_Low_volatility,PowerShares DWA Industrials Momentum Portfolio_Low_change,PowerShares DWA Industrials Momentum Portfolio_Close_average,PowerShares DWA Industrials Momentum Portfolio_Close_max,PowerShares DWA Industrials Momentum Portfolio_Close_min,PowerShares DWA Industrials Momentum Portfolio_Close_volatility,PowerShares DWA Industrials Momentum Portfolio_Close_change
2018-01-14,64.23,64.23,64.23,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.13,64.13,64.13,0.0,0.0,64.47,64.47,64.47,0.0,0.0
2018-01-21,64.6,64.6,64.6,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.38,64.38,64.38,0.0,0.0,64.38,64.38,64.38,0.0,0.0
2018-01-28,62.11,62.11,62.11,0.0,0.0,62.62,62.62,62.62,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.97,59.97,59.97,0.0,0.0
2018-02-04,59.89,59.89,59.89,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.46,59.46,59.46,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-02-11,62.03,62.03,62.03,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.03,62.03,62.03,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2018-02-18,62.48,62.48,62.48,0.0,0.0,62.79,62.79,62.79,0.0,0.0,62.31,62.31,62.31,0.0,0.0,62.79,62.79,62.79,0.0,0.0
2018-02-25,59.91,59.91,59.91,0.0,0.0,60.76,60.76,60.76,0.0,0.0,59.89,59.89,59.89,0.0,0.0,60.76,60.76,60.76,0.0,0.0
2018-03-04,62.97,62.97,62.97,0.0,0.0,62.97,62.97,62.97,0.0,0.0,62.55,62.55,62.55,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-03-11,61.79,61.79,61.79,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.66,61.66,61.66,0.0,0.0
2018-03-18,60.48,60.48,60.48,0.0,0.0,60.66,60.66,60.66,0.0,0.0,59.75,59.75,59.75,0.0,0.0,60.64,60.64,60.64,0.0,0.0
2018-03-25,59.97,59.97,59.97,0.0,0.0,59.97,59.97,59.97,0.0,0.0,58.13,58.13,58.13,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-04-01,59.31,59.31,59.31,0.0,0.0,59.65,59.65,59.65,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0
2018-04-08,60.67,60.67,60.67,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.65,60.65,60.65,0.0,0.0,60.83,60.83,60.83,0.0,0.0
2018-04-15,60.89,60.89,60.89,0.0,0.0,60.89,60.89,60.89,0.0,0.0,60.51,60.51,60.51,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-04-22,58.74,58.74,58.74,0.0,0.0,58.74,58.74,58.74,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.26,58.26,58.26,0.0,0.0
2018-04-29,58.38,58.38,58.38,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2018-05-06,60.33,60.33,60.33,0.0,0.0,60.35,60.35,60.35,0.0,0.0,59.91,59.91,59.91,0.0,0.0,60.03,60.03,60.03,0.0,0.0
2018-05-13,60.96,60.96,60.96,0.0,0.0,61.87,61.87,61.87,0.0,0.0,60.96,60.96,60.96,0.0,0.0,61.72,61.72,61.72,0.0,0.0
2018-05-20,60.84,60.84,60.84,0.0,0.0,60.99,60.99,60.99,0.0,0.0,60.83,60.83,60.83,0.0,0.0,60.99,60.99,60.99,0.0,0.0
