Date,iShares Currency Hedged MSCI Spain_Open_average,iShares Currency Hedged MSCI Spain_Open_max,iShares Currency Hedged MSCI Spain_Open_min,iShares Currency Hedged MSCI Spain_Open_volatility,iShares Currency Hedged MSCI Spain_Open_change,iShares Currency Hedged MSCI Spain_High_average,iShares Currency Hedged MSCI Spain_High_max,iShares Currency Hedged MSCI Spain_High_min,iShares Currency Hedged MSCI Spain_High_volatility,iShares Currency Hedged MSCI Spain_High_change,iShares Currency Hedged MSCI Spain_Low_average,iShares Currency Hedged MSCI Spain_Low_max,iShares Currency Hedged MSCI Spain_Low_min,iShares Currency Hedged MSCI Spain_Low_volatility,iShares Currency Hedged MSCI Spain_Low_change,iShares Currency Hedged MSCI Spain_Close_average,iShares Currency Hedged MSCI Spain_Close_max,iShares Currency Hedged MSCI Spain_Close_min,iShares Currency Hedged MSCI Spain_Close_volatility,iShares Currency Hedged MSCI Spain_Close_change
2018-01-14,23.62,23.62,23.62,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2018-01-21,23.48,23.48,23.48,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-01-28,22.54,22.54,22.54,0.0,0.0,22.63,22.63,22.63,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.89,21.89,21.89,0.0,0.0
2018-02-04,21.81,21.81,21.81,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.94,21.94,21.94,0.0,0.0
2018-02-11,21.92,21.92,21.92,0.0,0.0,22.07,22.07,22.07,0.0,0.0,21.92,21.92,21.92,0.0,0.0,22.05,22.05,22.05,0.0,0.0
2018-02-18,22.15,22.15,22.15,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.13,22.13,22.13,0.0,0.0,22.33,22.33,22.33,0.0,0.0
2018-02-25,21.4,21.4,21.4,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.57,21.57,21.57,0.0,0.0
2018-03-04,21.82,21.82,21.82,0.0,0.0,21.82,21.82,21.82,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-03-11,21.73,21.73,21.73,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-03-18,21.15,21.15,21.15,0.0,0.0,21.15,21.15,21.15,0.0,0.0,21.01,21.01,21.01,0.0,0.0,21.13,21.13,21.13,0.0,0.0
2018-03-25,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.24,21.24,21.24,0.0,0.0,21.32,21.32,21.32,0.0,0.0
2018-04-01,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0
2018-04-08,22.12,22.12,22.12,0.0,0.0,22.12,22.12,22.12,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2018-04-15,22.4,22.4,22.4,0.0,0.0,22.4,22.4,22.4,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-04-22,22.59,22.59,22.59,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.56,22.56,22.56,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-04-29,22.92,22.92,22.92,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.92,22.92,22.92,0.0,0.0,22.92,22.92,22.92,0.0,0.0
2018-05-06,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-05-13,22.79,22.79,22.79,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.72,22.72,22.72,0.0,0.0
2018-05-20,22.01,22.01,22.01,0.0,0.0,22.13,22.13,22.13,0.0,0.0,21.99,21.99,21.99,0.0,0.0,22.12,22.12,22.12,0.0,0.0
2018-05-27,21.78,21.78,21.78,0.0,0.0,21.78,21.78,21.78,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.75,21.75,21.75,0.0,0.0
2018-06-03,21.93,21.93,21.93,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.93,21.93,21.93,0.0,0.0,21.93,21.93,21.93,0.0,0.0
2018-06-10,21.92,21.92,21.92,0.0,0.0,21.99,21.99,21.99,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.97,21.97,21.97,0.0,0.0
2018-06-17,21.86,21.86,21.86,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.72,21.72,21.72,0.0,0.0,21.72,21.72,21.72,0.0,0.0
2018-06-24,21.7,21.7,21.7,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.8,21.8,21.8,0.0,0.0
2018-07-01,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-07-08,21.89,21.89,21.89,0.0,0.0,21.89,21.89,21.89,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0
2018-07-15,21.91,21.91,21.91,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.91,21.91,21.91,0.0,0.0,21.92,21.92,21.92,0.0,0.0
2018-07-22,21.98,21.98,21.98,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.9,21.9,21.9,0.0,0.0,21.9,21.9,21.9,0.0,0.0
