Date,WBI Tactical LCV_Open_average,WBI Tactical LCV_Open_max,WBI Tactical LCV_Open_min,WBI Tactical LCV_Open_volatility,WBI Tactical LCV_Open_change,WBI Tactical LCV_High_average,WBI Tactical LCV_High_max,WBI Tactical LCV_High_min,WBI Tactical LCV_High_volatility,WBI Tactical LCV_High_change,WBI Tactical LCV_Low_average,WBI Tactical LCV_Low_max,WBI Tactical LCV_Low_min,WBI Tactical LCV_Low_volatility,WBI Tactical LCV_Low_change,WBI Tactical LCV_Close_average,WBI Tactical LCV_Close_max,WBI Tactical LCV_Close_min,WBI Tactical LCV_Close_volatility,WBI Tactical LCV_Close_change
2018-01-14,30.11,30.11,30.11,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-01-21,30.43,30.43,30.43,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-01-28,29.43,29.43,29.43,0.0,0.0,29.43,29.43,29.43,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-02-04,28.37,28.37,28.37,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.44,28.44,28.44,0.0,0.0
2018-02-11,29.04,29.04,29.04,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.0,29.0,29.0,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-02-18,29.19,29.19,29.19,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.33,29.33,29.33,0.0,0.0
2018-02-25,28.28,28.28,28.28,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-03-04,29.65,29.65,29.65,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-03-11,29.06,29.06,29.06,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-03-18,28.23,28.23,28.23,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.25,28.25,28.25,0.0,0.0
2018-03-25,28.09,28.09,28.09,0.0,0.0,28.1,28.1,28.1,0.0,0.0,27.64,27.64,27.64,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2018-04-01,28.04,28.04,28.04,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.0,28.0,28.0,0.0,0.0
2018-04-08,28.31,28.31,28.31,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-04-15,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0
2018-04-22,27.94,27.94,27.94,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.77,27.77,27.77,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-04-29,27.7,27.7,27.7,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.72,27.72,27.72,0.0,0.0
2018-05-06,28.16,28.16,28.16,0.0,0.0,28.17,28.17,28.17,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.06,28.06,28.06,0.0,0.0
2018-05-13,28.31,28.31,28.31,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.26,28.26,28.26,0.0,0.0,28.29,28.29,28.29,0.0,0.0
2018-05-20,28.33,28.33,28.33,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.28,28.28,28.28,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-05-27,28.58,28.58,28.58,0.0,0.0,28.67,28.67,28.67,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-06-03,28.91,28.91,28.91,0.0,0.0,29.09,29.09,29.09,0.0,0.0,28.91,28.91,28.91,0.0,0.0,29.07,29.07,29.07,0.0,0.0
2018-06-10,29.02,29.02,29.02,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-06-17,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2018-06-24,27.95,27.95,27.95,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-07-01,28.54,28.54,28.54,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-07-08,28.93,28.93,28.93,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.89,28.89,28.89,0.0,0.0
