Date,iShares North American Tech-SoftwareEtf_Open_average,iShares North American Tech-SoftwareEtf_Open_max,iShares North American Tech-SoftwareEtf_Open_min,iShares North American Tech-SoftwareEtf_Open_volatility,iShares North American Tech-SoftwareEtf_Open_change,iShares North American Tech-SoftwareEtf_High_average,iShares North American Tech-SoftwareEtf_High_max,iShares North American Tech-SoftwareEtf_High_min,iShares North American Tech-SoftwareEtf_High_volatility,iShares North American Tech-SoftwareEtf_High_change,iShares North American Tech-SoftwareEtf_Low_average,iShares North American Tech-SoftwareEtf_Low_max,iShares North American Tech-SoftwareEtf_Low_min,iShares North American Tech-SoftwareEtf_Low_volatility,iShares North American Tech-SoftwareEtf_Low_change,iShares North American Tech-SoftwareEtf_Close_average,iShares North American Tech-SoftwareEtf_Close_max,iShares North American Tech-SoftwareEtf_Close_min,iShares North American Tech-SoftwareEtf_Close_volatility,iShares North American Tech-SoftwareEtf_Close_change
2018-01-14,166.43,166.43,166.43,0.0,0.0,167.07,167.07,167.07,0.0,0.0,165.88,165.88,165.88,0.0,0.0,166.99,166.99,166.99,0.0,0.0
2018-01-21,169.21,169.21,169.21,0.0,0.0,171.05,171.05,171.05,0.0,0.0,169.2,169.2,169.2,0.0,0.0,171.04,171.04,171.04,0.0,0.0
2018-01-28,169.39,169.39,169.39,0.0,0.0,169.39,169.39,169.39,0.0,0.0,166.05,166.05,166.05,0.0,0.0,166.26,166.26,166.26,0.0,0.0
2018-02-04,157.2,157.2,157.2,0.0,0.0,160.5,160.5,160.5,0.0,0.0,152.9,152.9,152.9,0.0,0.0,159.14,159.14,159.14,0.0,0.0
2018-02-11,169.22,169.22,169.22,0.0,0.0,170.89,170.89,170.89,0.0,0.0,169.06,169.06,169.06,0.0,0.0,169.42,169.42,169.42,0.0,0.0
2018-02-18,169.23,169.23,169.23,0.0,0.0,172.1,172.1,172.1,0.0,0.0,169.23,169.23,169.23,0.0,0.0,172.04,172.04,172.04,0.0,0.0
2018-02-25,168.25,168.25,168.25,0.0,0.0,173.83,173.83,173.83,0.0,0.0,168.05,168.05,168.05,0.0,0.0,173.55,173.55,173.55,0.0,0.0
2018-03-04,181.47,181.47,181.47,0.0,0.0,182.34,182.34,182.34,0.0,0.0,180.7,180.7,180.7,0.0,0.0,182.28,182.28,182.28,0.0,0.0
2018-03-11,180.42,180.42,180.42,0.0,0.0,181.15,181.15,181.15,0.0,0.0,179.18,179.18,179.18,0.0,0.0,179.43,179.43,179.43,0.0,0.0
2018-03-18,172.79,172.79,172.79,0.0,0.0,173.28,173.28,173.28,0.0,0.0,168.35,168.35,168.35,0.0,0.0,168.35,168.35,168.35,0.0,0.0
2018-03-25,167.99,167.99,167.99,0.0,0.0,171.37,171.37,171.37,0.0,0.0,165.83,165.83,165.83,0.0,0.0,169.7,169.7,169.7,0.0,0.0
2018-04-01,168.95,168.95,168.95,0.0,0.0,170.54,170.54,170.54,0.0,0.0,166.01,166.01,166.01,0.0,0.0,167.07,167.07,167.07,0.0,0.0
2018-04-08,174.52,174.52,174.52,0.0,0.0,174.71,174.71,174.71,0.0,0.0,170.97,170.97,170.97,0.0,0.0,172.0,172.0,172.0,0.0,0.0
2018-04-15,176.44,176.44,176.44,0.0,0.0,176.51,176.51,176.51,0.0,0.0,174.07,174.07,174.07,0.0,0.0,174.84,174.84,174.84,0.0,0.0
2018-04-22,174.81,174.81,174.81,0.0,0.0,175.56,175.56,175.56,0.0,0.0,172.77,172.77,172.77,0.0,0.0,173.92,173.92,173.92,0.0,0.0
2018-04-29,174.1,174.1,174.1,0.0,0.0,178.73,178.73,178.73,0.0,0.0,174.04,174.04,174.04,0.0,0.0,177.88,177.88,177.88,0.0,0.0
2018-05-06,184.49,184.49,184.49,0.0,0.0,184.49,184.49,184.49,0.0,0.0,182.63,182.63,182.63,0.0,0.0,183.3,183.3,183.3,0.0,0.0
2018-05-13,179.69,179.69,179.69,0.0,0.0,182.19,182.19,182.19,0.0,0.0,179.69,179.69,179.69,0.0,0.0,181.46,181.46,181.46,0.0,0.0
2018-05-20,182.34,182.34,182.34,0.0,0.0,183.26,183.26,183.26,0.0,0.0,182.0,182.0,182.0,0.0,0.0,182.34,182.34,182.34,0.0,0.0
2018-05-27,183.98,183.98,183.98,0.0,0.0,186.01,186.01,186.01,0.0,0.0,183.58,183.58,183.58,0.0,0.0,185.94,185.94,185.94,0.0,0.0
2018-06-03,186.28,186.28,186.28,0.0,0.0,188.24,188.24,188.24,0.0,0.0,185.77,185.77,185.77,0.0,0.0,188.12,188.12,188.12,0.0,0.0
2018-06-10,191.48,191.48,191.48,0.0,0.0,192.03,192.03,192.03,0.0,0.0,189.65,189.65,189.65,0.0,0.0,191.82,191.82,191.82,0.0,0.0
2018-06-17,188.25,188.25,188.25,0.0,0.0,188.25,188.25,188.25,0.0,0.0,184.7,184.7,184.7,0.0,0.0,185.63,185.63,185.63,0.0,0.0
2018-06-24,182.84,182.84,182.84,0.0,0.0,184.04,184.04,184.04,0.0,0.0,182.26,182.26,182.26,0.0,0.0,182.68,182.68,182.68,0.0,0.0
