Date,First Trust US IPO_Open_average,First Trust US IPO_Open_max,First Trust US IPO_Open_min,First Trust US IPO_Open_volatility,First Trust US IPO_Open_change,First Trust US IPO_High_average,First Trust US IPO_High_max,First Trust US IPO_High_min,First Trust US IPO_High_volatility,First Trust US IPO_High_change,First Trust US IPO_Low_average,First Trust US IPO_Low_max,First Trust US IPO_Low_min,First Trust US IPO_Low_volatility,First Trust US IPO_Low_change,First Trust US IPO_Close_average,First Trust US IPO_Close_max,First Trust US IPO_Close_min,First Trust US IPO_Close_volatility,First Trust US IPO_Close_change
2018-01-14,72.34,72.34,72.34,0.0,0.0,72.86,72.86,72.86,0.0,0.0,72.34,72.34,72.34,0.0,0.0,72.83,72.83,72.83,0.0,0.0
2018-01-21,74.24,74.24,74.24,0.0,0.0,74.47,74.47,74.47,0.0,0.0,73.92,73.92,73.92,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2018-01-28,70.42,70.42,70.42,0.0,0.0,71.42,71.42,71.42,0.0,0.0,68.6,68.6,68.6,0.0,0.0,68.65,68.65,68.65,0.0,0.0
2018-02-04,68.97,68.97,68.97,0.0,0.0,69.89,69.89,69.89,0.0,0.0,68.65,68.65,68.65,0.0,0.0,69.44,69.44,69.44,0.0,0.0
2018-02-11,71.28,71.28,71.28,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.23,71.23,71.23,0.0,0.0,71.48,71.48,71.48,0.0,0.0
2018-02-18,71.54,71.54,71.54,0.0,0.0,71.77,71.77,71.77,0.0,0.0,71.13,71.13,71.13,0.0,0.0,71.67,71.67,71.67,0.0,0.0
2018-02-25,70.01,70.01,70.01,0.0,0.0,71.38,71.38,71.38,0.0,0.0,69.86,69.86,69.86,0.0,0.0,71.17,71.17,71.17,0.0,0.0
2018-03-04,73.38,73.38,73.38,0.0,0.0,73.54,73.54,73.54,0.0,0.0,73.24,73.24,73.24,0.0,0.0,73.31,73.31,73.31,0.0,0.0
2018-03-11,71.99,71.99,71.99,0.0,0.0,72.02,72.02,72.02,0.0,0.0,70.81,70.81,70.81,0.0,0.0,71.33,71.33,71.33,0.0,0.0
2018-03-18,68.92,68.92,68.92,0.0,0.0,69.37,69.37,69.37,0.0,0.0,68.08,68.08,68.08,0.0,0.0,69.36,69.36,69.36,0.0,0.0
2018-03-25,68.27,68.27,68.27,0.0,0.0,68.38,68.38,68.38,0.0,0.0,66.3,66.3,66.3,0.0,0.0,66.81,66.81,66.81,0.0,0.0
2018-04-01,68.24,68.24,68.24,0.0,0.0,69.02,69.02,69.02,0.0,0.0,68.04,68.04,68.04,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2018-04-08,69.39,69.39,69.39,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.07,69.07,69.07,0.0,0.0,69.45,69.45,69.45,0.0,0.0
2018-04-15,70.26,70.26,70.26,0.0,0.0,70.49,70.49,70.49,0.0,0.0,69.74,69.74,69.74,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2018-04-22,68.95,68.95,68.95,0.0,0.0,69.33,69.33,69.33,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-04-29,69.02,69.02,69.02,0.0,0.0,69.61,69.61,69.61,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.33,69.33,69.33,0.0,0.0
2018-05-06,71.49,71.49,71.49,0.0,0.0,71.68,71.68,71.68,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.11,71.11,71.11,0.0,0.0
2018-05-13,71.89,71.89,71.89,0.0,0.0,71.9,71.9,71.9,0.0,0.0,71.53,71.53,71.53,0.0,0.0,71.62,71.62,71.62,0.0,0.0
2018-05-20,70.8,70.8,70.8,0.0,0.0,70.8,70.8,70.8,0.0,0.0,70.46,70.46,70.46,0.0,0.0,70.57,70.57,70.57,0.0,0.0
2018-05-27,71.25,71.25,71.25,0.0,0.0,71.8,71.8,71.8,0.0,0.0,71.16,71.16,71.16,0.0,0.0,71.78,71.78,71.78,0.0,0.0
2018-06-03,73.2,73.2,73.2,0.0,0.0,73.45,73.45,73.45,0.0,0.0,73.2,73.2,73.2,0.0,0.0,73.33,73.33,73.33,0.0,0.0
2018-06-10,73.9,73.9,73.9,0.0,0.0,74.53,74.53,74.53,0.0,0.0,73.73,73.73,73.73,0.0,0.0,74.52,74.52,74.52,0.0,0.0
2018-06-17,72.47,72.47,72.47,0.0,0.0,72.47,72.47,72.47,0.0,0.0,71.09,71.09,71.09,0.0,0.0,71.55,71.55,71.55,0.0,0.0
