Date,iShares MSCI South Korea Capped_Open_average,iShares MSCI South Korea Capped_Open_max,iShares MSCI South Korea Capped_Open_min,iShares MSCI South Korea Capped_Open_volatility,iShares MSCI South Korea Capped_Open_change,iShares MSCI South Korea Capped_High_average,iShares MSCI South Korea Capped_High_max,iShares MSCI South Korea Capped_High_min,iShares MSCI South Korea Capped_High_volatility,iShares MSCI South Korea Capped_High_change,iShares MSCI South Korea Capped_Low_average,iShares MSCI South Korea Capped_Low_max,iShares MSCI South Korea Capped_Low_min,iShares MSCI South Korea Capped_Low_volatility,iShares MSCI South Korea Capped_Low_change,iShares MSCI South Korea Capped_Close_average,iShares MSCI South Korea Capped_Close_max,iShares MSCI South Korea Capped_Close_min,iShares MSCI South Korea Capped_Close_volatility,iShares MSCI South Korea Capped_Close_change
2018-01-14,76.32,76.32,76.32,0.0,0.0,76.86,76.86,76.86,0.0,0.0,76.21,76.21,76.21,0.0,0.0,76.84,76.84,76.84,0.0,0.0
2018-01-21,78.92,78.92,78.92,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.57,78.57,78.57,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2018-01-28,74.12,74.12,74.12,0.0,0.0,74.4,74.4,74.4,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.85,71.85,71.85,0.0,0.0
2018-02-04,71.3,71.3,71.3,0.0,0.0,71.99,71.99,71.99,0.0,0.0,70.81,70.81,70.81,0.0,0.0,71.5,71.5,71.5,0.0,0.0
2018-02-11,75.46,75.46,75.46,0.0,0.0,76.48,76.48,76.48,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-02-18,74.57,74.57,74.57,0.0,0.0,75.15,75.15,75.15,0.0,0.0,74.4,74.4,74.4,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2018-02-25,71.23,71.23,71.23,0.0,0.0,72.02,72.02,72.02,0.0,0.0,71.11,71.11,71.11,0.0,0.0,71.95,71.95,71.95,0.0,0.0
2018-03-04,76.03,76.03,76.03,0.0,0.0,76.31,76.31,76.31,0.0,0.0,75.85,75.85,75.85,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2018-03-11,75.36,75.36,75.36,0.0,0.0,75.54,75.54,75.54,0.0,0.0,74.55,74.55,74.55,0.0,0.0,74.85,74.85,74.85,0.0,0.0
2018-03-18,73.93,73.93,73.93,0.0,0.0,74.43,74.43,74.43,0.0,0.0,73.19,73.19,73.19,0.0,0.0,74.43,74.43,74.43,0.0,0.0
2018-03-25,75.27,75.27,75.27,0.0,0.0,75.4,75.4,75.4,0.0,0.0,73.64,73.64,73.64,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-04-01,74.0,74.0,74.0,0.0,0.0,74.42,74.42,74.42,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.88,73.88,73.88,0.0,0.0
2018-04-08,74.35,74.35,74.35,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.18,74.18,74.18,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2018-04-15,74.61,74.61,74.61,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.02,74.02,74.02,0.0,0.0,74.12,74.12,74.12,0.0,0.0
2018-04-22,76.27,76.27,76.27,0.0,0.0,76.37,76.37,76.37,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.6,75.6,75.6,0.0,0.0
2018-04-29,73.35,73.35,73.35,0.0,0.0,73.82,73.82,73.82,0.0,0.0,73.02,73.02,73.02,0.0,0.0,73.47,73.47,73.47,0.0,0.0
2018-05-06,74.64,74.64,74.64,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.38,74.38,74.38,0.0,0.0,74.5,74.5,74.5,0.0,0.0
2018-05-13,73.41,73.41,73.41,0.0,0.0,73.59,73.59,73.59,0.0,0.0,73.22,73.22,73.22,0.0,0.0,73.42,73.42,73.42,0.0,0.0
2018-05-20,74.01,74.01,74.01,0.0,0.0,74.39,74.39,74.39,0.0,0.0,74.01,74.01,74.01,0.0,0.0,74.12,74.12,74.12,0.0,0.0
2018-05-27,73.77,73.77,73.77,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.78,73.78,73.78,0.0,0.0
2018-06-03,73.84,73.84,73.84,0.0,0.0,73.95,73.95,73.95,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.8,73.8,73.8,0.0,0.0
2018-06-10,69.16,69.16,69.16,0.0,0.0,69.47,69.47,69.47,0.0,0.0,68.89,68.89,68.89,0.0,0.0,69.37,69.37,69.37,0.0,0.0
2018-06-17,68.0,68.0,68.0,0.0,0.0,68.05,68.05,68.05,0.0,0.0,67.26,67.26,67.26,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2018-06-24,65.84,65.84,65.84,0.0,0.0,66.3,66.3,66.3,0.0,0.0,65.67,65.67,65.67,0.0,0.0,66.23,66.23,66.23,0.0,0.0
2018-07-01,66.85,66.85,66.85,0.0,0.0,67.12,67.12,67.12,0.0,0.0,66.79,66.79,66.79,0.0,0.0,67.12,67.12,67.12,0.0,0.0
2018-07-08,66.23,66.23,66.23,0.0,0.0,66.29,66.29,66.29,0.0,0.0,66.0,66.0,66.0,0.0,0.0,66.17,66.17,66.17,0.0,0.0
2018-07-15,65.04,65.04,65.04,0.0,0.0,65.17,65.17,65.17,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-07-22,66.79,66.79,66.79,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-07-29,65.61,65.61,65.61,0.0,0.0,65.77,65.77,65.77,0.0,0.0,65.49,65.49,65.49,0.0,0.0,65.67,65.67,65.67,0.0,0.0
2018-08-05,64.2,64.2,64.2,0.0,0.0,64.36,64.36,64.36,0.0,0.0,63.72,63.72,63.72,0.0,0.0,63.72,63.72,63.72,0.0,0.0
2018-08-12,64.5,64.5,64.5,0.0,0.0,64.71,64.71,64.71,0.0,0.0,64.36,64.36,64.36,0.0,0.0,64.65,64.65,64.65,0.0,0.0
2018-08-19,67.0,67.0,67.0,0.0,0.0,67.69,67.69,67.69,0.0,0.0,66.94,66.94,66.94,0.0,0.0,67.46,67.46,67.46,0.0,0.0
2018-08-26,66.95,66.95,66.95,0.0,0.0,67.38,67.38,67.38,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.32,67.32,67.32,0.0,0.0
2018-09-02,65.4,65.4,65.4,0.0,0.0,65.4,65.4,65.4,0.0,0.0,64.94,64.94,64.94,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-09-09,65.93,65.93,65.93,0.0,0.0,65.98,65.98,65.98,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-09-16,67.25,67.25,67.25,0.0,0.0,67.57,67.57,67.57,0.0,0.0,67.0,67.0,67.0,0.0,0.0,67.47,67.47,67.47,0.0,0.0
2018-09-23,68.28,68.28,68.28,0.0,0.0,68.31,68.31,68.31,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.95,67.95,67.95,0.0,0.0
2018-09-30,63.73,63.73,63.73,0.0,0.0,64.29,64.29,64.29,0.0,0.0,63.64,63.64,63.64,0.0,0.0,64.21,64.21,64.21,0.0,0.0
2018-10-07,61.89,61.89,61.89,0.0,0.0,62.05,62.05,62.05,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2018-10-14,61.8,61.8,61.8,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.31,61.31,61.31,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2018-10-21,57.96,57.96,57.96,0.0,0.0,58.05,58.05,58.05,0.0,0.0,56.34,56.34,56.34,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2018-10-28,60.37,60.37,60.37,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.28,60.28,60.28,0.0,0.0,60.51,60.51,60.51,0.0,0.0
2018-11-04,59.34,59.34,59.34,0.0,0.0,59.42,59.42,59.42,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.52,58.52,58.52,0.0,0.0
2018-11-11,60.42,60.42,60.42,0.0,0.0,60.46,60.46,60.46,0.0,0.0,59.84,59.84,59.84,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-11-18,60.04,60.04,60.04,0.0,0.0,60.29,60.29,60.29,0.0,0.0,59.99,59.99,59.99,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2018-11-25,62.29,62.29,62.29,0.0,0.0,62.4,62.4,62.4,0.0,0.0,61.88,61.88,61.88,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2018-12-02,58.97,58.97,58.97,0.0,0.0,59.23,59.23,59.23,0.0,0.0,58.3,58.3,58.3,0.0,0.0,59.04,59.04,59.04,0.0,0.0
2018-12-09,58.9,58.9,58.9,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.39,58.39,58.39,0.0,0.0
2018-12-16,58.15,58.15,58.15,0.0,0.0,58.25,58.25,58.25,0.0,0.0,57.45,57.45,57.45,0.0,0.0,57.49,57.49,57.49,0.0,0.0
2018-12-23,59.52,59.52,59.52,0.0,0.0,59.61,59.61,59.61,0.0,0.0,58.64,58.64,58.64,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-12-30,58.61,58.61,58.61,0.0,0.0,59.14,59.14,59.14,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.84,58.84,58.84,0.0,0.0
2019-01-06,58.95,58.95,58.95,0.0,0.0,59.34,59.34,59.34,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.17,59.17,59.17,0.0,0.0
2019-01-13,61.47,61.47,61.47,0.0,0.0,61.67,61.67,61.67,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.45,61.45,61.45,0.0,0.0
2019-01-20,62.64,62.64,62.64,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.52,62.52,62.52,0.0,0.0,62.92,62.92,62.92,0.0,0.0
2019-01-27,63.97,63.97,63.97,0.0,0.0,64.62,64.62,64.62,0.0,0.0,63.8,63.8,63.8,0.0,0.0,64.25,64.25,64.25,0.0,0.0
2019-02-03,62.86,62.86,62.86,0.0,0.0,62.92,62.92,62.92,0.0,0.0,62.62,62.62,62.62,0.0,0.0,62.75,62.75,62.75,0.0,0.0
2019-02-10,63.28,63.28,63.28,0.0,0.0,63.43,63.43,63.43,0.0,0.0,63.18,63.18,63.18,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2019-02-17,64.71,64.71,64.71,0.0,0.0,65.09,65.09,65.09,0.0,0.0,64.61,64.61,64.61,0.0,0.0,64.69,64.69,64.69,0.0,0.0
2019-02-24,62.75,62.75,62.75,0.0,0.0,62.81,62.81,62.81,0.0,0.0,62.02,62.02,62.02,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2019-03-03,60.69,60.69,60.69,0.0,0.0,61.3,61.3,61.3,0.0,0.0,60.69,60.69,60.69,0.0,0.0,61.29,61.29,61.29,0.0,0.0
2019-03-10,61.94,61.94,61.94,0.0,0.0,62.21,62.21,62.21,0.0,0.0,61.88,61.88,61.88,0.0,0.0,62.19,62.19,62.19,0.0,0.0
2019-03-17,61.18,61.18,61.18,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.04,61.04,61.04,0.0,0.0,61.25,61.25,61.25,0.0,0.0
2019-03-24,61.85,61.85,61.85,0.0,0.0,62.16,62.16,62.16,0.0,0.0,61.79,61.79,61.79,0.0,0.0,62.15,62.15,62.15,0.0,0.0
2019-03-31,62.7,62.7,62.7,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.67,62.67,62.67,0.0,0.0,63.03,63.03,63.03,0.0,0.0
2019-04-07,64.02,64.02,64.02,0.0,0.0,64.1,64.1,64.1,0.0,0.0,63.76,63.76,63.76,0.0,0.0,63.89,63.89,63.89,0.0,0.0
