Date,ProShares UltraPro QQQ_etf_Open_average,ProShares UltraPro QQQ_etf_Open_max,ProShares UltraPro QQQ_etf_Open_min,ProShares UltraPro QQQ_etf_Open_volatility,ProShares UltraPro QQQ_etf_Open_change,ProShares UltraPro QQQ_etf_High_average,ProShares UltraPro QQQ_etf_High_max,ProShares UltraPro QQQ_etf_High_min,ProShares UltraPro QQQ_etf_High_volatility,ProShares UltraPro QQQ_etf_High_change,ProShares UltraPro QQQ_etf_Low_average,ProShares UltraPro QQQ_etf_Low_max,ProShares UltraPro QQQ_etf_Low_min,ProShares UltraPro QQQ_etf_Low_volatility,ProShares UltraPro QQQ_etf_Low_change,ProShares UltraPro QQQ_etf_Close_average,ProShares UltraPro QQQ_etf_Close_max,ProShares UltraPro QQQ_etf_Close_min,ProShares UltraPro QQQ_etf_Close_volatility,ProShares UltraPro QQQ_etf_Close_change
2018-01-14,56.07,56.07,56.07,0.0,0.0,56.37,56.37,56.37,0.0,0.0,55.28,55.28,55.28,0.0,0.0,56.13,56.13,56.13,0.0,0.0
2018-01-21,59.0,59.0,59.0,0.0,0.0,60.66,60.66,60.66,0.0,0.0,58.69,58.69,58.69,0.0,0.0,60.66,60.66,60.66,0.0,0.0
2018-01-28,56.93,56.93,56.93,0.0,0.0,57.27,57.27,57.27,0.0,0.0,53.97,53.97,53.97,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-02-04,45.07,45.07,45.07,0.0,0.0,46.38,46.38,46.38,0.0,0.0,40.4,40.4,40.4,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-02-11,53.63,53.63,53.63,0.0,0.0,55.16,55.16,55.16,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.42,53.42,53.42,0.0,0.0
2018-02-18,54.42,54.42,54.42,0.0,0.0,56.42,56.42,56.42,0.0,0.0,53.85,53.85,53.85,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-02-25,50.89,50.89,50.89,0.0,0.0,54.45,54.45,54.45,0.0,0.0,50.26,50.26,50.26,0.0,0.0,54.19,54.19,54.19,0.0,0.0
2018-03-04,59.19,59.19,59.19,0.0,0.0,61.24,61.24,61.24,0.0,0.0,58.93,58.93,58.93,0.0,0.0,61.24,61.24,61.24,0.0,0.0
2018-03-11,59.77,59.77,59.77,0.0,0.0,60.23,60.23,60.23,0.0,0.0,58.93,58.93,58.93,0.0,0.0,59.04,59.04,59.04,0.0,0.0
2018-03-18,50.73,50.73,50.73,0.0,0.0,51.4,51.4,51.4,0.0,0.0,46.81,46.81,46.81,0.0,0.0,46.81,46.81,46.81,0.0,0.0
2018-03-25,46.15,46.15,46.15,0.0,0.0,49.23,49.23,49.23,0.0,0.0,44.84,44.84,44.84,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-04-01,46.56,46.56,46.56,0.0,0.0,47.94,47.94,47.94,0.0,0.0,43.81,43.81,43.81,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-04-08,50.0,50.0,50.0,0.0,0.0,50.21,50.21,50.21,0.0,0.0,47.89,47.89,47.89,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-04-15,51.25,51.25,51.25,0.0,0.0,51.33,51.33,51.33,0.0,0.0,48.63,48.63,48.63,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-04-22,50.83,50.83,50.83,0.0,0.0,50.88,50.88,50.88,0.0,0.0,47.97,47.97,47.97,0.0,0.0,48.81,48.81,48.81,0.0,0.0
