Date,SPDR MSCI ACWI Low Carbon TargetEtf_Open_average,SPDR MSCI ACWI Low Carbon TargetEtf_Open_max,SPDR MSCI ACWI Low Carbon TargetEtf_Open_min,SPDR MSCI ACWI Low Carbon TargetEtf_Open_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Open_change,SPDR MSCI ACWI Low Carbon TargetEtf_High_average,SPDR MSCI ACWI Low Carbon TargetEtf_High_max,SPDR MSCI ACWI Low Carbon TargetEtf_High_min,SPDR MSCI ACWI Low Carbon TargetEtf_High_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_High_change,SPDR MSCI ACWI Low Carbon TargetEtf_Low_average,SPDR MSCI ACWI Low Carbon TargetEtf_Low_max,SPDR MSCI ACWI Low Carbon TargetEtf_Low_min,SPDR MSCI ACWI Low Carbon TargetEtf_Low_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Low_change,SPDR MSCI ACWI Low Carbon TargetEtf_Close_average,SPDR MSCI ACWI Low Carbon TargetEtf_Close_max,SPDR MSCI ACWI Low Carbon TargetEtf_Close_min,SPDR MSCI ACWI Low Carbon TargetEtf_Close_volatility,SPDR MSCI ACWI Low Carbon TargetEtf_Close_change
2018-01-14,94.33,94.33,94.33,0.0,0.0,94.46,94.46,94.46,0.0,0.0,94.33,94.33,94.33,0.0,0.0,94.46,94.46,94.46,0.0,0.0
2018-01-21,96.05,96.05,96.05,0.0,0.0,96.4,96.4,96.4,0.0,0.0,96.05,96.05,96.05,0.0,0.0,96.4,96.4,96.4,0.0,0.0
2018-01-28,94.28,94.28,94.28,0.0,0.0,94.4,94.4,94.4,0.0,0.0,93.24,93.24,93.24,0.0,0.0,93.24,93.24,93.24,0.0,0.0
2018-02-04,88.08,88.08,88.08,0.0,0.0,88.35,88.35,88.35,0.0,0.0,86.52,86.52,86.52,0.0,0.0,88.35,88.35,88.35,0.0,0.0
2018-02-11,92.07,92.07,92.07,0.0,0.0,92.35,92.35,92.35,0.0,0.0,92.03,92.03,92.03,0.0,0.0,92.03,92.03,92.03,0.0,0.0
2018-02-18,91.47,91.47,91.47,0.0,0.0,92.03,92.03,92.03,0.0,0.0,91.46,91.46,91.46,0.0,0.0,92.03,92.03,92.03,0.0,0.0
2018-02-25,88.97,88.97,88.97,0.0,0.0,89.97,89.97,89.97,0.0,0.0,88.97,88.97,88.97,0.0,0.0,89.97,89.97,89.97,0.0,0.0
2018-03-04,91.79,91.79,91.79,0.0,0.0,92.4,92.4,92.4,0.0,0.0,91.79,91.79,91.79,0.0,0.0,92.4,92.4,92.4,0.0,0.0
2018-03-11,91.78,91.78,91.78,0.0,0.0,91.78,91.78,91.78,0.0,0.0,91.71,91.71,91.71,0.0,0.0,91.77,91.77,91.77,0.0,0.0
2018-03-18,89.38,89.38,89.38,0.0,0.0,89.38,89.38,89.38,0.0,0.0,87.65,87.65,87.65,0.0,0.0,87.65,87.65,87.65,0.0,0.0
