Date,CVS_stock_Open_average,CVS_stock_Open_max,CVS_stock_Open_min,CVS_stock_Open_volatility,CVS_stock_Open_change,CVS_stock_High_average,CVS_stock_High_max,CVS_stock_High_min,CVS_stock_High_volatility,CVS_stock_High_change,CVS_stock_Low_average,CVS_stock_Low_max,CVS_stock_Low_min,CVS_stock_Low_volatility,CVS_stock_Low_change,CVS_stock_Close_average,CVS_stock_Close_max,CVS_stock_Close_min,CVS_stock_Close_volatility,CVS_stock_Close_change,CVS_stock_Volume_average,CVS_stock_Volume_max,CVS_stock_Volume_min,CVS_stock_Volume_volatility,CVS_stock_Volume_change
2018-01-14,79.4825,79.92,78.83,1.0900000000000034,0.75,80.2125,80.69,79.97,0.7199999999999989,-0.10999999999999943,79.0325,79.26,78.83,0.4300000000000068,0.28000000000000114,79.5375,79.86,79.35,0.5100000000000051,0.4200000000000017,7978833,8437277,7448679,988598,-473682
2018-01-21,80.854,81.64,80.09,1.5499999999999972,1.5499999999999972,81.374,82.01,80.7,1.3100000000000023,1.0300000000000011,80.33200000000001,80.92,79.7,1.2199999999999989,0.9899999999999949,81.18,82.01,80.44,1.5700000000000074,1.0600000000000023,6469200,7308523,5780587,1527936,-1132982
2018-01-28,79.55,82.0,78.3,3.700000000000003,-3.6400000000000006,80.766,83.88,78.54,5.339999999999989,-5.339999999999989,78.23,81.75,75.58,6.170000000000002,-6.170000000000002,79.55,83.63,76.45,7.179999999999993,-7.179999999999993,11381747,16517869,8372862,8145007,2022760
2018-02-04,73.33200000000001,75.31,71.01,4.299999999999997,-4.299999999999997,74.658,76.4,71.35,5.050000000000011,-5.050000000000011,71.288,73.57,67.31,6.259999999999991,-5.980000000000004,72.326,74.35,69.39,4.959999999999994,-3.9299999999999926,12299097,16718546,9611066,7107480,4519051
2018-02-11,70.084,70.59,69.66,0.9300000000000068,0.28000000000000114,71.04599999999999,72.21,70.22,1.9899999999999949,1.5699999999999932,69.614,70.32,69.09,1.2299999999999898,0.8199999999999932,70.432,71.9,69.79,2.1099999999999994,2.030000000000001,7511411,8943768,6469876,2473892,-2473892
2018-02-18,69.8275,71.25,68.51,2.739999999999995,-2.739999999999995,70.0675,71.45,68.78,2.6700000000000017,-2.6700000000000017,68.3575,69.73,67.42,2.3100000000000023,-2.3100000000000023,68.895,70.66,68.0,2.6599999999999966,-2.5,8226571,10624802,5804823,4819979,-610365
2018-02-25,68.136,69.3,67.11,2.1899999999999977,-1.0900000000000034,68.592,69.66,67.61,2.049999999999997,-0.8599999999999994,67.338,68.12,66.63,1.490000000000009,-0.9399999999999977,67.764,68.25,67.15,1.0999999999999943,-0.7700000000000102,9239919,10799790,7391900,3407890,2776260
2018-03-04,67.892,68.77,66.96,1.8100000000000023,1.269999999999996,68.738,69.37,67.89,1.480000000000004,0.7700000000000102,67.334,68.23,66.54,1.6899999999999977,1.240000000000009,68.22,69.27,67.51,1.759999999999991,0.9599999999999937,7510447,8838326,5795576,3042750,-1958630
2018-03-11,68.034,69.27,66.09,3.1799999999999926,-3.1799999999999926,68.284,69.56,66.45,3.1099999999999994,-3.1099999999999994,66.958,68.77,65.65,3.1199999999999903,-3.1199999999999903,67.164,69.01,65.65,3.3599999999999994,-3.3599999999999994,8870495,15281573,4752572,10529001,10529001
2018-03-18,63.342,65.72,62.0,3.719999999999999,-3.719999999999999,63.784,65.88,62.45,3.4299999999999926,-3.4299999999999926,62.02,63.31,60.78,2.530000000000001,-2.530000000000001,62.328,63.63,60.86,2.770000000000003,-2.770000000000003,8335397,9700642,6976888,2723754,-1906314
2018-03-25,61.644999999999996,62.69,60.88,1.8099999999999952,1.4099999999999966,62.5175,63.4,61.83,1.5700000000000003,1.5700000000000003,60.835,61.34,60.14,1.2000000000000028,0.29000000000000625,61.78,62.71,60.6,2.1099999999999994,0.6099999999999994,8422678,10253808,7496724,2757084,599723
2018-04-01,62.974000000000004,64.49,61.57,2.9199999999999946,2.3100000000000023,63.967999999999996,65.16,62.2,2.9599999999999937,2.569999999999993,62.152,64.2,60.45,3.75,2.4099999999999966,63.188,64.66,61.04,3.6199999999999974,2.3400000000000034,7305048,10281609,5114814,5166795,-2748774
2018-04-08,63.836,64.23,63.64,0.5900000000000034,0.5900000000000034,64.378,64.53,64.3,0.23000000000000398,-0.12999999999999545,62.972,63.48,62.66,0.8200000000000003,-0.11000000000000654,63.556,64.0,63.07,0.9299999999999997,0.11999999999999744,6266536,7493710,5500028,1993682,-271354
2018-04-15,66.014,67.07,63.78,3.289999999999992,1.8799999999999955,67.468,68.92,66.29,2.6299999999999955,-2.6299999999999955,64.972,66.56,63.25,3.3100000000000023,1.4399999999999977,66.16,67.11,65.12,1.9899999999999949,-0.9799999999999898,9731340,19008386,6047881,12960505,-12838815
2018-04-22,66.84,68.82,65.51,3.309999999999988,3.309999999999988,68.346,71.08,65.93,5.1499999999999915,5.1499999999999915,66.64,68.61,64.95,3.6599999999999966,3.6599999999999966,67.73,69.95,65.68,4.269999999999996,4.269999999999996,8403512,10664487,6282832,4381655,1203675
2018-04-29,66.836,70.14,62.04,8.100000000000001,-8.100000000000001,67.42,70.63,63.39,7.239999999999995,-7.239999999999995,65.214,69.0,61.31,7.689999999999998,-7.689999999999998,65.828,69.83,62.27,7.559999999999995,-6.729999999999997,14329268,18378810,9569901,8808909,-6127054
2018-05-06,62.084,63.12,60.89,2.229999999999997,-0.4099999999999966,63.368,65.61,62.0,3.6099999999999994,2.3599999999999994,60.964,61.56,60.32,1.240000000000002,-0.490000000000002,62.104,64.41,60.71,3.6999999999999957,2.6599999999999966,11374189,15335101,9062316,6272785,3390172
2018-05-13,65.846,66.48,64.61,1.8700000000000045,1.3700000000000045,66.54599999999999,67.07,66.09,0.9799999999999898,-0.9799999999999898,65.152,65.59,64.58,1.0100000000000051,0.010000000000005116,65.894,66.82,64.92,1.8999999999999915,-1.8999999999999915,7246033,12415128,4734498,7680630,-7680630
2018-05-20,65.364,65.69,65.1,0.5900000000000034,0.020000000000010232,66.052,66.59,65.65,0.9399999999999977,0.8599999999999994,64.86,65.42,64.34,1.0799999999999983,0.20000000000000284,65.568,66.03,65.12,0.9099999999999966,0.5300000000000011,5074911,5965411,4183644,1781767,600913
