Date,Powershares S&P 500 High Beta PortfolioEtf_Open_average,Powershares S&P 500 High Beta PortfolioEtf_Open_max,Powershares S&P 500 High Beta PortfolioEtf_Open_min,Powershares S&P 500 High Beta PortfolioEtf_Open_volatility,Powershares S&P 500 High Beta PortfolioEtf_Open_change,Powershares S&P 500 High Beta PortfolioEtf_High_average,Powershares S&P 500 High Beta PortfolioEtf_High_max,Powershares S&P 500 High Beta PortfolioEtf_High_min,Powershares S&P 500 High Beta PortfolioEtf_High_volatility,Powershares S&P 500 High Beta PortfolioEtf_High_change,Powershares S&P 500 High Beta PortfolioEtf_Low_average,Powershares S&P 500 High Beta PortfolioEtf_Low_max,Powershares S&P 500 High Beta PortfolioEtf_Low_min,Powershares S&P 500 High Beta PortfolioEtf_Low_volatility,Powershares S&P 500 High Beta PortfolioEtf_Low_change,Powershares S&P 500 High Beta PortfolioEtf_Close_average,Powershares S&P 500 High Beta PortfolioEtf_Close_max,Powershares S&P 500 High Beta PortfolioEtf_Close_min,Powershares S&P 500 High Beta PortfolioEtf_Close_volatility,Powershares S&P 500 High Beta PortfolioEtf_Close_change
2018-01-14,45.19,45.19,45.19,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.09,45.09,45.09,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2018-01-21,45.45,45.45,45.45,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.42,45.42,45.42,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-01-28,44.8,44.8,44.8,0.0,0.0,44.86,44.86,44.86,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2018-02-04,41.3,41.3,41.3,0.0,0.0,41.58,41.58,41.58,0.0,0.0,39.76,39.76,39.76,0.0,0.0,41.25,41.25,41.25,0.0,0.0
2018-02-11,43.11,43.11,43.11,0.0,0.0,43.6,43.6,43.6,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-02-18,43.35,43.35,43.35,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2018-02-25,42.35,42.35,42.35,0.0,0.0,43.27,43.27,43.27,0.0,0.0,42.1,42.1,42.1,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-03-04,44.87,44.87,44.87,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.6,44.6,44.6,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-03-11,44.57,44.57,44.57,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-03-18,43.35,43.35,43.35,0.0,0.0,43.35,43.35,43.35,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.78,41.78,41.78,0.0,0.0
