Date,Direxion Daily Energy Bull 3X Shares_etf_Open_average,Direxion Daily Energy Bull 3X Shares_etf_Open_max,Direxion Daily Energy Bull 3X Shares_etf_Open_min,Direxion Daily Energy Bull 3X Shares_etf_Open_volatility,Direxion Daily Energy Bull 3X Shares_etf_Open_change,Direxion Daily Energy Bull 3X Shares_etf_High_average,Direxion Daily Energy Bull 3X Shares_etf_High_max,Direxion Daily Energy Bull 3X Shares_etf_High_min,Direxion Daily Energy Bull 3X Shares_etf_High_volatility,Direxion Daily Energy Bull 3X Shares_etf_High_change,Direxion Daily Energy Bull 3X Shares_etf_Low_average,Direxion Daily Energy Bull 3X Shares_etf_Low_max,Direxion Daily Energy Bull 3X Shares_etf_Low_min,Direxion Daily Energy Bull 3X Shares_etf_Low_volatility,Direxion Daily Energy Bull 3X Shares_etf_Low_change,Direxion Daily Energy Bull 3X Shares_etf_Close_average,Direxion Daily Energy Bull 3X Shares_etf_Close_max,Direxion Daily Energy Bull 3X Shares_etf_Close_min,Direxion Daily Energy Bull 3X Shares_etf_Close_volatility,Direxion Daily Energy Bull 3X Shares_etf_Close_change
2018-01-14,408.1,408.1,408.1,0.0,0.0,410.7,410.7,410.7,0.0,0.0,402.4,402.4,402.4,0.0,0.0,410.4,410.4,410.4,0.0,0.0
2018-01-21,422.3,422.3,422.3,0.0,0.0,429.9,429.9,429.9,0.0,0.0,421.4,421.4,421.4,0.0,0.0,428.0,428.0,428.0,0.0,0.0
2018-01-28,375.5,375.5,375.5,0.0,0.0,376.7,376.7,376.7,0.0,0.0,340.4,340.4,340.4,0.0,0.0,346.6,346.6,346.6,0.0,0.0
2018-02-04,276.9,276.9,276.9,0.0,0.0,277.19,277.19,277.19,0.0,0.0,240.1,240.1,240.1,0.0,0.0,266.8,266.8,266.8,0.0,0.0
2018-02-11,282.3,282.3,282.3,0.0,0.0,291.8,291.8,291.8,0.0,0.0,278.64,278.64,278.64,0.0,0.0,283.5,283.5,283.5,0.0,0.0
2018-02-18,277.6,277.6,277.6,0.0,0.0,291.8,291.8,291.8,0.0,0.0,275.9,275.9,275.9,0.0,0.0,291.6,291.6,291.6,0.0,0.0
2018-02-25,259.1,259.1,259.1,0.0,0.0,270.16,270.16,270.16,0.0,0.0,252.0,252.0,252.0,0.0,0.0,267.6,267.6,267.6,0.0,0.0
2018-03-04,275.8,275.8,275.8,0.0,0.0,285.8,285.8,285.8,0.0,0.0,275.8,275.8,275.8,0.0,0.0,285.0,285.0,285.0,0.0,0.0
2018-03-11,269.5,269.5,269.5,0.0,0.0,280.0,280.0,280.0,0.0,0.0,268.16,268.16,268.16,0.0,0.0,276.4,276.4,276.4,0.0,0.0
2018-03-18,277.9,277.9,277.9,0.0,0.0,287.0,287.0,287.0,0.0,0.0,266.4,266.4,266.4,0.0,0.0,268.5,268.5,268.5,0.0,0.0
2018-03-25,262.0,262.0,262.0,0.0,0.0,277.8,277.8,277.8,0.0,0.0,262.0,262.0,262.0,0.0,0.0,275.0,275.0,275.0,0.0,0.0
2018-04-01,281.7,281.7,281.7,0.0,0.0,286.8,286.8,286.8,0.0,0.0,261.2,261.2,261.2,0.0,0.0,272.7,272.7,272.7,0.0,0.0
2018-04-08,317.4,317.4,317.4,0.0,0.0,326.9,326.9,326.9,0.0,0.0,316.6,316.6,316.6,0.0,0.0,322.9,322.9,322.9,0.0,0.0
2018-04-15,350.6,350.6,350.6,0.0,0.0,352.3,352.3,352.3,0.0,0.0,342.0,342.0,342.0,0.0,0.0,348.9,348.9,348.9,0.0,0.0
