Date,ProShares UltraPro Short Financial Select Sector_Open_average,ProShares UltraPro Short Financial Select Sector_Open_max,ProShares UltraPro Short Financial Select Sector_Open_min,ProShares UltraPro Short Financial Select Sector_Open_volatility,ProShares UltraPro Short Financial Select Sector_Open_change,ProShares UltraPro Short Financial Select Sector_High_average,ProShares UltraPro Short Financial Select Sector_High_max,ProShares UltraPro Short Financial Select Sector_High_min,ProShares UltraPro Short Financial Select Sector_High_volatility,ProShares UltraPro Short Financial Select Sector_High_change,ProShares UltraPro Short Financial Select Sector_Low_average,ProShares UltraPro Short Financial Select Sector_Low_max,ProShares UltraPro Short Financial Select Sector_Low_min,ProShares UltraPro Short Financial Select Sector_Low_volatility,ProShares UltraPro Short Financial Select Sector_Low_change,ProShares UltraPro Short Financial Select Sector_Close_average,ProShares UltraPro Short Financial Select Sector_Close_max,ProShares UltraPro Short Financial Select Sector_Close_min,ProShares UltraPro Short Financial Select Sector_Close_volatility,ProShares UltraPro Short Financial Select Sector_Close_change
2018-01-14,6.96,6.96,6.96,0.0,0.0,6.97,6.97,6.97,0.0,0.0,6.84,6.84,6.84,0.0,0.0,6.84,6.84,6.84,0.0,0.0
2018-01-21,6.47,6.47,6.47,0.0,0.0,6.58,6.58,6.58,0.0,0.0,6.47,6.47,6.47,0.0,0.0,6.54,6.54,6.54,0.0,0.0
2018-01-28,7.32,7.32,7.32,0.0,0.0,8.28,8.28,8.28,0.0,0.0,7.32,7.32,7.32,0.0,0.0,8.04,8.04,8.04,0.0,0.0
2018-02-04,8.0,8.0,8.0,0.0,0.0,8.14,8.14,8.14,0.0,0.0,7.63,7.63,7.63,0.0,0.0,7.72,7.72,7.72,0.0,0.0
2018-02-11,7.15,7.15,7.15,0.0,0.0,7.16,7.16,7.16,0.0,0.0,6.95,6.95,6.95,0.0,0.0,7.06,7.06,7.06,0.0,0.0
2018-02-18,6.96,6.96,6.96,0.0,0.0,6.96,6.96,6.96,0.0,0.0,6.73,6.73,6.73,0.0,0.0,6.73,6.73,6.73,0.0,0.0
2018-02-25,7.57,7.57,7.57,0.0,0.0,7.57,7.57,7.57,0.0,0.0,7.09,7.09,7.09,0.0,0.0,7.1,7.1,7.1,0.0,0.0
2018-03-04,6.5,6.5,6.5,0.0,0.0,6.55,6.55,6.55,0.0,0.0,6.5,6.5,6.5,0.0,0.0,6.55,6.55,6.55,0.0,0.0
2018-03-11,7.06,7.06,7.06,0.0,0.0,7.33,7.33,7.33,0.0,0.0,7.06,7.06,7.06,0.0,0.0,7.22,7.22,7.22,0.0,0.0
2018-03-18,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,7.76,7.76,7.76,0.0,0.0,7.76,7.76,7.76,0.0,0.0
2018-03-25,8.0,8.0,8.0,0.0,0.0,8.72,8.72,8.72,0.0,0.0,7.93,7.93,7.93,0.0,0.0,8.36,8.36,8.36,0.0,0.0
