Date,VanEck Vectors India Small-Cap_Open_average,VanEck Vectors India Small-Cap_Open_max,VanEck Vectors India Small-Cap_Open_volatility,VanEck Vectors India Small-Cap_Open_change,VanEck Vectors India Small-Cap_High_average,VanEck Vectors India Small-Cap_High_max,VanEck Vectors India Small-Cap_High_volatility,VanEck Vectors India Small-Cap_High_change,VanEck Vectors India Small-Cap_Low_average,VanEck Vectors India Small-Cap_Low_max,VanEck Vectors India Small-Cap_Low_volatility,VanEck Vectors India Small-Cap_Low_change,VanEck Vectors India Small-Cap_Close_average,VanEck Vectors India Small-Cap_Close_max,VanEck Vectors India Small-Cap_Close_volatility,VanEck Vectors India Small-Cap_Close_change
2016-01-03,42.36,42.36,0.0,0.0,43.45,43.45,0.0,0.0,42.36,42.36,0.0,0.0,42.71,42.71,0.0,0.0
2016-01-10,38.09,38.09,0.0,0.0,38.21,38.21,0.0,0.0,37.57,37.57,0.0,0.0,37.71,37.71,0.0,0.0
2016-01-17,37.82,37.82,0.0,0.0,38.0,38.0,0.0,0.0,37.57,37.57,0.0,0.0,37.67,37.67,0.0,0.0
2016-01-24,38.82,38.82,0.0,0.0,38.88,38.88,0.0,0.0,38.44,38.44,0.0,0.0,38.88,38.88,0.0,0.0
2016-01-31,36.86,36.86,0.0,0.0,37.18,37.18,0.0,0.0,36.49,36.49,0.0,0.0,37.13,37.13,0.0,0.0
2016-02-07,32.87,32.87,0.0,0.0,33.11,33.11,0.0,0.0,32.57,32.57,0.0,0.0,32.81,32.81,0.0,0.0
2016-02-14,33.81,33.81,0.0,0.0,34.07,34.07,0.0,0.0,33.81,33.81,0.0,0.0,34.06,34.06,0.0,0.0
2016-02-21,32.46,32.46,0.0,0.0,32.6,32.6,0.0,0.0,32.08,32.08,0.0,0.0,32.46,32.46,0.0,0.0
2016-02-28,36.05,36.05,0.0,0.0,36.53,36.53,0.0,0.0,35.99,35.99,0.0,0.0,36.3,36.3,0.0,0.0
2016-03-06,35.98,35.98,0.0,0.0,36.7,36.7,0.0,0.0,35.98,35.98,0.0,0.0,36.12,36.12,0.0,0.0
2016-03-13,36.91,36.91,0.0,0.0,37.51,37.51,0.0,0.0,36.91,36.91,0.0,0.0,37.1,37.1,0.0,0.0
2016-03-20,36.92,36.92,0.0,0.0,37.19,37.19,0.0,0.0,36.92,36.92,0.0,0.0,37.13,37.13,0.0,0.0
2016-03-27,39.72,39.72,0.0,0.0,39.72,39.72,0.0,0.0,38.91,38.91,0.0,0.0,38.93,38.93,0.0,0.0
2016-04-03,39.23,39.23,0.0,0.0,39.39,39.39,0.0,0.0,38.95,38.95,0.0,0.0,39.01,39.01,0.0,0.0
