Date,JPMorgan Disciplined High Yield_etf_Open_average,JPMorgan Disciplined High Yield_etf_Open_max,JPMorgan Disciplined High Yield_etf_Open_min,JPMorgan Disciplined High Yield_etf_Open_volatility,JPMorgan Disciplined High Yield_etf_Open_change,JPMorgan Disciplined High Yield_etf_High_average,JPMorgan Disciplined High Yield_etf_High_max,JPMorgan Disciplined High Yield_etf_High_min,JPMorgan Disciplined High Yield_etf_High_volatility,JPMorgan Disciplined High Yield_etf_High_change,JPMorgan Disciplined High Yield_etf_Low_average,JPMorgan Disciplined High Yield_etf_Low_max,JPMorgan Disciplined High Yield_etf_Low_min,JPMorgan Disciplined High Yield_etf_Low_volatility,JPMorgan Disciplined High Yield_etf_Low_change,JPMorgan Disciplined High Yield_etf_Close_average,JPMorgan Disciplined High Yield_etf_Close_max,JPMorgan Disciplined High Yield_etf_Close_min,JPMorgan Disciplined High Yield_etf_Close_volatility,JPMorgan Disciplined High Yield_etf_Close_change
2018-01-14,51.39,51.39,51.39,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2018-01-21,51.41,51.41,51.41,0.0,0.0,51.47,51.47,51.47,0.0,0.0,51.41,51.41,51.41,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-01-28,51.06,51.06,51.06,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.93,50.93,50.93,0.0,0.0
2018-02-04,50.52,50.52,50.52,0.0,0.0,50.55,50.55,50.55,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-02-11,50.63,50.63,50.63,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2018-02-18,50.39,50.39,50.39,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-02-25,50.19,50.19,50.19,0.0,0.0,50.33,50.33,50.33,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.33,50.33,50.33,0.0,0.0
2018-03-04,50.4,50.4,50.4,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2018-03-11,50.11,50.11,50.11,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-03-18,49.97,49.97,49.97,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-03-25,49.95,49.95,49.95,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-04-01,50.01,50.01,50.01,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-04-08,50.42,50.42,50.42,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-04-15,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2018-04-22,50.15,50.15,50.15,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-29,49.78,49.78,49.78,0.0,0.0,49.86,49.86,49.86,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-05-06,49.97,49.97,49.97,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.93,49.93,49.93,0.0,0.0
2018-05-13,49.82,49.82,49.82,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-05-20,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-05-27,49.73,49.73,49.73,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2018-06-03,49.79,49.79,49.79,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.8,49.8,49.8,0.0,0.0
2018-06-10,50.02,50.02,50.02,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.03,50.03,50.03,0.0,0.0
2018-06-17,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.0,50.0,50.0,0.0,0.0
