Date,ITP_stock_Open_average,ITP_stock_Open_max,ITP_stock_Open_min,ITP_stock_Open_volatility,ITP_stock_Open_change,ITP_stock_High_average,ITP_stock_High_max,ITP_stock_High_min,ITP_stock_High_volatility,ITP_stock_High_change,ITP_stock_Low_average,ITP_stock_Low_max,ITP_stock_Low_min,ITP_stock_Low_volatility,ITP_stock_Low_change,ITP_stock_Close_average,ITP_stock_Close_max,ITP_stock_Close_min,ITP_stock_Close_volatility,ITP_stock_Close_change,ITP_stock_Volume_average,ITP_stock_Volume_max,ITP_stock_Volume_min,ITP_stock_Volume_volatility,ITP_stock_Volume_change
2018-01-14,1.41,1.45,1.39,0.06000000000000005,-0.06000000000000005,1.47225,1.54,1.43,0.1100000000000001,-0.06099999999999994,1.395,1.4,1.39,0.010000000000000009,-0.010000000000000009,1.41975,1.479,1.39,0.08900000000000019,0.07900000000000018,10651,26057,353,25704,-25704
2018-01-21,1.48,1.55,1.45,0.10000000000000009,0.07000000000000006,1.58,1.82,1.47,0.3500000000000001,0.32000000000000006,1.446,1.48,1.4,0.08000000000000007,-0.08000000000000007,1.476,1.55,1.42,0.13000000000000012,-0.06000000000000005,41714,131998,3744,128254,125283
2018-01-28,1.416,1.46,1.38,0.08000000000000007,-0.050000000000000044,1.442,1.48,1.39,0.09000000000000008,-0.09000000000000008,1.394,1.43,1.35,0.07999999999999985,-0.07999999999999985,1.398,1.45,1.35,0.09999999999999987,-0.09999999999999987,8883,26080,1016,25064,-2367
2018-02-04,1.316,1.37,1.28,0.09000000000000008,-0.09000000000000008,1.32,1.37,1.28,0.09000000000000008,-0.09000000000000008,1.28,1.33,1.18,0.15000000000000013,-0.15000000000000013,1.2886,1.33,1.22,0.1100000000000001,-0.1100000000000001,15294,34704,4790,29914,13753
2018-02-11,1.24,1.27,1.21,0.06000000000000005,0.050000000000000044,1.266,1.28,1.25,0.030000000000000027,-0.020000000000000018,1.234,1.27,1.21,0.06000000000000005,0.030000000000000027,1.2424,1.27,1.22,0.050000000000000044,0.020000000000000018,679,1132,164,968,-737
2018-02-18,1.275,1.3,1.24,0.06000000000000005,0.06000000000000005,1.3025,1.31,1.3,0.010000000000000009,0.0,1.2675,1.29,1.24,0.050000000000000044,0.030000000000000027,1.2925,1.31,1.27,0.040000000000000036,-0.030000000000000027,3333,5170,199,4971,-3412
2018-02-25,1.286,1.31,1.27,0.040000000000000036,0.0,1.318,1.37,1.29,0.08000000000000007,0.050000000000000044,1.28,1.3,1.27,0.030000000000000027,0.0,1.3062,1.35,1.27,0.08000000000000007,0.049000000000000155,3939,8554,120,8434,-3686
2018-03-04,1.308,1.35,1.26,0.09000000000000008,-0.020000000000000018,1.3318,1.35,1.319,0.03100000000000014,-0.020000000000000018,1.2612,1.296,1.25,0.04600000000000004,-0.04600000000000004,1.277,1.319,1.25,0.06899999999999995,-0.04600000000000004,5760,12511,58,12453,-993
2018-03-11,1.258,1.28,1.23,0.050000000000000044,-0.040000000000000036,1.26,1.28,1.24,0.040000000000000036,-0.040000000000000036,1.236,1.26,1.21,0.050000000000000044,-0.040000000000000036,1.2456,1.268,1.23,0.038000000000000034,-0.038000000000000034,4041,11670,807,10863,3411
2018-03-18,1.228,1.25,1.2,0.050000000000000044,-0.020000000000000018,1.254,1.3,1.22,0.08000000000000007,-0.020000000000000018,1.216,1.24,1.2,0.040000000000000036,-0.020000000000000018,1.228,1.24,1.22,0.020000000000000018,-0.020000000000000018,3262,10122,122,10000,-301
