Date,Deutsche X-trackers Harvest CSI 500_etf_Open_average,Deutsche X-trackers Harvest CSI 500_etf_Open_max,Deutsche X-trackers Harvest CSI 500_etf_Open_min,Deutsche X-trackers Harvest CSI 500_etf_Open_volatility,Deutsche X-trackers Harvest CSI 500_etf_Open_change,Deutsche X-trackers Harvest CSI 500_etf_High_average,Deutsche X-trackers Harvest CSI 500_etf_High_max,Deutsche X-trackers Harvest CSI 500_etf_High_min,Deutsche X-trackers Harvest CSI 500_etf_High_volatility,Deutsche X-trackers Harvest CSI 500_etf_High_change,Deutsche X-trackers Harvest CSI 500_etf_Low_average,Deutsche X-trackers Harvest CSI 500_etf_Low_max,Deutsche X-trackers Harvest CSI 500_etf_Low_min,Deutsche X-trackers Harvest CSI 500_etf_Low_volatility,Deutsche X-trackers Harvest CSI 500_etf_Low_change,Deutsche X-trackers Harvest CSI 500_etf_Close_average,Deutsche X-trackers Harvest CSI 500_etf_Close_max,Deutsche X-trackers Harvest CSI 500_etf_Close_min,Deutsche X-trackers Harvest CSI 500_etf_Close_volatility,Deutsche X-trackers Harvest CSI 500_etf_Close_change
2018-01-14,35.75,35.75,35.75,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-01-21,36.95,36.95,36.95,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-01-28,34.67,34.67,34.67,0.0,0.0,34.67,34.67,34.67,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.23,34.23,34.23,0.0,0.0
2018-02-04,31.6,31.6,31.6,0.0,0.0,31.82,31.82,31.82,0.0,0.0,30.65,30.65,30.65,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-02-11,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,33.95,33.95,33.95,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-02-18,33.81,33.81,33.81,0.0,0.0,33.93,33.93,33.93,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-02-25,34.34,34.34,34.34,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.33,34.33,34.33,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2018-03-04,35.63,35.63,35.63,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-03-11,35.4,35.4,35.4,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-03-18,33.79,33.79,33.79,0.0,0.0,33.79,33.79,33.79,0.0,0.0,32.95,32.95,32.95,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-03-25,34.99,34.99,34.99,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.99,34.99,34.99,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-04-01,34.82,34.82,34.82,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-04-08,34.98,34.98,34.98,0.0,0.0,34.98,34.98,34.98,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-04-15,34.12,34.12,34.12,0.0,0.0,34.12,34.12,34.12,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-04-22,33.55,33.55,33.55,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-04-29,33.7,33.7,33.7,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.95,33.95,33.95,0.0,0.0
2018-05-06,34.4,34.4,34.4,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.45,34.45,34.45,0.0,0.0
2018-05-13,34.23,34.23,34.23,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-05-20,33.7,33.7,33.7,0.0,0.0,33.77,33.77,33.77,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.75,33.75,33.75,0.0,0.0
2018-05-27,32.6,32.6,32.6,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-06-03,32.28,32.28,32.28,0.0,0.0,32.42,32.42,32.42,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.28,32.28,32.28,0.0,0.0
2018-06-10,31.22,31.22,31.22,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.97,30.97,30.97,0.0,0.0
