Date,X_Open_average,X_Open_max,X_Open_min,X_Open_volatility,X_Open_change,X_High_average,X_High_max,X_High_min,X_High_volatility,X_High_change,X_Low_average,X_Low_max,X_Low_min,X_Low_volatility,X_Low_change,X_Close_average,X_Close_max,X_Close_min,X_Close_volatility,X_Close_change,X_Volume_average,X_Volume_max,X_Volume_min,X_Volume_volatility,X_Volume_change
2018-01-14,38.984,39.16,38.79,0.36999999999999744,-0.11999999999999744,39.604,39.96,39.2,0.759999999999998,-0.3100000000000023,38.476,38.68,38.2,0.4799999999999969,0.3199999999999932,39.018,39.31,38.67,0.6400000000000006,0.6400000000000006,9347872,10888371,6913008,3975363,-1389671
2018-01-21,40.274,40.75,39.31,1.4399999999999977,1.4399999999999977,41.124,41.72,40.6,1.1199999999999974,1.1199999999999974,39.660000000000004,40.52,38.34,2.1799999999999997,2.1799999999999997,40.484,41.15,39.99,1.1599999999999966,1.0899999999999963,11080247,16908208,7201927,9706281,-6668286
2018-01-28,37.318,40.67,33.7,6.969999999999999,-6.969999999999999,38.122,41.07,35.48,5.590000000000003,-5.590000000000003,35.308,38.25,30.91,7.34,-7.34,36.246,38.61,34.02,4.589999999999996,-4.589999999999996,15452247,17760232,13436239,4323993,-2523977
2018-02-04,34.66,35.4,33.55,1.8500000000000014,1.2000000000000028,35.634,36.39,34.77,1.6199999999999974,0.8299999999999983,33.75,34.78,32.8,1.980000000000004,1.3000000000000043,35.01,36.22,33.95,2.269999999999996,0.9099999999999966,12748421,13681340,11139007,2542333,16810
2018-02-11,37.6875,39.16,36.04,3.1199999999999974,2.969999999999999,40.305,45.44,37.42,8.019999999999996,8.019999999999996,37.2975,38.59,35.82,2.770000000000003,2.770000000000003,39.8075,44.75,36.8,7.950000000000003,7.950000000000003,18439482,38978748,11143935,27834813,27354026
2018-02-18,44.024,45.09,43.27,1.8200000000000003,1.6700000000000017,45.248,46.82,44.03,2.789999999999999,-1.0700000000000003,43.036,43.78,42.56,1.2199999999999989,0.5900000000000034,43.711999999999996,44.83,42.86,1.9699999999999989,-0.46000000000000085,15951118,27984670,9598737,18385933,-13499651
2018-02-25,44.706,45.38,44.21,1.1700000000000017,0.3100000000000023,45.778,47.64,44.72,2.9200000000000017,1.1499999999999986,43.564,44.28,43.22,1.0600000000000023,1.0200000000000031,44.732,46.01,43.51,2.5,0.75,18560662,40853400,8733742,32119658,4325007
2018-03-04,44.758,45.72,43.03,2.6899999999999977,-1.740000000000002,45.71,47.36,44.25,3.1099999999999994,-0.7899999999999991,43.428000000000004,44.85,42.32,2.530000000000001,-0.6199999999999974,44.366,45.69,43.57,2.1199999999999974,-0.9600000000000009,17454411,26693154,8819443,17873711,-4224701
2018-03-11,39.762,41.87,38.47,3.3999999999999986,-2.3799999999999955,40.686,42.72,39.3,3.4200000000000017,-2.460000000000001,38.548,39.81,37.9,1.9100000000000037,-1.4600000000000009,39.214,40.24,38.38,1.8599999999999994,-1.1799999999999997,16805254,22816206,11879669,10936537,-10477368
2018-03-18,37.034,39.27,34.36,4.910000000000004,-4.910000000000004,37.612,39.72,34.97,4.75,-4.050000000000004,35.794,38.42,33.52,4.899999999999999,-4.230000000000004,36.224,38.76,33.94,4.82,-3.1200000000000045,12832114,22785716,7093182,15692534,5017653
