Date,ProShares Ultra S&P500_Open_average,ProShares Ultra S&P500_Open_max,ProShares Ultra S&P500_Open_min,ProShares Ultra S&P500_Open_volatility,ProShares Ultra S&P500_Open_change,ProShares Ultra S&P500_High_average,ProShares Ultra S&P500_High_max,ProShares Ultra S&P500_High_min,ProShares Ultra S&P500_High_volatility,ProShares Ultra S&P500_High_change,ProShares Ultra S&P500_Low_average,ProShares Ultra S&P500_Low_max,ProShares Ultra S&P500_Low_min,ProShares Ultra S&P500_Low_volatility,ProShares Ultra S&P500_Low_change,ProShares Ultra S&P500_Close_average,ProShares Ultra S&P500_Close_max,ProShares Ultra S&P500_Close_min,ProShares Ultra S&P500_Close_volatility,ProShares Ultra S&P500_Close_change
2018-01-14,120.19,120.19,120.19,0.0,0.0,122.42,122.42,122.42,0.0,0.0,120.19,120.19,120.19,0.0,0.0,122.4,122.4,122.4,0.0,0.0
2018-01-21,125.14,125.14,125.14,0.0,0.0,125.58,125.58,125.58,0.0,0.0,123.92,123.92,123.92,0.0,0.0,124.03,124.03,124.03,0.0,0.0
2018-01-28,114.21,114.21,114.21,0.0,0.0,116.32,116.32,116.32,0.0,0.0,105.72,105.72,105.72,0.0,0.0,106.63,106.63,106.63,0.0,0.0
2018-02-04,105.89,105.89,105.89,0.0,0.0,108.42,108.42,108.42,0.0,0.0,104.38,104.38,104.38,0.0,0.0,107.04,107.04,107.04,0.0,0.0
2018-02-11,112.75,112.75,112.75,0.0,0.0,115.24,115.24,115.24,0.0,0.0,112.72,112.72,112.72,0.0,0.0,113.38,113.38,113.38,0.0,0.0
2018-02-18,115.63,115.63,115.63,0.0,0.0,117.39,117.39,117.39,0.0,0.0,115.12,115.12,115.12,0.0,0.0,117.29,117.29,117.29,0.0,0.0
2018-02-25,108.74,108.74,108.74,0.0,0.0,112.95,112.95,112.95,0.0,0.0,108.66,108.66,108.66,0.0,0.0,112.41,112.41,112.41,0.0,0.0
2018-03-04,118.19,118.19,118.19,0.0,0.0,118.76,118.76,118.76,0.0,0.0,117.24,117.24,117.24,0.0,0.0,117.59,117.59,117.59,0.0,0.0
2018-03-11,114.1,114.1,114.1,0.0,0.0,114.13,114.13,114.13,0.0,0.0,110.16,110.16,110.16,0.0,0.0,111.75,111.75,111.75,0.0,0.0
2018-03-18,104.62,104.62,104.62,0.0,0.0,107.12,107.12,107.12,0.0,0.0,102.43,102.43,102.43,0.0,0.0,106.95,106.95,106.95,0.0,0.0
2018-03-25,104.71,104.71,104.71,0.0,0.0,105.17,105.17,105.17,0.0,0.0,98.42,98.42,98.42,0.0,0.0,100.72,100.72,100.72,0.0,0.0
2018-04-01,103.65,103.65,103.65,0.0,0.0,106.28,106.28,106.28,0.0,0.0,102.9,102.9,102.9,0.0,0.0,103.17,103.17,103.17,0.0,0.0
2018-04-08,107.9,107.9,107.9,0.0,0.0,108.91,108.91,108.91,0.0,0.0,107.2,107.2,107.2,0.0,0.0,108.21,108.21,108.21,0.0,0.0
2018-04-15,108.1,108.1,108.1,0.0,0.0,108.57,108.57,108.57,0.0,0.0,106.53,106.53,106.53,0.0,0.0,107.51,107.51,107.51,0.0,0.0
2018-04-22,107.97,107.97,107.97,0.0,0.0,108.45,108.45,108.45,0.0,0.0,105.68,105.68,105.68,0.0,0.0,105.69,105.69,105.69,0.0,0.0
2018-04-29,107.56,107.56,107.56,0.0,0.0,108.46,108.46,108.46,0.0,0.0,106.95,106.95,106.95,0.0,0.0,107.51,107.51,107.51,0.0,0.0
2018-05-06,112.75,112.75,112.75,0.0,0.0,113.32,113.32,113.32,0.0,0.0,111.96,111.96,111.96,0.0,0.0,112.38,112.38,112.38,0.0,0.0
2018-05-13,112.37,112.37,112.37,0.0,0.0,113.19,113.19,113.19,0.0,0.0,112.07,112.07,112.07,0.0,0.0,112.66,112.66,112.66,0.0,0.0
2018-05-20,111.67,111.67,111.67,0.0,0.0,112.19,112.19,112.19,0.0,0.0,111.15,111.15,111.15,0.0,0.0,111.63,111.63,111.63,0.0,0.0
2018-05-27,113.44,113.44,113.44,0.0,0.0,113.98,113.98,113.98,0.0,0.0,113.21,113.21,113.21,0.0,0.0,113.76,113.76,113.76,0.0,0.0
2018-06-03,116.57,116.57,116.57,0.0,0.0,117.42,117.42,117.42,0.0,0.0,116.51,116.51,116.51,0.0,0.0,116.72,116.72,116.72,0.0,0.0
2018-06-10,115.1,115.1,115.1,0.0,0.0,116.14,116.14,116.14,0.0,0.0,114.64,114.64,114.64,0.0,0.0,116.03,116.03,116.03,0.0,0.0
2018-06-17,113.11,113.11,113.11,0.0,0.0,113.26,113.26,113.26,0.0,0.0,109.53,109.53,109.53,0.0,0.0,111.1,111.1,111.1,0.0,0.0
2018-06-24,109.8,109.8,109.8,0.0,0.0,111.89,111.89,111.89,0.0,0.0,109.57,109.57,109.57,0.0,0.0,111.81,111.81,111.81,0.0,0.0
