Date,iShares MSCI India Small-Cap_Open_average,iShares MSCI India Small-Cap_Open_max,iShares MSCI India Small-Cap_Open_min,iShares MSCI India Small-Cap_Open_volatility,iShares MSCI India Small-Cap_Open_change,iShares MSCI India Small-Cap_High_average,iShares MSCI India Small-Cap_High_max,iShares MSCI India Small-Cap_High_min,iShares MSCI India Small-Cap_High_volatility,iShares MSCI India Small-Cap_High_change,iShares MSCI India Small-Cap_Low_average,iShares MSCI India Small-Cap_Low_max,iShares MSCI India Small-Cap_Low_min,iShares MSCI India Small-Cap_Low_volatility,iShares MSCI India Small-Cap_Low_change,iShares MSCI India Small-Cap_Close_average,iShares MSCI India Small-Cap_Close_max,iShares MSCI India Small-Cap_Close_min,iShares MSCI India Small-Cap_Close_volatility,iShares MSCI India Small-Cap_Close_change
2018-01-14,53.93,53.93,53.93,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2018-01-21,53.0,53.0,53.0,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2018-01-28,47.57,47.57,47.57,0.0,0.0,48.97,48.97,48.97,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-02-04,50.5,50.5,50.5,0.0,0.0,50.98,50.98,50.98,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.71,50.71,50.71,0.0,0.0
2018-02-11,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-02-18,50.05,50.05,50.05,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-02-25,48.0,48.0,48.0,0.0,0.0,48.68,48.68,48.68,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-03-04,48.08,48.08,48.08,0.0,0.0,48.27,48.27,48.27,0.0,0.0,47.88,47.88,47.88,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2018-03-11,47.15,47.15,47.15,0.0,0.0,47.28,47.28,47.28,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-03-18,46.86,46.86,46.86,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.66,46.66,46.66,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2018-03-25,47.85,47.85,47.85,0.0,0.0,47.85,47.85,47.85,0.0,0.0,47.16,47.16,47.16,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-04-01,49.0,49.0,49.0,0.0,0.0,49.23,49.23,49.23,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-04-08,49.15,49.15,49.15,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.15,49.15,49.15,0.0,0.0,49.26,49.26,49.26,0.0,0.0
2018-04-15,49.0,49.0,49.0,0.0,0.0,49.09,49.09,49.09,0.0,0.0,48.74,48.74,48.74,0.0,0.0,48.83,48.83,48.83,0.0,0.0
2018-04-22,49.34,49.34,49.34,0.0,0.0,49.49,49.49,49.49,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-29,47.9,47.9,47.9,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.73,47.73,47.73,0.0,0.0,47.79,47.79,47.79,0.0,0.0
2018-05-06,46.64,46.64,46.64,0.0,0.0,46.89,46.89,46.89,0.0,0.0,46.39,46.39,46.39,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-05-13,45.0,45.0,45.0,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.87,44.87,44.87,0.0,0.0
2018-05-20,45.27,45.27,45.27,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-05-27,44.78,44.78,44.78,0.0,0.0,45.47,45.47,45.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-06-03,45.47,45.47,45.47,0.0,0.0,45.56,45.56,45.56,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.4,45.4,45.4,0.0,0.0
2018-06-10,44.5,44.5,44.5,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2018-06-17,42.92,42.92,42.92,0.0,0.0,43.38,43.38,43.38,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2018-06-24,41.73,41.73,41.73,0.0,0.0,41.78,41.78,41.78,0.0,0.0,41.5,41.5,41.5,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2018-07-01,42.61,42.61,42.61,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-07-08,41.43,41.43,41.43,0.0,0.0,41.99,41.99,41.99,0.0,0.0,41.23,41.23,41.23,0.0,0.0,41.36,41.36,41.36,0.0,0.0
2018-07-15,41.77,41.77,41.77,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.51,41.51,41.51,0.0,0.0,41.82,41.82,41.82,0.0,0.0
2018-07-22,43.56,43.56,43.56,0.0,0.0,43.81,43.81,43.81,0.0,0.0,43.56,43.56,43.56,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2018-07-29,44.55,44.55,44.55,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.52,44.52,44.52,0.0,0.0
2018-08-05,43.38,43.38,43.38,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.11,43.11,43.11,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-08-12,43.88,43.88,43.88,0.0,0.0,44.29,44.29,44.29,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.97,43.97,43.97,0.0,0.0
2018-08-19,44.02,44.02,44.02,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.42,44.42,44.42,0.0,0.0
