Date,Morgan Stanley Market Vectors Double Short Euro_Open_average,Morgan Stanley Market Vectors Double Short Euro_Open_max,Morgan Stanley Market Vectors Double Short Euro_Open_min,Morgan Stanley Market Vectors Double Short Euro_Open_volatility,Morgan Stanley Market Vectors Double Short Euro_Open_change,Morgan Stanley Market Vectors Double Short Euro_High_average,Morgan Stanley Market Vectors Double Short Euro_High_max,Morgan Stanley Market Vectors Double Short Euro_High_min,Morgan Stanley Market Vectors Double Short Euro_High_volatility,Morgan Stanley Market Vectors Double Short Euro_High_change,Morgan Stanley Market Vectors Double Short Euro_Low_average,Morgan Stanley Market Vectors Double Short Euro_Low_max,Morgan Stanley Market Vectors Double Short Euro_Low_min,Morgan Stanley Market Vectors Double Short Euro_Low_volatility,Morgan Stanley Market Vectors Double Short Euro_Low_change,Morgan Stanley Market Vectors Double Short Euro_Close_average,Morgan Stanley Market Vectors Double Short Euro_Close_max,Morgan Stanley Market Vectors Double Short Euro_Close_min,Morgan Stanley Market Vectors Double Short Euro_Close_volatility,Morgan Stanley Market Vectors Double Short Euro_Close_change
2018-01-14,46.51,46.51,46.51,0.0,0.0,47.32,47.32,47.32,0.0,0.0,46.51,46.51,46.51,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2018-01-21,45.01,45.01,45.01,0.0,0.0,45.58,45.58,45.58,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2018-01-28,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,44.2,44.2,44.2,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-02-04,45.61,45.61,45.61,0.0,0.0,47.87,47.87,47.87,0.0,0.0,45.61,45.61,45.61,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-11,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2018-02-18,45.54,45.54,45.54,0.0,0.0,46.68,46.68,46.68,0.0,0.0,44.56,44.56,44.56,0.0,0.0,46.67,46.67,46.67,0.0,0.0
2018-02-25,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-03-04,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-03-11,47.25,47.25,47.25,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-03-18,53.0,53.0,53.0,0.0,0.0,53.0,53.0,53.0,0.0,0.0,45.74,45.74,45.74,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-03-25,46.16,46.16,46.16,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2018-04-01,46.5,46.5,46.5,0.0,0.0,47.48,47.48,47.48,0.0,0.0,46.5,46.5,46.5,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-04-08,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0,47.75,47.75,47.75,0.0,0.0
2018-04-15,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.47,48.47,48.47,0.0,0.0
2018-04-22,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0,48.62,48.62,48.62,0.0,0.0,48.62,48.62,48.62,0.0,0.0
2018-04-29,51.37,51.37,51.37,0.0,0.0,52.69,52.69,52.69,0.0,0.0,49.5,49.5,49.5,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2018-05-06,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-05-13,52.0,52.0,52.0,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2018-05-20,52.72,52.72,52.72,0.0,0.0,53.0,53.0,53.0,0.0,0.0,52.72,52.72,52.72,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-05-27,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-06-03,52.26,52.26,52.26,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-06-10,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0,55.98,55.98,55.98,0.0,0.0
2018-06-17,53.85,53.85,53.85,0.0,0.0,53.85,53.85,53.85,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2018-06-24,52.53,52.53,52.53,0.0,0.0,53.45,53.45,53.45,0.0,0.0,51.69,51.69,51.69,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2018-07-01,51.6,51.6,51.6,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-07-08,50.24,50.24,50.24,0.0,0.0,53.67,53.67,53.67,0.0,0.0,50.23,50.23,50.23,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2018-07-15,52.94,52.94,52.94,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-07-22,53.48,53.48,53.48,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.65,53.65,53.65,0.0,0.0
