Date,VelocityShares 1x Long VSTOXX Futures_Open_average,VelocityShares 1x Long VSTOXX Futures_Open_max,VelocityShares 1x Long VSTOXX Futures_Open_min,VelocityShares 1x Long VSTOXX Futures_Open_volatility,VelocityShares 1x Long VSTOXX Futures_Open_change,VelocityShares 1x Long VSTOXX Futures_High_average,VelocityShares 1x Long VSTOXX Futures_High_max,VelocityShares 1x Long VSTOXX Futures_High_min,VelocityShares 1x Long VSTOXX Futures_High_volatility,VelocityShares 1x Long VSTOXX Futures_High_change,VelocityShares 1x Long VSTOXX Futures_Low_average,VelocityShares 1x Long VSTOXX Futures_Low_max,VelocityShares 1x Long VSTOXX Futures_Low_min,VelocityShares 1x Long VSTOXX Futures_Low_volatility,VelocityShares 1x Long VSTOXX Futures_Low_change,VelocityShares 1x Long VSTOXX Futures_Close_average,VelocityShares 1x Long VSTOXX Futures_Close_max,VelocityShares 1x Long VSTOXX Futures_Close_min,VelocityShares 1x Long VSTOXX Futures_Close_volatility,VelocityShares 1x Long VSTOXX Futures_Close_change
2018-01-14,10.4,10.4,10.4,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.4,10.4,10.4,0.0,0.0,10.4,10.4,10.4,0.0,0.0
2018-01-21,10.73,10.73,10.73,0.0,0.0,10.96,10.96,10.96,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.96,10.96,10.96,0.0,0.0
2018-01-28,12.54,12.54,12.54,0.0,0.0,15.09,15.09,15.09,0.0,0.0,12.42,12.42,12.42,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-02-04,16.0,16.0,16.0,0.0,0.0,16.4,16.4,16.4,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.37,16.37,16.37,0.0,0.0
2018-02-11,13.5,13.5,13.5,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.76,13.76,13.76,0.0,0.0
2018-02-18,13.36,13.36,13.36,0.0,0.0,13.36,13.36,13.36,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.81,12.81,12.81,0.0,0.0
2018-02-25,14.27,14.27,14.27,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2018-03-04,12.01,12.01,12.01,0.0,0.0,12.74,12.74,12.74,0.0,0.0,11.5,11.5,11.5,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2018-03-11,12.89,12.89,12.89,0.0,0.0,13.75,13.75,13.75,0.0,0.0,12.79,12.79,12.79,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2018-03-18,14.88,14.88,14.88,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2018-03-25,14.72,14.72,14.72,0.0,0.0,15.93,15.93,15.93,0.0,0.0,14.72,14.72,14.72,0.0,0.0,15.93,15.93,15.93,0.0,0.0
2018-04-01,13.13,13.13,13.13,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.13,13.13,13.13,0.0,0.0,13.44,13.44,13.44,0.0,0.0
