Date,CSL_stock_Open_average,CSL_stock_Open_max,CSL_stock_Open_min,CSL_stock_Open_volatility,CSL_stock_Open_change,CSL_stock_High_average,CSL_stock_High_max,CSL_stock_High_min,CSL_stock_High_volatility,CSL_stock_High_change,CSL_stock_Low_average,CSL_stock_Low_max,CSL_stock_Low_min,CSL_stock_Low_volatility,CSL_stock_Low_change,CSL_stock_Close_average,CSL_stock_Close_max,CSL_stock_Close_min,CSL_stock_Close_volatility,CSL_stock_Close_change,CSL_stock_Volume_average,CSL_stock_Volume_max,CSL_stock_Volume_min,CSL_stock_Volume_volatility,CSL_stock_Volume_change
2018-01-14,116.39500000000001,117.34,115.43,1.9099999999999966,-0.980000000000004,117.66749999999999,119.11,116.91,2.200000000000003,1.6200000000000045,115.63499999999999,116.36,115.19,1.1700000000000017,0.8400000000000034,116.5425,117.8,115.94,1.8599999999999994,1.8599999999999994,503185,623453,431749,191704,68800
2018-01-21,115.524,117.29,113.81,3.480000000000004,-3.480000000000004,116.07000000000001,117.53,113.81,3.719999999999999,-3.719999999999999,113.67,115.17,111.49,3.680000000000007,-3.480000000000004,114.73,115.9,113.34,2.5600000000000023,-2.1400000000000006,442057,663359,283153,380206,192851
2018-01-28,113.5,115.56,112.13,3.430000000000007,2.490000000000009,114.85,117.58,112.61,4.969999999999999,1.8799999999999955,112.334,113.19,111.35,1.8400000000000034,0.75,113.838,116.13,111.98,4.1499999999999915,1.6700000000000017,512042,802468,266782,535686,278572
2018-02-04,110.07,113.44,107.96,5.480000000000004,-5.480000000000004,111.76,114.02,109.39,4.6299999999999955,-4.6299999999999955,107.18599999999999,110.0,100.5,9.5,-9.5,109.608,110.96,107.85,3.1099999999999994,-2.490000000000009,1029840,2289698,588502,1701196,1578776
2018-02-11,106.042,108.07,104.15,3.9199999999999875,-1.6599999999999966,107.364,109.25,105.89,3.3599999999999994,-1.1500000000000057,104.896,106.27,104.15,2.1199999999999903,1.8399999999999892,106.22200000000001,107.29,104.86,2.430000000000007,2.4000000000000057,582161,960704,340248,620456,-620456
2018-02-18,105.5875,106.61,104.86,1.75,-1.75,106.19500000000001,106.93,105.43,1.5,-1.5,104.67,105.43,104.15,1.2800000000000011,-1.2800000000000011,104.985,105.5,104.51,0.9899999999999949,-0.5100000000000051,347437,394729,305639,89090,-35628
2018-02-25,103.638,105.21,101.68,3.529999999999987,-3.529999999999987,104.42,105.62,102.68,2.9399999999999977,-2.9399999999999977,102.32,103.85,100.61,3.239999999999995,-3.239999999999995,103.142,104.66,102.15,2.509999999999991,-2.1799999999999926,472679,570957,384002,186955,-130426
2018-03-04,104.596,105.8,102.2,3.5999999999999943,3.5999999999999943,106.032,107.54,104.12,3.4200000000000017,3.4200000000000017,104.01,105.1,101.79,3.309999999999988,3.309999999999988,105.564,107.47,103.81,3.6599999999999966,3.6599999999999966,354603,469198,245618,223580,-71373
2018-03-11,107.408,108.66,105.41,3.25,-2.4000000000000057,108.246,109.04,107.49,1.5500000000000114,-0.9500000000000028,106.348,107.83,104.57,3.260000000000005,-2.980000000000004,106.796,108.26,105.2,3.0600000000000023,-2.5600000000000023,491327,765258,329557,435701,360475
2018-03-18,105.372,106.06,104.94,1.1200000000000045,-0.15000000000000568,106.524,107.92,105.7,2.219999999999999,0.14000000000000057,104.234,104.96,102.78,2.1799999999999926,-1.2600000000000051,105.104,107.19,102.98,4.209999999999994,-1.8999999999999915,471966,604415,390262,214153,54212
