Date,iShares Core MSCI EAFE_Open_average,iShares Core MSCI EAFE_Open_max,iShares Core MSCI EAFE_Open_min,iShares Core MSCI EAFE_Open_volatility,iShares Core MSCI EAFE_Open_change,iShares Core MSCI EAFE_High_average,iShares Core MSCI EAFE_High_max,iShares Core MSCI EAFE_High_min,iShares Core MSCI EAFE_High_volatility,iShares Core MSCI EAFE_High_change,iShares Core MSCI EAFE_Low_average,iShares Core MSCI EAFE_Low_max,iShares Core MSCI EAFE_Low_min,iShares Core MSCI EAFE_Low_volatility,iShares Core MSCI EAFE_Low_change,iShares Core MSCI EAFE_Close_average,iShares Core MSCI EAFE_Close_max,iShares Core MSCI EAFE_Close_min,iShares Core MSCI EAFE_Close_volatility,iShares Core MSCI EAFE_Close_change
2018-01-14,69.74,69.74,69.74,0.0,0.0,70.08,70.08,70.08,0.0,0.0,69.68,69.68,69.68,0.0,0.0,70.08,70.08,70.08,0.0,0.0
2018-01-21,70.25,70.25,70.25,0.0,0.0,70.3,70.3,70.3,0.0,0.0,70.02,70.02,70.02,0.0,0.0,70.18,70.18,70.18,0.0,0.0
2018-01-28,67.36,67.36,67.36,0.0,0.0,67.69,67.69,67.69,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.49,65.49,65.49,0.0,0.0
2018-02-04,65.05,65.05,65.05,0.0,0.0,65.67,65.67,65.67,0.0,0.0,64.83,64.83,64.83,0.0,0.0,65.58,65.58,65.58,0.0,0.0
2018-02-11,67.02,67.02,67.02,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.02,67.02,67.02,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-02-18,67.55,67.55,67.55,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-02-25,65.04,65.04,65.04,0.0,0.0,65.83,65.83,65.83,0.0,0.0,64.9,64.9,64.9,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-03-04,66.89,66.89,66.89,0.0,0.0,67.02,67.02,67.02,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.96,66.96,66.96,0.0,0.0
2018-03-11,66.27,66.27,66.27,0.0,0.0,66.28,66.28,66.28,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.99,65.99,65.99,0.0,0.0
2018-03-18,65.14,65.14,65.14,0.0,0.0,65.37,65.37,65.37,0.0,0.0,64.52,64.52,64.52,0.0,0.0,65.35,65.35,65.35,0.0,0.0
2018-03-25,65.65,65.65,65.65,0.0,0.0,65.73,65.73,65.73,0.0,0.0,64.46,64.46,64.46,0.0,0.0,64.87,64.87,64.87,0.0,0.0
2018-04-01,66.13,66.13,66.13,0.0,0.0,66.47,66.47,66.47,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.05,66.05,66.05,0.0,0.0
