Date,First Trust Global Natural Resources Income_Open_average,First Trust Global Natural Resources Income_Open_max,First Trust Global Natural Resources Income_Open_min,First Trust Global Natural Resources Income_Open_volatility,First Trust Global Natural Resources Income_Open_change,First Trust Global Natural Resources Income_High_average,First Trust Global Natural Resources Income_High_max,First Trust Global Natural Resources Income_High_min,First Trust Global Natural Resources Income_High_volatility,First Trust Global Natural Resources Income_High_change,First Trust Global Natural Resources Income_Low_average,First Trust Global Natural Resources Income_Low_max,First Trust Global Natural Resources Income_Low_min,First Trust Global Natural Resources Income_Low_volatility,First Trust Global Natural Resources Income_Low_change,First Trust Global Natural Resources Income_Close_average,First Trust Global Natural Resources Income_Close_max,First Trust Global Natural Resources Income_Close_min,First Trust Global Natural Resources Income_Close_volatility,First Trust Global Natural Resources Income_Close_change
2018-01-14,13.07,13.07,13.07,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.03,13.03,13.03,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2018-01-21,13.08,13.08,13.08,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2018-01-28,12.56,12.56,12.56,0.0,0.0,12.63,12.63,12.63,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.24,12.24,12.24,0.0,0.0
2018-02-04,12.01,12.01,12.01,0.0,0.0,12.14,12.14,12.14,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.14,12.14,12.14,0.0,0.0
2018-02-11,12.36,12.36,12.36,0.0,0.0,12.5,12.5,12.5,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2018-02-18,12.72,12.72,12.72,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.72,12.72,12.72,0.0,0.0,12.83,12.83,12.83,0.0,0.0
2018-02-25,12.38,12.38,12.38,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.44,12.44,12.44,0.0,0.0
2018-03-04,12.55,12.55,12.55,0.0,0.0,12.57,12.57,12.57,0.0,0.0,12.55,12.55,12.55,0.0,0.0,12.57,12.57,12.57,0.0,0.0
2018-03-11,12.38,12.38,12.38,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.36,12.36,12.36,0.0,0.0,12.36,12.36,12.36,0.0,0.0
2018-03-18,12.35,12.35,12.35,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.35,12.35,12.35,0.0,0.0
