Date,LODE_stock_Open_average,LODE_stock_Open_max,LODE_stock_Open_min,LODE_stock_Open_volatility,LODE_stock_Open_change,LODE_stock_High_average,LODE_stock_High_max,LODE_stock_High_min,LODE_stock_High_volatility,LODE_stock_High_change,LODE_stock_Low_average,LODE_stock_Low_max,LODE_stock_Low_min,LODE_stock_Low_volatility,LODE_stock_Low_change,LODE_stock_Close_average,LODE_stock_Close_max,LODE_stock_Close_min,LODE_stock_Close_volatility,LODE_stock_Close_change,LODE_stock_Volume_average,LODE_stock_Volume_max,LODE_stock_Volume_min,LODE_stock_Volume_volatility,LODE_stock_Volume_change
2018-01-14,1.98475,2.025,1.95,0.07499999999999996,0.061000000000000165,2.19325,2.45,2.05,0.40000000000000036,-0.12700000000000022,1.9341249999999999,1.9455,1.919,0.026499999999999968,0.0129999999999999,1.9809999999999999,2.005,1.94,0.06499999999999995,-0.029999999999999805,29248,40621,19901,20720,-20720
2018-01-21,2.1462,2.45,1.955,0.4950000000000001,0.3214999999999999,2.2840000000000003,2.45,2.069,0.3810000000000002,0.33099999999999996,2.0738,2.201,1.9505,0.25050000000000017,0.24950000000000028,2.1439000000000004,2.2795,2.0005,0.2789999999999999,0.1995,50335,69835,24637,45198,26119
2018-01-28,2.185,2.3,2.055,0.24499999999999966,-0.14500000000000002,2.239,2.415,2.1,0.31499999999999995,-0.31499999999999995,2.1117,2.2255,2.001,0.22449999999999992,-0.1990000000000003,2.1626,2.2815,2.064,0.2174999999999998,-0.2174999999999998,21403,58289,2221,56068,-56068
2018-02-04,1.8565,2.025,1.798,0.22699999999999987,-0.22699999999999987,1.9036,2.064,1.798,0.266,-0.266,1.7606,1.8055,1.6775,0.1280000000000001,-0.1280000000000001,1.8092,1.8715,1.775,0.09650000000000003,-0.09650000000000003,6407,13096,2312,10784,-5075
2018-02-11,1.813,2.0,1.7,0.30000000000000004,-0.07499999999999996,1.863,2.0,1.775,0.2250000000000001,-0.17500000000000004,1.694,1.775,1.655,0.11999999999999988,-0.11999999999999988,1.7618,1.905,1.699,0.20599999999999996,-0.20500000000000007,7084,10908,3647,7261,-3759
2018-02-18,1.646875,1.785,1.5375,0.24749999999999983,-0.20999999999999996,1.651375,1.785,1.5555,0.22949999999999982,-0.20999999999999996,1.518375,1.625,1.45,0.17500000000000004,-0.17500000000000004,1.578125,1.65,1.5345,0.11549999999999994,-0.11549999999999994,11676,18035,8686,9349,9349
2018-02-25,1.5545,1.59,1.5325,0.05750000000000011,0.040000000000000036,1.5759,1.59,1.5605,0.02950000000000008,0.015000000000000124,1.5214,1.5290000000000001,1.4995,0.02950000000000008,0.02950000000000008,1.5341,1.5625,1.501,0.06150000000000011,0.028500000000000192,13784,21672,7378,14294,7369
2018-03-04,1.5388000000000002,1.56,1.485,0.07499999999999996,-0.04400000000000004,1.5631,1.62,1.485,0.135,-0.08999999999999986,1.4816,1.545,1.35,0.19499999999999984,-0.17900000000000005,1.5036,1.5625,1.4,0.1625000000000001,-0.1625000000000001,10348,22148,3184,18964,642
2018-03-11,1.4277,1.4775,1.3845,0.09299999999999997,-0.03950000000000009,1.493,1.525,1.465,0.05999999999999983,-0.010000000000000009,1.3655,1.44,1.3,0.1399999999999999,-0.06499999999999995,1.4158,1.5,1.35,0.1499999999999999,-0.12449999999999983,8188,15783,2411,13372,-3916
2018-03-18,1.4101,1.45,1.3735,0.07650000000000001,-0.018000000000000016,1.4319,1.45,1.3995,0.05049999999999999,-0.05049999999999999,1.3252,1.35,1.3,0.050000000000000044,-0.050000000000000044,1.3636000000000001,1.4495,1.3085,0.14100000000000001,-0.04150000000000009,8067,13693,5005,8688,27
2018-03-25,1.25225,1.32,1.15,0.17000000000000015,0.030999999999999917,1.337375,1.42,1.25,0.16999999999999993,0.0674999999999999,1.162,1.236,1.051,0.18500000000000005,0.020499999999999963,1.25375,1.4,1.1495,0.25049999999999994,0.034499999999999975,9610,11667,7285,4382,-1762
