Date,iShares MSCI Italy CappedEtf_Open_average,iShares MSCI Italy CappedEtf_Open_max,iShares MSCI Italy CappedEtf_Open_min,iShares MSCI Italy CappedEtf_Open_volatility,iShares MSCI Italy CappedEtf_Open_change,iShares MSCI Italy CappedEtf_High_average,iShares MSCI Italy CappedEtf_High_max,iShares MSCI Italy CappedEtf_High_min,iShares MSCI Italy CappedEtf_High_volatility,iShares MSCI Italy CappedEtf_High_change,iShares MSCI Italy CappedEtf_Low_average,iShares MSCI Italy CappedEtf_Low_max,iShares MSCI Italy CappedEtf_Low_min,iShares MSCI Italy CappedEtf_Low_volatility,iShares MSCI Italy CappedEtf_Low_change,iShares MSCI Italy CappedEtf_Close_average,iShares MSCI Italy CappedEtf_Close_max,iShares MSCI Italy CappedEtf_Close_min,iShares MSCI Italy CappedEtf_Close_volatility,iShares MSCI Italy CappedEtf_Close_change
2018-01-14,33.74,33.74,33.74,0.0,0.0,33.79,33.79,33.79,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-01-21,34.27,34.27,34.27,0.0,0.0,34.44,34.44,34.44,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.44,34.44,34.44,0.0,0.0
2018-01-28,33.66,33.66,33.66,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.17,33.17,33.17,0.0,0.0,33.2,33.2,33.2,0.0,0.0
2018-02-04,31.64,31.64,31.64,0.0,0.0,31.86,31.86,31.86,0.0,0.0,30.74,30.74,30.74,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-11,32.71,32.71,32.71,0.0,0.0,32.99,32.99,32.99,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-02-18,32.26,32.26,32.26,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.44,32.44,32.44,0.0,0.0
2018-02-25,31.41,31.41,31.41,0.0,0.0,31.53,31.53,31.53,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-03-04,32.38,32.38,32.38,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-03-11,32.55,32.55,32.55,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-03-18,31.86,31.86,31.86,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.61,31.61,31.61,0.0,0.0
