Date,Direxion Daily South Korea Bull 3X Shares_etf_Open_average,Direxion Daily South Korea Bull 3X Shares_etf_Open_max,Direxion Daily South Korea Bull 3X Shares_etf_Open_min,Direxion Daily South Korea Bull 3X Shares_etf_Open_volatility,Direxion Daily South Korea Bull 3X Shares_etf_Open_change,Direxion Daily South Korea Bull 3X Shares_etf_High_average,Direxion Daily South Korea Bull 3X Shares_etf_High_max,Direxion Daily South Korea Bull 3X Shares_etf_High_min,Direxion Daily South Korea Bull 3X Shares_etf_High_volatility,Direxion Daily South Korea Bull 3X Shares_etf_High_change,Direxion Daily South Korea Bull 3X Shares_etf_Low_average,Direxion Daily South Korea Bull 3X Shares_etf_Low_max,Direxion Daily South Korea Bull 3X Shares_etf_Low_min,Direxion Daily South Korea Bull 3X Shares_etf_Low_volatility,Direxion Daily South Korea Bull 3X Shares_etf_Low_change,Direxion Daily South Korea Bull 3X Shares_etf_Close_average,Direxion Daily South Korea Bull 3X Shares_etf_Close_max,Direxion Daily South Korea Bull 3X Shares_etf_Close_min,Direxion Daily South Korea Bull 3X Shares_etf_Close_volatility,Direxion Daily South Korea Bull 3X Shares_etf_Close_change
2018-01-14,68.39,68.39,68.39,0.0,0.0,69.11,69.11,69.11,0.0,0.0,67.81,67.81,67.81,0.0,0.0,69.11,69.11,69.11,0.0,0.0
2018-01-21,72.04,72.04,72.04,0.0,0.0,72.85,72.85,72.85,0.0,0.0,71.65,71.65,71.65,0.0,0.0,72.85,72.85,72.85,0.0,0.0
2018-01-28,61.2,61.2,61.2,0.0,0.0,61.69,61.69,61.69,0.0,0.0,58.94,58.94,58.94,0.0,0.0,59.72,59.72,59.72,0.0,0.0
2018-02-04,49.32,49.32,49.32,0.0,0.0,52.03,52.03,52.03,0.0,0.0,46.01,46.01,46.01,0.0,0.0,49.86,49.86,49.86,0.0,0.0
2018-02-11,61.14,61.14,61.14,0.0,0.0,63.61,63.61,63.61,0.0,0.0,60.97,60.97,60.97,0.0,0.0,61.82,61.82,61.82,0.0,0.0
2018-02-18,57.05,57.05,57.05,0.0,0.0,57.94,57.94,57.94,0.0,0.0,55.97,55.97,55.97,0.0,0.0,57.9,57.9,57.9,0.0,0.0
2018-02-25,50.63,50.63,50.63,0.0,0.0,53.27,53.27,53.27,0.0,0.0,50.35,50.35,50.35,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-03-04,59.7,59.7,59.7,0.0,0.0,61.74,61.74,61.74,0.0,0.0,59.51,59.51,59.51,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-03-11,61.61,61.61,61.61,0.0,0.0,62.12,62.12,62.12,0.0,0.0,61.39,61.39,61.39,0.0,0.0,61.86,61.86,61.86,0.0,0.0
2018-03-18,55.47,55.47,55.47,0.0,0.0,55.81,55.81,55.81,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-03-25,57.43,57.43,57.43,0.0,0.0,59.27,59.27,59.27,0.0,0.0,57.1,57.1,57.1,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-04-01,55.18,55.18,55.18,0.0,0.0,55.38,55.38,55.38,0.0,0.0,52.2,52.2,52.2,0.0,0.0,53.2,53.2,53.2,0.0,0.0
