Date,iShares MSCI Thailand Capped_Open_average,iShares MSCI Thailand Capped_Open_max,iShares MSCI Thailand Capped_Open_min,iShares MSCI Thailand Capped_Open_volatility,iShares MSCI Thailand Capped_Open_change,iShares MSCI Thailand Capped_High_average,iShares MSCI Thailand Capped_High_max,iShares MSCI Thailand Capped_High_min,iShares MSCI Thailand Capped_High_volatility,iShares MSCI Thailand Capped_High_change,iShares MSCI Thailand Capped_Low_average,iShares MSCI Thailand Capped_Low_max,iShares MSCI Thailand Capped_Low_min,iShares MSCI Thailand Capped_Low_volatility,iShares MSCI Thailand Capped_Low_change,iShares MSCI Thailand Capped_Close_average,iShares MSCI Thailand Capped_Close_max,iShares MSCI Thailand Capped_Close_min,iShares MSCI Thailand Capped_Close_volatility,iShares MSCI Thailand Capped_Close_change
2018-01-14,98.13,98.13,98.13,0.0,0.0,98.44,98.44,98.44,0.0,0.0,97.95,97.95,97.95,0.0,0.0,98.32,98.32,98.32,0.0,0.0
2018-01-21,100.07,100.07,100.07,0.0,0.0,100.18,100.18,100.18,0.0,0.0,99.84,99.84,99.84,0.0,0.0,99.86,99.86,99.86,0.0,0.0
2018-01-28,97.75,97.75,97.75,0.0,0.0,98.28,98.28,98.28,0.0,0.0,95.36,95.36,95.36,0.0,0.0,95.61,95.61,95.61,0.0,0.0
2018-02-04,96.43,96.43,96.43,0.0,0.0,97.52,97.52,97.52,0.0,0.0,95.94,95.94,95.94,0.0,0.0,96.65,96.65,96.65,0.0,0.0
2018-02-11,98.5,98.5,98.5,0.0,0.0,99.43,99.43,99.43,0.0,0.0,98.23,98.23,98.23,0.0,0.0,98.96,98.96,98.96,0.0,0.0
2018-02-18,101.18,101.18,101.18,0.0,0.0,102.16,102.16,102.16,0.0,0.0,100.7,100.7,100.7,0.0,0.0,101.73,101.73,101.73,0.0,0.0
2018-02-25,99.67,99.67,99.67,0.0,0.0,101.19,101.19,101.19,0.0,0.0,99.34,99.34,99.34,0.0,0.0,100.21,100.21,100.21,0.0,0.0
2018-03-04,100.43,100.43,100.43,0.0,0.0,100.84,100.84,100.84,0.0,0.0,100.03,100.03,100.03,0.0,0.0,100.56,100.56,100.56,0.0,0.0
2018-03-11,100.27,100.27,100.27,0.0,0.0,100.44,100.44,100.44,0.0,0.0,99.45,99.45,99.45,0.0,0.0,99.89,99.89,99.89,0.0,0.0
2018-03-18,100.22,100.22,100.22,0.0,0.0,101.17,101.17,101.17,0.0,0.0,99.56,99.56,99.56,0.0,0.0,100.95,100.95,100.95,0.0,0.0
2018-03-25,99.51,99.51,99.51,0.0,0.0,99.93,99.93,99.93,0.0,0.0,98.19,98.19,98.19,0.0,0.0,98.73,98.73,98.73,0.0,0.0
2018-04-01,97.38,97.38,97.38,0.0,0.0,98.08,98.08,98.08,0.0,0.0,97.03,97.03,97.03,0.0,0.0,97.3,97.3,97.3,0.0,0.0
