Date,iShares Dow Jones US_Open_average,iShares Dow Jones US_Open_max,iShares Dow Jones US_Open_min,iShares Dow Jones US_Open_volatility,iShares Dow Jones US_Open_change,iShares Dow Jones US_High_average,iShares Dow Jones US_High_max,iShares Dow Jones US_High_min,iShares Dow Jones US_High_volatility,iShares Dow Jones US_High_change,iShares Dow Jones US_Low_average,iShares Dow Jones US_Low_max,iShares Dow Jones US_Low_min,iShares Dow Jones US_Low_volatility,iShares Dow Jones US_Low_change,iShares Dow Jones US_Close_average,iShares Dow Jones US_Close_max,iShares Dow Jones US_Close_min,iShares Dow Jones US_Close_volatility,iShares Dow Jones US_Close_change
2018-01-14,140.01,140.01,140.01,0.0,0.0,141.12,141.12,141.12,0.0,0.0,140.01,140.01,140.01,0.0,0.0,141.12,141.12,141.12,0.0,0.0
2018-01-21,142.78,142.78,142.78,0.0,0.0,142.87,142.87,142.87,0.0,0.0,142.04,142.04,142.04,0.0,0.0,142.14,142.14,142.14,0.0,0.0
2018-01-28,136.45,136.45,136.45,0.0,0.0,137.71,137.71,137.71,0.0,0.0,131.43,131.43,131.43,0.0,0.0,132.23,132.23,132.23,0.0,0.0
2018-02-04,131.8,131.8,131.8,0.0,0.0,133.2,133.2,133.2,0.0,0.0,131.11,131.11,131.11,0.0,0.0,132.47,132.47,132.47,0.0,0.0
2018-02-11,136.01,136.01,136.01,0.0,0.0,137.5,137.5,137.5,0.0,0.0,136.01,136.01,136.01,0.0,0.0,136.84,136.84,136.84,0.0,0.0
2018-02-18,137.75,137.75,137.75,0.0,0.0,138.61,138.61,138.61,0.0,0.0,137.4,137.4,137.4,0.0,0.0,138.5,138.5,138.5,0.0,0.0
2018-02-25,133.82,133.82,133.82,0.0,0.0,136.39,136.39,136.39,0.0,0.0,133.82,133.82,133.82,0.0,0.0,136.04,136.04,136.04,0.0,0.0
2018-03-04,139.63,139.63,139.63,0.0,0.0,139.91,139.91,139.91,0.0,0.0,139.09,139.09,139.09,0.0,0.0,139.52,139.52,139.52,0.0,0.0
2018-03-11,137.22,137.22,137.22,0.0,0.0,137.22,137.22,137.22,0.0,0.0,135.06,135.06,135.06,0.0,0.0,136.07,136.07,136.07,0.0,0.0
2018-03-18,131.32,131.32,131.32,0.0,0.0,132.91,132.91,132.91,0.0,0.0,130.5,130.5,130.5,0.0,0.0,132.83,132.83,132.83,0.0,0.0
2018-03-25,131.35,131.35,131.35,0.0,0.0,131.73,131.73,131.73,0.0,0.0,127.55,127.55,127.55,0.0,0.0,128.97,128.97,128.97,0.0,0.0
