Date,First Trust Capital StrengthEtf_Open_average,First Trust Capital StrengthEtf_Open_max,First Trust Capital StrengthEtf_Open_min,First Trust Capital StrengthEtf_Open_volatility,First Trust Capital StrengthEtf_Open_change,First Trust Capital StrengthEtf_High_average,First Trust Capital StrengthEtf_High_max,First Trust Capital StrengthEtf_High_min,First Trust Capital StrengthEtf_High_volatility,First Trust Capital StrengthEtf_High_change,First Trust Capital StrengthEtf_Low_average,First Trust Capital StrengthEtf_Low_max,First Trust Capital StrengthEtf_Low_min,First Trust Capital StrengthEtf_Low_volatility,First Trust Capital StrengthEtf_Low_change,First Trust Capital StrengthEtf_Close_average,First Trust Capital StrengthEtf_Close_max,First Trust Capital StrengthEtf_Close_min,First Trust Capital StrengthEtf_Close_volatility,First Trust Capital StrengthEtf_Close_change
2018-01-14,53.8,53.8,53.8,0.0,0.0,53.87,53.87,53.87,0.0,0.0,53.64,53.64,53.64,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-01-21,54.29,54.29,54.29,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.95,54.95,54.95,0.0,0.0
2018-01-28,53.39,53.39,53.39,0.0,0.0,53.47,53.47,53.47,0.0,0.0,52.68,52.68,52.68,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-02-04,49.64,49.64,49.64,0.0,0.0,50.29,50.29,50.29,0.0,0.0,48.51,48.51,48.51,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-02-11,52.2,52.2,52.2,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-02-18,52.25,52.25,52.25,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2018-02-25,50.9,50.9,50.9,0.0,0.0,51.51,51.51,51.51,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.39,51.39,51.39,0.0,0.0
2018-03-04,52.84,52.84,52.84,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.6,52.6,52.6,0.0,0.0,53.21,53.21,53.21,0.0,0.0
2018-03-11,52.67,52.67,52.67,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2018-03-18,50.58,50.58,50.58,0.0,0.0,50.66,50.66,50.66,0.0,0.0,49.46,49.46,49.46,0.0,0.0,49.52,49.52,49.52,0.0,0.0
