Date,ProShares UltraPro Short Russell2000_etf_Open_average,ProShares UltraPro Short Russell2000_etf_Open_max,ProShares UltraPro Short Russell2000_etf_Open_min,ProShares UltraPro Short Russell2000_etf_Open_volatility,ProShares UltraPro Short Russell2000_etf_Open_change,ProShares UltraPro Short Russell2000_etf_High_average,ProShares UltraPro Short Russell2000_etf_High_max,ProShares UltraPro Short Russell2000_etf_High_min,ProShares UltraPro Short Russell2000_etf_High_volatility,ProShares UltraPro Short Russell2000_etf_High_change,ProShares UltraPro Short Russell2000_etf_Low_average,ProShares UltraPro Short Russell2000_etf_Low_max,ProShares UltraPro Short Russell2000_etf_Low_min,ProShares UltraPro Short Russell2000_etf_Low_volatility,ProShares UltraPro Short Russell2000_etf_Low_change,ProShares UltraPro Short Russell2000_etf_Close_average,ProShares UltraPro Short Russell2000_etf_Close_max,ProShares UltraPro Short Russell2000_etf_Close_min,ProShares UltraPro Short Russell2000_etf_Close_volatility,ProShares UltraPro Short Russell2000_etf_Close_change
2018-01-14,29.7,29.7,29.7,0.0,0.0,29.79,29.79,29.79,0.0,0.0,28.62,28.62,28.62,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-01-21,28.13,28.13,28.13,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-01-28,30.11,30.11,30.11,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.05,30.05,30.05,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-02-04,35.57,35.57,35.57,0.0,0.0,38.75,38.75,38.75,0.0,0.0,34.74,34.74,34.74,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-02-11,31.81,31.81,31.81,0.0,0.0,31.81,31.81,31.81,0.0,0.0,30.6,30.6,30.6,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2018-02-18,31.33,31.33,31.33,0.0,0.0,31.87,31.87,31.87,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2018-02-25,34.05,34.05,34.05,0.0,0.0,34.16,34.16,34.16,0.0,0.0,31.34,31.34,31.34,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-03-04,28.74,28.74,28.74,0.0,0.0,28.88,28.88,28.88,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.81,27.81,27.81,0.0,0.0
2018-03-11,28.86,28.86,28.86,0.0,0.0,28.95,28.95,28.95,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.39,28.39,28.39,0.0,0.0
2018-03-18,30.53,30.53,30.53,0.0,0.0,32.53,32.53,32.53,0.0,0.0,30.11,30.11,30.11,0.0,0.0,32.5,32.5,32.5,0.0,0.0
2018-03-25,31.67,31.67,31.67,0.0,0.0,31.83,31.83,31.83,0.0,0.0,30.42,30.42,30.42,0.0,0.0,31.21,31.21,31.21,0.0,0.0
2018-04-01,30.76,30.76,30.76,0.0,0.0,32.63,32.63,32.63,0.0,0.0,30.15,30.15,30.15,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-04-08,28.87,28.87,28.87,0.0,0.0,29.92,29.92,29.92,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-04-15,28.49,28.49,28.49,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-04-22,29.1,29.1,29.1,0.0,0.0,29.74,29.74,29.74,0.0,0.0,28.89,28.89,28.89,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-04-29,30.06,30.06,30.06,0.0,0.0,30.33,30.33,30.33,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-05-06,26.69,26.69,26.69,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-05-13,25.51,25.51,25.51,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-05-20,25.56,25.56,25.56,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-05-27,24.61,24.61,24.61,0.0,0.0,24.81,24.81,24.81,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2018-06-03,23.65,23.65,23.65,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.42,23.42,23.42,0.0,0.0
2018-06-10,23.19,23.19,23.19,0.0,0.0,23.39,23.39,23.39,0.0,0.0,22.87,22.87,22.87,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-06-17,22.33,22.33,22.33,0.0,0.0,23.03,23.03,23.03,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.87,22.87,22.87,0.0,0.0
2018-06-24,24.22,24.22,24.22,0.0,0.0,24.53,24.53,24.53,0.0,0.0,23.9,23.9,23.9,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-07-01,22.86,22.86,22.86,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.34,22.34,22.34,0.0,0.0
2018-07-08,22.47,22.47,22.47,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2018-07-15,22.05,22.05,22.05,0.0,0.0,22.29,22.29,22.29,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2018-07-22,22.22,22.22,22.22,0.0,0.0,23.7,23.7,23.7,0.0,0.0,22.18,22.18,22.18,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-07-29,22.7,22.7,22.7,0.0,0.0,23.34,23.34,23.34,0.0,0.0,22.52,22.52,22.52,0.0,0.0,23.07,23.07,23.07,0.0,0.0
2018-08-05,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.57,22.57,22.57,0.0,0.0
2018-08-12,22.61,22.61,22.61,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.17,22.17,22.17,0.0,0.0,22.2,22.2,22.2,0.0,0.0
2018-08-19,21.11,21.11,21.11,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.92,20.92,20.92,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2018-08-26,20.86,20.86,20.86,0.0,0.0,20.87,20.87,20.87,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2018-09-02,21.55,21.55,21.55,0.0,0.0,21.7,21.7,21.7,0.0,0.0,21.06,21.06,21.06,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2018-09-09,21.29,21.29,21.29,0.0,0.0,21.46,21.46,21.46,0.0,0.0,20.9,20.9,20.9,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2018-09-16,20.99,20.99,20.99,0.0,0.0,21.51,21.51,21.51,0.0,0.0,20.94,20.94,20.94,0.0,0.0,21.47,21.47,21.47,0.0,0.0
