Date,ProShares UltraShort Industrials_Open_average,ProShares UltraShort Industrials_Open_max,ProShares UltraShort Industrials_Open_min,ProShares UltraShort Industrials_Open_volatility,ProShares UltraShort Industrials_Open_change,ProShares UltraShort Industrials_High_average,ProShares UltraShort Industrials_High_max,ProShares UltraShort Industrials_High_min,ProShares UltraShort Industrials_High_volatility,ProShares UltraShort Industrials_High_change,ProShares UltraShort Industrials_Low_average,ProShares UltraShort Industrials_Low_max,ProShares UltraShort Industrials_Low_min,ProShares UltraShort Industrials_Low_volatility,ProShares UltraShort Industrials_Low_change,ProShares UltraShort Industrials_Close_average,ProShares UltraShort Industrials_Close_max,ProShares UltraShort Industrials_Close_min,ProShares UltraShort Industrials_Close_volatility,ProShares UltraShort Industrials_Close_change
2018-01-14,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.12,15.12,15.12,0.0,0.0
2018-01-21,14.56,14.56,14.56,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.55,14.55,14.55,0.0,0.0
2018-01-28,16.07,16.07,16.07,0.0,0.0,16.31,16.31,16.31,0.0,0.0,15.76,15.76,15.76,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-02-04,17.08,17.08,17.08,0.0,0.0,17.19,17.19,17.19,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2018-02-11,16.01,16.01,16.01,0.0,0.0,16.01,16.01,16.01,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.78,15.78,15.78,0.0,0.0
2018-02-18,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-02-25,16.88,16.88,16.88,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.44,16.44,16.44,0.0,0.0,16.44,16.44,16.44,0.0,0.0
2018-03-04,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.44,15.44,15.44,0.0,0.0
2018-03-11,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2018-03-18,17.0,17.0,17.0,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.0,17.0,17.0,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2018-03-25,17.51,17.51,17.51,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.85,17.85,17.85,0.0,0.0
2018-04-01,17.32,17.32,17.32,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.02,17.02,17.02,0.0,0.0,17.08,17.08,17.08,0.0,0.0
2018-04-08,16.57,16.57,16.57,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2018-04-15,16.34,16.34,16.34,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2018-04-22,17.46,17.46,17.46,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2018-04-29,17.17,17.17,17.17,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.1,17.1,17.1,0.0,0.0
2018-05-06,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2018-05-13,15.7,15.7,15.7,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2018-05-20,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.93,15.93,15.93,0.0,0.0
2018-05-27,15.88,15.88,15.88,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.87,15.87,15.87,0.0,0.0,15.9,15.9,15.9,0.0,0.0
2018-06-03,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2018-06-10,15.94,15.94,15.94,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2018-06-17,16.56,16.56,16.56,0.0,0.0,17.05,17.05,17.05,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.86,16.86,16.86,0.0,0.0
2018-06-24,17.25,17.25,17.25,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.97,16.97,16.97,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2018-07-01,16.25,16.25,16.25,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2018-07-08,16.08,16.08,16.08,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.89,15.89,15.89,0.0,0.0,16.05,16.05,16.05,0.0,0.0
2018-07-15,15.85,15.85,15.85,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.82,15.82,15.82,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2018-07-22,15.3,15.3,15.3,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2018-07-29,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2018-08-05,15.29,15.29,15.29,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-08-12,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2018-08-19,15.28,15.28,15.28,0.0,0.0,15.28,15.28,15.28,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2018-08-26,14.69,14.69,14.69,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-09-02,14.4,14.4,14.4,0.0,0.0,14.44,14.44,14.44,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.44,14.44,14.44,0.0,0.0
2018-09-09,14.08,14.08,14.08,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.06,14.06,14.06,0.0,0.0,14.09,14.09,14.09,0.0,0.0
