Date,Renaissance International IPO_Open_average,Renaissance International IPO_Open_max,Renaissance International IPO_Open_min,Renaissance International IPO_Open_volatility,Renaissance International IPO_Open_change,Renaissance International IPO_High_average,Renaissance International IPO_High_max,Renaissance International IPO_High_min,Renaissance International IPO_High_volatility,Renaissance International IPO_High_change,Renaissance International IPO_Low_average,Renaissance International IPO_Low_max,Renaissance International IPO_Low_min,Renaissance International IPO_Low_volatility,Renaissance International IPO_Low_change,Renaissance International IPO_Close_average,Renaissance International IPO_Close_max,Renaissance International IPO_Close_min,Renaissance International IPO_Close_volatility,Renaissance International IPO_Close_change
2018-01-14,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.0,26.0,26.0,0.0,0.0,26.0,26.0,26.0,0.0,0.0
2018-01-21,26.48,26.48,26.48,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-01-28,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.02,25.02,25.02,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-02-04,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-02-11,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0
2018-02-18,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0,25.82,25.82,25.82,0.0,0.0
2018-02-25,25.14,25.14,25.14,0.0,0.0,25.19,25.19,25.19,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.19,25.19,25.19,0.0,0.0
2018-03-04,25.69,25.69,25.69,0.0,0.0,25.73,25.73,25.73,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-03-11,26.15,26.15,26.15,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-03-18,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-03-25,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-04-01,25.97,25.97,25.97,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-04-08,25.42,25.42,25.42,0.0,0.0,26.0,26.0,26.0,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-04-15,25.25,25.25,25.25,0.0,0.0,25.25,25.25,25.25,0.0,0.0,24.95,24.95,24.95,0.0,0.0,24.95,24.95,24.95,0.0,0.0
2018-04-22,24.29,24.29,24.29,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.29,24.29,24.29,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-04-29,23.85,23.85,23.85,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-05-06,24.05,24.05,24.05,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.02,24.02,24.02,0.0,0.0
2018-05-13,23.87,23.87,23.87,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-05-20,23.7,23.7,23.7,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2018-05-27,23.68,23.68,23.68,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2018-06-03,24.12,24.12,24.12,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.12,24.12,24.12,0.0,0.0,24.12,24.12,24.12,0.0,0.0
2018-06-10,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.13,23.13,23.13,0.0,0.0
2018-06-17,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2018-06-24,22.51,22.51,22.51,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.51,22.51,22.51,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-07-01,22.71,22.71,22.71,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.3,22.3,22.3,0.0,0.0,22.3,22.3,22.3,0.0,0.0
2018-07-08,22.58,22.58,22.58,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.57,22.57,22.57,0.0,0.0,22.57,22.57,22.57,0.0,0.0
2018-07-15,22.34,22.34,22.34,0.0,0.0,22.34,22.34,22.34,0.0,0.0,22.18,22.18,22.18,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2018-07-22,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0,22.8,22.8,22.8,0.0,0.0
2018-07-29,22.09,22.09,22.09,0.0,0.0,22.23,22.23,22.23,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.23,22.23,22.23,0.0,0.0
2018-08-05,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2018-08-12,22.28,22.28,22.28,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.39,22.39,22.39,0.0,0.0
